ModelName,$\hat{S}_{x}$,$\hat{S}_{y}$,$\hat{S}_{z}$,"$\hat{S}_{x,z}$","$\hat{S}_{y,z}$","$\hat{S}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{y}$","$\hat{S}_{x,y,z}\hat{A}_{x}$","$\hat{S}_{x,y,z}\hat{A}_{z}$","$\hat{S}_{x,y,z}\hat{A}_{y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$","$\hat{S}_{x,y}$"
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,0.00010827353975096506,,,,,1.2630611407486356e-08,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,2.3551527512174504e-32,,2.6229462323905255e-19,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,4.920684531370358e-05,1.4246897145959324e-15,,79172731.05301021,42725.43439472409,3.812506667697151e+18,,8198469.05827788,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,,,4.246009094242696e+31,2.34052623259808e-05,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,,,,,,,,,,,,,3.9100554450760465e-07,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",,,,,,,,,,,,,,,1.2197399208213319e-07,,2557508.490728195,417708.66927518125,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,,,,,,,,2.3940130372089847e-06,,,,,
$\hat{S}_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1e+160,,4.840620888146879e-07,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1e+160,2065850.6896267745,,7.742868209074699e-80,,,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,,,3.0613137172763036e-10,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,z}$",,,1.2915110692804929e+79,,3266571453.806162,2.5750244757034398e+41,,,5.679142712832562e-24,,,,,3.0181832955853656e-05,,7.351845742315707e+20,,,,,
"$\hat{S}_{x,y,z}$",,,,3.883458232865232e-42,,,,,2.912438172372336e-70,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,8.327662942854866e+17,,4.754775791287216e-33,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,,1.2008170922167305e-18,6.363622583456238e-62,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,1.7608291437022795e+23,,3.433549283504435e+69,1.571431974296747e+61,2.1031485897451315e+32,,373807225.4687369,,,,2.420782856053433e+18,,1.2371920676994905e+31,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,2.675175683792753e-09,,3.7633373252654925e+17,91850529.75480364,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,,,2.6572159590542497e-18,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,1.0887253483126498e-08,,,,6.632253277022453e-06,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,1.7808495829200296e-15,2.155716422913128e-14,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,33132.51390207743,,,,,4.1308950842054687e-19,,,150778.31895601997,1.6802743091441213e+18,,46388290656924.61,4.861593846438029,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,,,5.951409210733981e-19,561529738160320.4,,,,,,
