ModelName,$\hat{S}_{x}$,$\hat{S}_{y}$,$\hat{S}_{z}$,"$\hat{S}_{y,z}$","$\hat{S}_{x,y}$","$\hat{S}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x}$","$\hat{S}_{x,y,z}\hat{A}_{y}$","$\hat{S}_{x,y,z}\hat{A}_{z}$","$\hat{S}_{x,y,z}\hat{A}_{x,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$","$\hat{S}_{x,z}$","$\hat{S}_{x,y,z}\hat{A}_{y,z}$"
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,1321.0075918503803,0.0005207387882702715,,0.22066615056116629,0.027040947182295095,,,,4.053207971370374,8.312114072154198,0.40802382388260594,,,0.1111606116683972,,5.527710517614067,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,6.008670000694755,0.003651254827587163,,2.543018471907646,0.03257715085877131,,,0.12030633739135348,,,0.14821588912364236,,,0.40026746601174157,,2.5900335969448918,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,,0.111933180608048,,2.9974607608390276,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,527.5413633515359,0.20364759922930786,,18.92375675552747,0.04637575923288588,,,2.4508372831869587,,6.746914962442356,,8.933901409463745,6.493887848347105,16.959496879437605,,9.125641760158953,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,0.15399095631972315,0.33361571002520385,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",,,309.3930089585293,0.14564192977483253,,0.3284765788100152,0.2658945817645767,,,8.995992240336857,,2.4983294544619965,0.0589640133259166,,,,43.86382433684246,23.997793442470115,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,,,,,,,,0.022797829763331234,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,87.63012104051252,0.007368668422761008,,0.0450247998635525,0.1751005822629757,,,0.18090672382598488,,0.38609537775091535,0.10958133425375464,,,0.04167049784795002,,,,,
$\hat{S}_{x}$,,0.6678318416971235,107.92038504091792,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1.4973829301980515,,14.289548687443201,,0.08233821589746781,97.42659417693422,31.30069046356316,,,27.07929788060142,,11.267156499684049,13.637067408671742,,,27.267816866576,,200.10811676898902,,,
$\hat{S}_{z}$,0.009266089994219821,0.06998121647317945,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,,,,0.4769953588931324,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y}$",,12.1450287585203,,2.096456456768258,,3.0970165938992267,0.003052034352333015,,,32.25439115325823,,0.1281952143897643,0.588688615558571,,,167.82005140253085,,11.435016553269818,,,
"$\hat{S}_{x,y,z}$",,0.010264137922997933,,,0.3228913923063529,,0.04959612998910422,,,0.7319047381764282,,1.0886517542004566,0.48598534632720897,,,0.31976033467972603,,5.370518250941694,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,,0.48622242526688614,189.23161274040123,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,0.019455058760213195,,0.005284529289362752,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,0.031948177027087965,,,327.65030945198464,20.162863518175513,,51.400512962986376,2.0566719016530404,5.528628237835464,,3.5683214586371665,6.824785061915278,,,0.25388583989948316,,1.7162477248341226,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y}$",,,,,,,,,,0.07035487660271668,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,0.036928579330572746,,,0.0310035305037523,1.3662980273792769,0.1808766943590901,,,,14.213655801670273,0.7072399113607487,2.526102621705202,,,0.28222441781371993,,0.4762893796093631,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,0.08875353777397534,,,7.8006032031710895,0.9185673895638321,0.28024380975528074,,,1.4139473521452897,,,1.0753969295206443,,,2.3776100958982846,,1.8385869870423106,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,0.07332954879757396,,,1.6986909098813818,2.0576752109038083,0.1465247609892295,,,0.3958667361363836,,0.929889208857745,,93.43124825576085,3.817285014737682,1.0331540429058825,,4.16407269336971,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,,0.010703057260485024,,0.034951994119573,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,0.2619662917857127,28.61067086984898,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,,,,,,,,0.0662463326653705,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",,0.036673269623787426,,,0.005958763518677597,3.1273422358705196,3.9387781547640213,,,3.5432795211222383,,0.42059040787433655,0.9679098744920628,,,,15.095175231077182,0.8959987064732438,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,0.004997298541140292,,,0.08745068232665147,0.18620176922863169,0.5826664679754499,,,2.0995639264939463,,0.5438959413112541,0.24014950593736292,,,1.1160730398106462,,,,,
$\hat{S}_{x}$,,8.617494056236856,1564.6479558709977,,0.012519779720749328,3.5328206506700583,,,0.16269160123705406,4.4952624876542675,,6.3372542770293165,24.30617539560726,,,17.437559082959904,,6.242717176792256,,,
$\hat{S}_{y}$,0.11604301592482752,,920.629236039933,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,0.0006391214050724443,0.0010862136035365102,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y}$",79.87360978425812,,,,,0.1059455296135802,,,3.560820812616188,0.040650353438535396,,4.334232769673335,140.84697929251902,,,171.34708807313814,,120.15111985664672,,697128.3814367437,
"$\hat{S}_{x,z}$",,,,,1.4344560150299066e-06,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}$",0.28305993960104747,,,,9.438812601601446,,,,11.530412732990515,1.741172781117207,,51.126751909268556,1.5512760754291783,,,12.956162917561795,,898.5744538682436,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,,0.017245603146807644,0.004442229135140973,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,57.98579449423961,,0.04523714309704586,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",6.146598794260583,,,,0.28083412578834177,0.08672716433981814,225.11220596194332,22.105728424421734,,0.6642599835313145,,17.09453251735012,0.0645485288950028,,,2.329287167597941,,7.883050882611498,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",0.222456420008039,,,,24.60003211317784,0.5743255412931274,,,1.5054346562980305,,,7.558408368726557,4.3817943651597755,,,198.8431852938816,,21.182173358051728,,,35.18795693382526
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,,0.02841881391069699,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",0.1577970452637045,,,,0.23072134173249967,0.019559231960884927,,,0.05849823614568275,0.13230298645116476,,,0.04544816275491062,,,0.1242272905431337,,3.931765462961108,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",0.04114180794485361,,,,0.007099903775168249,0.64463058242121,,,15.492219840155299,0.22821700807119835,,22.003089660471506,,5.501657259045442,10.40610617559464,21.726776429222426,,25.67992870106707,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,0.09609742425512553,1.2415298408738793,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,,0.18176341289815348,,0.8054578851653916,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,,,,,,,,0.004367099879465158,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",0.057347475942157895,,,,0.005836107349388733,0.07718334559104084,,,0.4293158928236582,0.00502908861836046,,8.049761011673873,0.04602615593977412,,,,228.98491621457276,2.248781483833606,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",0.16018665777741317,,,,0.008322852098200235,0.0011128738366588688,,,0.1268544393396989,0.047209508821241045,,0.2543386703557022,0.0389409180858998,,,0.4446852694176634,,,,,
$\hat{S}_{x}$,,0.04800007611560762,0.31379867786940113,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,20.83330029709769,,792.363131481557,,6.298575400345543,0.008459604177347901,,2.2300081411658637e-05,,,8.40330987845906,135.70430342309052,400.55916284745814,,,,319.49731214685403,0.9062286355148921,,,
$\hat{S}_{z}$,3.186756575233841,0.0012620476146210948,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y}$",,0.1587660600117829,,30.108888836432943,,0.6164364511303333,,21.75202718918368,,,0.07978421453574985,1.8706357073786137,395.95005555108474,,,,3.3724468556712104,2.3879483665407966,,,
"$\hat{S}_{y,z}$",,,,,0.03321278328909835,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}$",,118.20884039440975,,,1.6222272355347296,,,0.0744142431914927,,,0.8182149516229882,0.1724011669745729,94.04672297999747,,,,3.7684723320923483,14.813533551862793,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,,0.017558998001699112,0.488526234278929,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,,2.0469729767450726,0.29835267014207595,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,44842.88561732304,,,0.045972726647622794,13.43828757925638,56.95085789651745,,3.3517380606106144,,2.7653736268284117,9.062391207241568,44.815597688485084,,,,10.757171054773552,32.09441993200283,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y}$",,0.11900072881560485,,,12.533807668833015,1.222172728592197,,0.3616147887932573,,,,41.754853517021886,36.94889293151161,,,,78.53120955453163,26.467196003949653,,,29.086673865470285
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,,,0.034380005243127225,,,,,,,,,,
