ModelName,$\hat{S}_{x}$,$\hat{S}_{y}$,$\hat{S}_{z}$,"$\hat{S}_{y,z}$","$\hat{S}_{x,y}$","$\hat{S}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{z}$","$\hat{S}_{x,y,z}\hat{A}_{x}$","$\hat{S}_{x,y,z}\hat{A}_{y}$","$\hat{S}_{x,y,z}\hat{A}_{x,z}$","$\hat{S}_{x,y,z}\hat{A}_{y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$","$\hat{S}_{x,z}$"
$\hat{S}_{z}$,0.00035777024887429664,20.906189661222058,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,z}$",,,,,0.21342820044491273,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y}$",52099.56661083111,,,,,3.4927598107854965,,,7.376037789267613,,,103.7460356894702,,,0.08667772476813347,16.340881792062827,,193.360588323321,307.454071282948,,4.685416444103444
"$\hat{S}_{x,y,z}$",0.2813725739317556,,,,0.2863065467347745,,,,0.03663466271228062,,,0.3183226754406473,,,0.7650545919214063,0.06901192027458608,,0.0075436172457052685,0.05209388669188689,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,2.4392197417939805,,0.8800021521913507,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,,,0.40996716403440014,0.3823620172760868,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",18.474120396583306,,,,0.13557414272674065,27.296552662535674,2.615322534188703,1.136360857197718,,,,0.24533047108907796,,,0.23519722966967224,0.535207142164365,,1.5115038569904922,6.47375062830398,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,,,,,,,,,,,,0.2299613116662748,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y}$",0.9739460304154274,,,,0.0032525183219307783,19.19611039803141,,,0.15446995990668613,4.348557558461065,,1.030819737616513,,,0.15615815379699685,0.31142362116229944,,0.5612428199004992,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",1.4706983312858433,,,,0.009638922522236634,3.141466433755375,,,4.076134511790451,,,,,,0.1418185107666221,0.3021913587635089,,0.48693949936728637,0.970101719542376,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",1435.5634470228129,,,,11.536989493841027,1.3070962654946452,,,4.251750760008829,,,7.0512656958132185,2.2480004236272357,1.548961666636216,,2.3278463998305283,,67.40689438035524,6.40376423315035,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,,0.20838085126412195,0.44483977382284534,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,,4.798905436529308,,0.6455937687416358,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,,,,,,,,,,,,,0.5164204688615258,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",32.803292857135645,,,,0.06119620793571402,14.490250322280252,,,1.868435454646632,,,3.3091614667333595,,,0.42958160816486946,,1.9364065917149815,1.5115043766172194,3.2110602152392502,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",0.1397015812130257,,,,0.005171684719576286,132.56239910227683,,,0.6615927543784563,,,2.0536432170718704,,,0.014835277744103212,0.6615925269353321,,,1.781759987909131,,
$\hat{S}_{x}$,,1.5918443990845454e-07,0.000825795415182867,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,6282021.035316583,,0.7809967585830893,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1210.9536837021026,1.2804150452739826,,0.008914421593339302,,0.050698184335127815,0.36466736270327893,,,0.0003200607831670745,,0.2852494838738477,0.7070073449949628,,,,,0.10271402463714008,,0.3038417562251323,
"$\hat{S}_{x,z}$",,,,0.013459023223789335,,,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,,112.17777727129064,,,0.03107731422299747,0.30829092488732157,,,0.18564349546398048,,0.04607629127271505,0.1799731458067205,,,,,2.7523104553935123,,0.02352726893606815,74.29959688549033
"$\hat{S}_{x,y,z}$",,,19.724572252721067,32.1778128194872,,,0.5215254617209705,,,1.677710955237785,,6.229709816060089,12.320163540041936,,,,,10.278575356027423,,12.86082210698534,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,2.7422251132840643,3.2436893832197424,,1.917451924015602,,3.297200518133157,32.444782754930316,3.8001681568893773,,1.8950085934479381,29.04095497448726,,,,,0.8328805821336366,,0.44102985176968235,
