ModelName,$S_{x}$,$S_{y}$,$S_{z}$,"$S_{y,z}$","$S_{x,z}$","$S_{x,y,z}$","$S_{x,y,z}HF_{z}$","$S_{x,y,z}HF_{y}$","$S_{x,y,z}HF_{x}$","$S_{x,y,z}HF_{x,y}$","$S_{x,y,z}HF_{y,z}$","$S_{x,y,z}HF_{x,y,z}$","$S_{x,y,z}HF_{x,y,z}T_{yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy}$","$S_{x,y,z}HF_{x,y,z}T_{xz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$S_{x,y,z}HF_{x,z}$","$S_{x,y}$"
"$S_{x,y,z}HF_{x,z}$",,,,,1.2309397229915437e+20,,45386014138501.96,,,,2755.3167186809364,3.9588132142806746e+17,,712207.2612242275,,,,1.4282402513249862e+45,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,,,,,,,,,,2.5260095535517766e-18,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,1.1731118057024545e-50,1.5715370500147743e-07,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,6363197.100511241,2.6713978016328027e-45,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,3.987017134195717e-05,,7.694674822420812e-32,,,,,,8.524336684185052e+49,,3.743358624420457e+44,3.5266628602245226e+48,,3.340373353681184e+26,,1.4040856565841238e-06,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,2.8355418128523226e-49,,,1.2212473994977966,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,0.818834906351671,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,6.466073985577924e-26,,4.065215270983315e-42,,,,,,,2.9936773351936013e-27,,,,,,7.001623144791603e-46,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,1.4444206765698017e-36,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,6.923190841983735e+35,,7.559319706639866e-123,,,,,,,,,,,,,,,,,
"$S_{y,z}$",,,1.3228703624237929e+122,,372082272.78755724,,2.4610162360838264e-22,,,,,,,,,,,2.8585506036392027e-19,3.7119458308680856e-29,2.470880207198343e-71,
"$S_{x,z}$",,,,2.687577649180176e-09,,,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,1.581962788976233e-11,,,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,4.0633620588837853e+21,,63212612013.91152,,2.730784360856674e+32,7.250302692388732,,,,,,,,,1.059794430489921e+31,6.299639666471668,6.249110480320128e-31,
"$S_{x,y,z}HF_{x}$",,,,,,,0.13792527600948112,3.3572484219625305e+32,,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,3.6619515415940424e-33,,2.9786297417199614e-33,,,,,,,,,,,,
"$S_{x,y,z}HF_{x,z}$",,,,4.047140760149882e+70,,,1.6002277494520664e+30,,,,414021694770.41205,8.10649783384133e+51,,,,,,1.2333785885719978e+51,1.2741103196886198e+33,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,,,,,,,,,,,2.415332366953696e-12,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,,,,,,,,,,1.2335783225962349e-52,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,4.0005927304370525e-14,,413.47196046677004,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,2.333417445968973e-13,0.0024185436876326422,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,24996295983639.23,4285559798687.2036,,,,1.6652587284602904e-17,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,2.6940048307928497e+28,,,0.15873923794757053,,,,,,6.0050728629094584e+16,,,6.12865062652701e+25,,1.4983299455987684e+30,,7.848613927280569e-34,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,,,,1.631680545912732e-26,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,3.4982763597989356e+18,,,9.435792180354456e-32,,,,,,,,,,,,6.674097403829009e-31,8.107810604672464e-52,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,1.054837454354944e-25,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,9.480133606096891e+24,,2.2925298157133167e-135,,,,,,,,,,,,,,,,,
"$S_{x,z}$",,,,0.03500445047323433,,,,,,,,,,,,,,,,,
"$S_{y,z}$",,,4.361993432520971e+134,,28.567795993959,,,2.463718130535119e-37,,4.790192004194436e-70,,,,,,,,3.38121821760574e-44,1.0238738170311146e-41,,
"$S_{x,y,z}$",,,,,,,,2.7357544672389003e-24,,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,4.058905877283942e+36,,3.655298792253328e+23,1.3491493459698076e+21,,4194688913.19484,19.28241068378331,,,,,,,,5.283033633246511e+18,2.0041751277744355e+17,,
"$S_{x,y,z}HF_{x}$",,,,,,,240620286970589.84,2.383967013273365e-10,,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,,7.4120778621522515e-22,4.155925556361033e-15,,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,2.0875989921163285e+69,,,,0.05186073548578703,,,48491618.46239258,1.9739868651874525e+19,,,,,,1.0741965557612306e+17,12.129277187450935,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,2.0622120517085744e-08,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,5.065889837646101e-20,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,1.816217829518398e-42,,9.27804273392642e-19,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,5.505947490148622e+41,2247446838831415.0,,,,1.2273368588630935e-07,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,4.449493455070826e-16,1.0778135310191713e+18,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,9.766828522870713e+40,,,,4.989583924786374e-18,,0.08244514364257496,,,8147722.385900802,,,5016691786039513.0,,1.457826625360982e-05,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,,,,1.9933455006799648e-16,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,2.9575139362288946e+43,,,,1.892851852592662e-19,,9.309283246503699e-18,,,,,,,,,68595.26246835994,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,3.510337418860415e-25,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,2.8487289986061704e+24,,,1e-160,,,,,,,,,,,,,,,,
"$S_{x,z}$",,,1e+160,1.5240353869400153e+33,,,8.317277417977005e-34,,,,,,,3.9323774866417954e-08,,,,1.1386041570088534e+45,,3.0859422576472873e-12,
"$S_{y,z}$",,,,,6.561527432823048e-34,,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,3.243470895578338e-60,,,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,1.1818277512790024e-29,,7.717413278317739e-26,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,1.2023165150636854e+33,3.0831169207137024e+59,,8.461469947018725e+28,476.78089932272627,,,,,0.017538299680823207,,,,6.023830921993646e+73,,1642368366366.23,
"$S_{x,y,z}HF_{x}$",,,,,,,0.002097399458368642,1.2957709583981e+25,,,,,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,,,,,,,,,,,7.214817553801282e-41,
"$S_{x,y,z}HF_{x,z}$",,,,,324050133317.2698,,6.088768028408379e-13,,,,1.3860364347995585e+40,10158826.922564453,,1.087473755363081e-17,,,,1.7125100776804987e+63,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,,,,,,,,,,9.843656237304653e-08,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,25429908.583216622,,57.01807006373735,,,,,,8.475326859627345e+19,,2.395879456886937e+43,,1.4466086999020757e+27,3.7740583411581355e+37,,9.195624216844888e+16,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,3.4430738787604856e-34,4.173832690645215e-44,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,1.1798954973212319e-20,2.9043814777509283e+33,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,6.912719383394364e-28,,7185152488419.624,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,,1.3917589106309283e-13,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,8.78268355024304e-46,,1.6600731543591202e-74,,,,,,,2.649667571628298e-38,,,,,,5.839381694935456e-64,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,1e+160,2.891279573422706e-91,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,1e-160,,,,,,,,,,,,,,,,,,,
