ModelName,$S_{x}$,$S_{y}$,$S_{z}$,"$S_{y,z}$","$S_{x,y}$","$S_{x,y,z}$","$S_{x,y,z}HF_{x}$","$S_{x,y,z}HF_{y}$","$S_{x,y,z}HF_{z}$","$S_{x,y,z}HF_{x,y}$","$S_{x,y,z}HF_{y,z}$","$S_{x,y,z}HF_{x,y,z}$","$S_{x,y,z}HF_{x,y,z}T_{xy}$","$S_{x,y,z}HF_{x,y,z}T_{xz}$","$S_{x,y,z}HF_{x,y,z}T_{yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$S_{x,z}$","$S_{x,y,z}HF_{x,z}$"
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,,,,,,,,,,,1.503107468703818e-15
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,7.656111251570073e-11,,8.441115100462776e-20,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,3.055442628866725e-07,,,,8494851130176071.0,1.184677602542318e+19,,,12.119081953086313,,,7.509545533984838e+47,1.6398109301419626e-19
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,,13061461192.78146,1.1771836665244458e-16,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,,3.027511404285626e-06,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,0.00396084620474966,,,,,,0.08251450100519656,330304.2883948973,,126380676290333.31,,8.820325866492716e+55,1.7117070980653045e-20
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,,7.912602063488789e-15,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,1e-160,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,1e+160,,5.459699450900415e-125,,,,,,,,,,,,,,,,,
"$S_{x,z}$",,,,1.1513565182574088e-41,,,,,,,,,,,,,,,,,
"$S_{y,z}$",,,1.8316026532102969e+124,,,,,2.050287914655514e-34,,,7.708696465742397e-34,5.481587009291683e-25,,,,9.548541417717758e-09,,5.486804941448418e-14,,8.685407031989635e+40,
"$S_{x,y,z}$",,,,,,,,7.455296647306113e-26,,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,6.023437998600504e-49,8.370464685003227e-43,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,4.877363773409445e+33,,1.3413282493076096e+25,1.660181444936167e+48,,6.094771078313906e+20,,4.7024143510359984e+23,2.9371485764638554e+17,,,,2.0027525523842286e+22,,1312902237827.8005,,,
"$S_{x,y,z}HF_{z}$",,,,,,,1.194676804253926e+42,1.6407507142608644e-21,,,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,,4.832355450602582e-12,,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,1.2972361857079472e+33,,,,2.1265671745402188e-24,,206938419622.11258,,31871238.035133753,,,,6.035696964092058e-18,,9.737753698546131e+16,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,1.8242892036647932e+24,,,,3.404662631006355e-18,,,3.137625212103887e-08,,603.2525050205091,,,0.04783759976307185,,9.102382050331938e-06,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,0.0016424278287179763,3.0473027356805664,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,0.07205311404116706,,0.3281590595811499,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,0.0016576806423141209,,13.878650677452425,608.8547591041283,8.572397134467415e-16,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,104728037.11616667,,,,4.993128076703855e-23,,,1.6568094885300934e+17,20.904058835576198,1166534849370494.0,,,,,651877025.1490165,72177.76158136886,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,1.3854682911891916e-05,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,18225543110632.58,,,,7.616713348394486e-13,,,1.0269308825805507e-17,109861.35216808801,,,,1.5340316676621698e-09,,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,7.064927130081587e-57,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,1.4154427661994186e+56,,,,,,,,,,,,,,,,,,5.0914606697954485e-70,
"$S_{y,z}$",,,,,,,,,,,,,,,,,,,,1.3465019080769228e-14,
"$S_{x,z}$",,,1.964072915131004e+69,74266511915174.52,,,,,3.0589402000010863e-50,,5.0532067994370695e-46,,1.6841831460225328e-42,,,,,2.8643347178931506e-45,,,
"$S_{x,y,z}$",,,,,,,,,8.941973568201161e-26,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,1.1183213553170543e+25,9.832640132711606e+20,2258443.4337143167,,,0.1545716881866419,,11584333.374799382,,,,,245512228757212.38,,3.2691060779797035e+49,
"$S_{x,y,z}HF_{y}$",,,,,,,3.6531062880092167e+20,,4.4278284108066605e-07,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,2.737396399558241e-21,1.0170208474051251e-21,,,,,,,,,,,,
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,,1.4688824220531947e-33,,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,6.469490058182725,,,1.1523636308448498e+20,2.026104550443625e+16,,,,,9.541169361327113e+17,,1.978941372657459e+45,6.807896840389759e+32
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,8.67781638740937e-21,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,1.9755499852904293e-06,2.2652466296722173,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,2.6715342633448374e-24,,0.4414530351358257,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,8.632348255579429e-08,,4.935579458528167e-17,,,3.7431674140236234e+23,506188.15390438633,,,3.997422157989617e+23,1.7192483643616413e+23,5.937596527798414e+41,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,5.816495282060664e-24,,,66385160008971.836,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,,,,1.506360758737121e-14,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,4.073116866976522e-15,,1.048089560230704e-18,,2.5016121902494276e-24,,,,,,,3.491212091076932e+44,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,5.3273637794327246e-101,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,1.8771010229500103e+100,,3.4049963654749804e-49,,,,,,,,,,,,,,,,,
"$S_{y,z}$",,,2.936860697237499e+48,,,,,6.148553997514372e-53,,,3.5577595478600613e-12,2.626122492944671e-31,,4.5645661231188217e-35,,,,4.131713481885688e-31,,3.970851820764744e+37,
"$S_{x,z}$",,,,2.5183513390520085e-38,,,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,,2.2821482442494735e-39,,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,1.6263986628470082e+52,,4.381836291835057e+38,2.568236452741764e+32,,680233120456186.0,,2.752533160850388e+16,442682533648951.5,,24.781196123756665,,,,1.7011730689223746e+26,,,
"$S_{x,y,z}HF_{z}$",,,,,,,6.712249110326655e+21,1.470084254835119e-15,,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,3.89372247610781e-33,1.489813598338478e-22,,,,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,281075768766.1846,,,,3.6330170848552195e-17,,3145464.8740967778,,0.20609901211332357,,6.351313204052427e-21,,,,64465.89988611314,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,,3.179180312058486e-07,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,3.807895491115116e+30,,,,2.2589551743936724e-15,,,4.852036842613054,,,5.039220519246408e-21,,,,1.561087297558023e+19,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,2.19078872564723e+34,,,,0.04035317726416535,,,1.574477541686898e+20,1.9844338944499007e+20,953410907157218.0,,4.126522450344213,,,2.0636326253023487e+22,4.182675007470556e+20,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,5296301764867.686,0.24233480176912287,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,,1.0488657015490797e-15,1.8881099385865194e-13,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,,,,1.788486183903054e-09,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,2.390814486456463e-21,,,559132079.9681423,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,2.4203033544901236e+30,,,,5.878296678147275e-27,,,1.5512076954895872e-05,6.405791665618442e-20,,4.845823756316545e-23,,,,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,5.741923951785714e-55,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,1.74157653148472e+54,,,,,,,,,,,,,,,,,,2.1236027221425174e-58,
"$S_{x,z}$",,,4.7089787066720895e+57,3.6773687042818937e+24,,,,,9.228870048840386e-32,,1.1945468023312325e-57,,3.2958194163967417e-29,,,,,3.851203737791763e-31,,,
"$S_{y,z}$",,,,,,,,,,,,,,,,,,,,2.7193357001042874e-25,
"$S_{x,y,z}$",,,,,,,,,3.1740986131207506e-65,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,6.496406600142696e-31,1.1423964608548334e-37,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,1.5393125177510204e+30,,5.3595493117530036e-05,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,3.1505007307155065e+64,8.753528518914695e+36,18658.285274231755,,,144533343.67999557,,3.2636955078575807e+22,,,,,506995013835.546,,1.083556269302601e+31,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,6.918818692896586e-09,,,1.4818955758763046e+16,43455447895.18699,,,,,0.8784294099187985,,8.371375638429885e+56,1893792635.2476969
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,,5.28040917145718e-10,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,6.748113809629667e-17,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,3.0640113257882923e-23,,2.3012074398863976e-11,,,292.8653432262027,129058.63608360419,24858412604.07421,,1.8402220809235382e-05,,3.0341468195283634e+28,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,0.003414538534959468,,544224.4064359338,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,7.748415994046303e-06,1.8374773129872856e-06,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,4.0227830148579294e-11,,,,,,28223.059346293376,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,3.543201988594242e-05,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,1.9724059856816855e-12,,1.1383954005962067,,54341.26730498406,,,,,,,2.5965907495026186e+30,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,1e-160,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,1e+160,,,,,,,,,,,,,,,,,,1e-160,
"$S_{x,z}$",,,1e+160,3.606935604427167e+49,,,,,1.0498969057910722e-31,,,0.01465466059407559,5.299784296658623e-17,,,,,1.3921328034334753e-12,,,
"$S_{y,z}$",,,,,,,,,,,,,,,,,,,,2.7724365213856214e-50,
"$S_{x,y,z}$",,,,,,,,,9.200823133120784e-28,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,1.086859279361905e+27,2.5187523088425236e+29,1.97610872140555e+18,,,,1.4334409395219782e+25,1414485.5710418602,,,,,30689403269.470905,,9.52474471049635e+30,
"$S_{x,y,z}HF_{x}$",,,,,,,,1.1551962957458617e-22,3.970219685712342e-30,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,8.656537453267559e+21,,5.060450314134175e-19,,,,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,,,2.2015739142164082e-13,,,,,,,,,5.87105984183291e+16
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,,1.703269983512561e-17,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,6.976220452678563e-26,,4542204981366.358,,0.5255524211773583,,,,,5.349541982506749e-13,,68.23767726181717,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,7.069708030060959e-07,,,1.9027597623083343,,4805682603.275119,8.510170297449712e+29,,,2557429.3145961813,2672902743167.737,1.8868692460379456e+16,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,1.1750646168616336e-30,1.0370195928344237e-10,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,2.080869842129171e-10,,9643019349.969654,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,3.741250977261036e-13,,,9950.925657084563,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,,,,0.00010049316359710213,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,3.2584537119194375e-11,,,1869318912292.0176,3.910176497518956e-07,,,,,,,718322273229.7222,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,8.942260518113488e-66,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,1.1182854692886604e+65,,,,,,,,,,,,,,,,,,9.144612429307508e-43,
"$S_{x,z}$",,,1.0935400573075208e+42,2.7514471399722546e+33,,,,1.5851140559214725e-49,,,,1.3129619312770466e-41,,,,3.1293539279496058e-34,,4.347120219349095e-52,,,
"$S_{y,z}$",,,,,,,,,,,,,,,,,,,,3.634451069301967e-34,
"$S_{x,y,z}$",,,,,,,,5.3448591946335135e-45,,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,7.851818940081731e+16,2.2373124618612963e-12,,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,1.8709566774070427e+44,6.614075763540861e+57,,446964837074.2395,,,1.4228720837638836e-05,,,,78371246565299.4,,6833578745928.031,,6.308694294043536e+48,
"$S_{x,y,z}HF_{x}$",,,,,,,,1.5119270412842197e-58,1.2735902440327932e-17,,,,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,8.071411921419918,,1.46808264599211e-13,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,,0.1238940608824832,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,70280.3865091462,,,6811605618593.861,,,,,10534253039.095123,,1730402181.8991103,,7.6163670566392925e+40,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,,1873951519976155.0,11.04979073253958,1.2736640555522816e-15,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,0.09049945145614259,4169011277.961094,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,5.336317345139881e-16,,2.3986502634002524e-10,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,1.275978172896349e-14,,,,9.492842029603444e-11,785136391060658.1,,,,,32920749151.452644,33.08785955230168,3.1955477808648293e+33,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,0.030222565422199917,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,1.4633620789046684e-13,,,,5.779003346508172e-10,,,,3.0375979459017703e-11,,,,2.3003734645961376e+51,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,4.8318292822069826e-107,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,2.069609544531012e+106,,,,,,,,,,,,,,,,,,3.1152094857349715e-88,
"$S_{x,z}$",,,3.2100569948157757e+87,519333012778532.0,,,,,2.2682203747658823e-10,,,2.1243866643487418e-08,,,2.953783491934487e-13,,,2.995467453861847e-11,,,
"$S_{y,z}$",,,,,,,,,,,,,,,,,,,,1.92554675977521e-15,
"$S_{x,y,z}$",,,,,,,,,1.7043758887706836e-71,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,5.867250332444393e+70,1e+160,125728372.33256972,,,,18.95571169323738,,,15960562.644087732,,,5076.376407268935,,4408742691.517426,
"$S_{x,y,z}HF_{x}$",,,,,,,,1e-160,1e-160,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,1e+160,,7.953654226548448e-09,,,,,,,,,,,,
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,,1.0884264347490171e-07,,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,,,1.2334424792734546e-08,,,,,,,,,9187575.458240248
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,0.05275454787365008,,81073906.30725145,,,,2551.936199399307,,,3.5747252197267574e-05,,47072409.970459074,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,,1.0512263231473677e-13,8.016165575305048e-06,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,9512699387188.133,,3.532776810289381e-12,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,6.265443282291992e-08,,,0.0003918593263559595,124747.9222585726,283063452264.36395,,,137869155144419.56,0.272677599180065,,3385488485295.4526,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,7.253253992544512e-15,4883.094334453851,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,,0.00020478817968849354,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,0.00019699090842989616,,,27974.178112533005,,,3.667334621571321,,,,,33383771161.01762,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,1e+160,,5.992090350532537e-41,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,1e-160,,,,,,,,,,,,,,,,,,,
"$S_{y,z}$",,,,,2.1546303041914118e-99,,,,,,,,,,,,,,,,
"$S_{x,y}$",,1.6688666917566198e+40,,4.641167433943056e+98,,,,,3.6158242103119327e-45,,,2.289283089273238e-36,,,,,8.539492285322253e-61,,,,8.80416882396915e-21
"$S_{x,y,z}$",,,,,,,,,8.134588386077865e-67,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,3.7899653891168293e-07,4.21264415974484e-28,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,2638546.5230674013,,6.994567358811799e-23,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,2.7656211746912643e+44,1.229318500873964e+66,2.3738060042094083e+27,1.4296809919775722e+22,,,,805726996198986.9,,,,,1962812760.768359,,,,47.9178556407792
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,,,,,,,,,,,,2.3937454743422703e-22
"$S_{x,y,z}HF_{x,z}$",,,,,1.1358255617242625e+20,,,,0.020869047385938883,,4.177553590048124e+21,1.977438178177939e+17,,,,,8.883421263049525e-10,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,4.36817973576812e+35,,,,1.2411151726546276e-15,,,,,,7.68515737731963e+16,,0.0075633398995866635,,,,5.057048109192597e-18
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,,3.547628537560853e-05,0.4899459704399167,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,1.3012095275383576e-17,2.0410413807508445,28.070980597939514,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,28187.844060120875,,0.035623978168878176,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,1.1710298066769238e+60,,,,5.094729461655537e-10,,,132.2167208239114,,,,1379033760.658317,,1.598334520207137e+19,,,1125692422.3097322
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,,7.251454087118392e-10,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,,6.256512559526053e-20,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,1.6731879710970745e-127,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,5.976614805235068e+126,,,,,,,,,,,,,,,,,,3.0525590305502345e-68,
"$S_{x,z}$",,,3.27593992447624e+67,8604.081261157378,,,,5.276452650343866e-26,,,2.216670949777953e-05,3.563730415169782e-36,,,,1.2701779365980752e-17,,1.1507708625505329e-29,,,
"$S_{y,z}$",,,,,,,,,,,,,,,,,,,,0.00011622391393656886,
"$S_{x,y,z}$",,,,,,,,4.129875380169076e-43,,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,2.5199715646964222e-27,1.2761109825341063e-12,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,2.4213805695005265e+42,3.9682987459442574e+26,,98884.7928759052,,2327203030677.1123,8.970815258379358e-25,,,,0.0009148730172989679,,257615482851.71466,,1.8952126859981016e+25,
"$S_{x,y,z}HF_{z}$",,,,,,,783630901768.5875,1.0112778425444479e-05,,,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,,2.0613267246577457e-06,,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,4.2970036856176e-13,,485124.45311940345,,6.113184892209455e-07,,,,524.995560142286,,128724551774.27145,,45112.694786755404,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,1.1147258874447685e+24,,,1635808.5312851963,,,,1.3935702863238808e+16,4.685807485548786e+18,,9.567484483938664e+16,,2.806048391716965e+35,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,,3.093187474948645e-05,3.014397880459658e-12,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,32329.110605124337,,4.50406546286601e-16,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,7.175813160008703e-17,331741209905.4132,2220216398372868.8,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,3.287429322054883e-15,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,1093.047866852995,,,0.0019047780132254392,2.1341038936918329e-19,,,,,304189049264465.1,3.948361073650211e-06,,7.872912693463293e+16,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,3.881754267757296e-12,,,7.768525787944308e-12,1.0452068165657774e-17,,,,253269.64311182217,,,,8.689827250088961e+28,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,1.784544388405873e-36,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,5.603671203120345e+35,,1e-160,,,,,,,,,,,,,,,,,
"$S_{x,z}$",,,,2.521591664305237e-42,,,,,,,,,,,,,,,,,
"$S_{y,z}$",,,1e+160,,,,,,5.937773891610579e-44,,2.511592219040473e-07,,1.9821232226797978e-10,,,,,,1.0652368916481e-42,3.965749150251595e+41,
"$S_{x,y,z}$",,,,,,,,,6.33986154262437e-81,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,1.684132838761156e+43,,1.5773215129017668e+80,1.1818683499148119e+27,7370751.027543393,,,14535908937537.932,,2.6547329737318752e+19,,,,,,3.491250162904321e+28,,
"$S_{x,y,z}HF_{y}$",,,,,,,124.54318008197149,,1.3567138494614045e-07,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,0.00802934371309471,8.46117928508771e-28,,,,,,,,,,,,
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,,0.00019391274600589708,,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,3981538.05549708,,,,,6.879514754096817e-14,,,10266.914801582414,2.655056820922958e-06,,,,,,9.606181262979355e-11,,5156.958583679636
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,9.740024333754796e-05,,3.9919031326438475e-07,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,5045095020.116946,,,,,3.7668571939054795e-20,,376639.77362728433,2505070.8065095195,,76298831812597.55,438082.43810961343,,,,383079.8432913145,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,1.3106360559440334e-14,,1.5259840378200113e-14,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,2.2826753893973446e-06,65531484944533.164,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,,,,5.432440101024751e-08,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,9.387583248762934e+41,,,,,2.864303482532785e-29,,10409963882.878576,,2.6104218676928567e-06,,,18407934.213786628,,5254395207.318841,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,,,,1.9031686056029838e-10,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,1.1133342132120249e-10,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,8982028829.554693,,,,,,,,,,,,,,,,,,7.911392877431157e-29,
"$S_{y,z}$",,,,,,,,,,,,,,,,,,,,1.1108019843734408e-136,
"$S_{x,z}$",,,1.2639999245299794e+28,9.002504623396583e+135,,,,,9.566159209198429e-20,,,4.36810938628918e-52,1.7361960987087157e-27,,,3.26536215848921e-13,,3.9594775358891873e-13,,,
"$S_{x,y,z}$",,,,,,,,,5.38455199867728e-36,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,7.744520572675131e-63,3.8087517568997364e-66,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,1.857164719080902e+35,2.6255321003487616e+65,1.841352920750329,,,,3.223881495903468e-21,1.1789416132366202,,,2.0789106153021714e+19,,6.086233418535935e+17,,1.0453516172284074e+19,
"$S_{x,y,z}HF_{y}$",,,,,,,1.2912355136976254e+62,,0.5430789441453255,,,,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,,,,,,,,,,,,7.976708245499653e-11
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,,12536499633.971018,4.094211915048636e-23,,,,,,,,,
