ModelName,$S_{x}$,$S_{y}$,$S_{z}$,"$S_{y,z}$","$S_{x,y}$","$S_{x,y,z}$","$S_{x,y,z}HF_{x}$","$S_{x,y,z}HF_{y}$","$S_{x,y,z}HF_{z}$","$S_{x,y,z}HF_{x,y}$","$S_{x,y,z}HF_{y,z}$","$S_{x,y,z}HF_{x,y,z}$","$S_{x,y,z}HF_{x,y,z}T_{xy}$","$S_{x,y,z}HF_{x,y,z}T_{xz}$","$S_{x,y,z}HF_{x,y,z}T_{yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$S_{x,z}$","$S_{x,y,z}HF_{x,z}$"
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,0.00018392312907055942,,,,,1.8801363746044567e-06,9.712932006821087e+20,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,1.4111270129630295e-30,,,,1.3805691596457843e-18,,,531876.3114778736,,,,807944937686.1213,2.9892674374494655e-25
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,1.636598768236054e-14,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,61102331213276.67,,,,,,,,,,,,,,,,,,7.138759385154116e-132,
"$S_{x,z}$",,,1.4008036215362809e+131,3.2359644600058175e+71,,,,1.1205283895755907e-13,,,,116.86836765463582,33764582265407.95,,,,,8.178113836244511e-15,,,
"$S_{y,z}$",,,,,,,,,,,,,,,,,,,,3.090268797322336e-72,
"$S_{x,y,z}$",,,,,,,,1.499568466623503e-48,,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,1.7759512315636676e+38,0.0004004503005597812,,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,4.7504868818068585e-58,5.6307852503333235e-39,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,6.668585144709303e+47,2.105047387520935e+57,,2497.188786229204,,,8.4128023374676e+18,0.0008672859538284053,,,,,45775508086567.805,,8924361125546.834,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,,1.0269652144579615,1.1212482913614432e-12,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,0.9737428161359936,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,1.1886645613273941e-19,,891863120509.8909,,,136.44426653153792,,,,,2.841352023552753e-15,,0.008556635298913007,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,0.0004052140167774368,,33150193.532845322,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,1.1592639084022908e-09,3.0165736408422375e-08,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,1153.0222478362107,,,,0.0073289997844567445,,2467.831710148488,862616348.833123,158750.4781741003,,2.20687287318401e-12,,2.961683316972374e-14,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,6.2991936244961e-06,,,,,,30938286.69901225,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,3.232241040781119e-08,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,2.1845743319961888e-14,,,,351945127429027.94,453129861783.66943,,,,,,,122277583807663.42,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,9.498646332935137e-127,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,1.0527815911333064e+126,,,,,,,,,,,,,,,,,,1.3609775881456008e-72,
"$S_{x,z}$",,,7.347659569931268e+71,2.565357402097896e+16,,,,,3.820313949454557e-43,,2.6505446437449687e-35,4.112142274768747e-46,,,,,7.296656092384081e-21,9.922524612779067e-21,,,
"$S_{y,z}$",,,,,,,,,,,,,,,,,,,,3.8980923250000983e-17,
"$S_{x,y,z}$",,,,,,,,,3.1076598525655695e-31,,,,,,,,,,,,
