ModelName,$\hat{S}_{x}$,$\hat{S}_{y}$,$\hat{S}_{z}$,"$\hat{S}_{y,z}$","$\hat{S}_{x,y}$","$\hat{S}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{z}$","$\hat{S}_{x,y,z}\hat{A}_{y}$","$\hat{S}_{x,y,z}\hat{A}_{x}$","$\hat{S}_{x,y,z}\hat{A}_{y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$","$\hat{S}_{x,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$"
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,5.153908720112964e-39,,,,,,,,6.633710131228278e-05,,,,,
$\hat{S}_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1e+160,,3.769741284018109e+34,6.248571364710255e-67,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1e+160,2.6527019353808686e-35,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y}$",,,,3.1168427313505918e-46,,,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,1.600365814252599e+66,,,3.208374904327237e+45,5.062416992286005e-19,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}$",,,,1.9753410308233736e+18,,,,,5.074132410477506e-32,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,,,1.5705969350704197e-18,2.7950284844865424e-11,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,6.36700593048823e+17,,0.00011991835729207373,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,1.9707802617352154e+31,35777810693.1781,8339.006825822298,,,,,,,,,,,,6.897616674228999e-24,
"$\hat{S}_{x,y,z}\hat{A}_{x,y}$",,,,,,,,,1.4497761288130408e+23,,1.968297227894352e+59,6.35747803709374e+60,,,,,3.084009802082544e+23,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,,,,,,,,,,,,,5.080533497828382e-60,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,,,,,,3.978574115777862e-24,,,,,1.5729507741361235e-61,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,,2.990718024208925e-06,,6.628493860390945e-34,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,,334367.864808823,2.914390994008569e-35,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,2.513463293380139e+23,3.43124859380848e+34,1.508638343886194e+33,,,1.5235748776028876e-23,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",,,,,,,,,,,,,,,,,1.5262593926152377e-48,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,,,,,,,6.563510692519079e+22,6.551966230894115e+47,,4.208699682063642e+23,,3.24253184709312e-24,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,,,,,,,,,2.376030782765836e-24,,,,
$\hat{S}_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1e+160,,5.387894255844131e-71,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1e+160,1.8560126693565335e+70,,,,,,,,,,,,,,,,,6.867005272930911e-82,,
"$\hat{S}_{y,z}$",,,,,,,,,,,,,,,,,,,1.169749944244827e-59,,
"$\hat{S}_{x,z}$",,,1.4562388701548052e+81,8.548835628674341e+58,,18.934700739345775,3.512874799477733e-27,,,,8.723097204145242e-19,,,,2.4733251495980517e-21,,,,,,
"$\hat{S}_{x,y,z}$",,,,,,,2.865242943487374e-56,,,,,,,,,,,,0.05281308713382663,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,2.722339052398711e-29,,131.30281973725542,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,3.490105445588742e+55,,3.67331173947227e+28,1.2490876728097021e+28,,1.131329152195723e-05,,,,1574.6154938091152,,,,2.8466713363899912e+26,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,8.005843158715965e-29,0.007615982672733596,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,,,2.78334602439549e-78,,,,,,,,,,
