ModelName,$S_{x}$,$S_{y}$,$S_{z}$,"$S_{x,z}$","$S_{y,z}$","$S_{x,y,z}$","$S_{x,y,z}HF_{z}$","$S_{x,y,z}HF_{y}$","$S_{x,y,z}HF_{x}$","$S_{x,y,z}HF_{x,y}$","$S_{x,y,z}HF_{x,z}$","$S_{x,y,z}HF_{x,y,z}$","$S_{x,y,z}HF_{x,y,z}T_{xy}$","$S_{x,y,z}HF_{x,y,z}T_{yz}$","$S_{x,y,z}HF_{x,y,z}T_{xz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$","$S_{x,y,z}HF_{y,z}$","$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$S_{x,y}$"
"$S_{x,z}$",,,1.0000000000000003e+160,,1.4901618796231955e+97,3994859810584.589,,,,,,3.11230812693646e-63,,8.292990048434854e-48,,,,1.494620977922657e-13,,,
"$S_{y,z}$",,,,6.710680320535792e-98,,,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,2.5032167520633587e-13,,,,,47708588.75993908,,,9.049927736078088e-41,,9.29028653054088e-31,,,,108421.17607675352,,,
"$S_{x,y,z}HF_{x}$",,,,,,2.0960586468650702e-08,2.119967249021384e+16,6.628697023666127e+16,,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,,46707549.52342474,4.7170540038371747e-17,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,2.140981511989792e-08,,1.5085921055521875e-17,,,,,,,,,,,,
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,1.6652863757475543e-18,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,,6.00497316595829e+17,2.9920868470993204e-29,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,3.213049477155497e+62,,1.1049811989254226e+40,,,,3.342148978628245e+28,,,,932189445.8420963,,,,1.3641620574876568e+32,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,1.466050827373732e-10,1.5050557238319803e-22,,,,,,,
