ModelName,$S_{x}$,$S_{y}$,$S_{z}$,"$S_{y,z}$","$S_{x,z}$","$S_{x,y,z}$","$S_{x,y,z}HF_{z}$","$S_{x,y,z}HF_{y}$","$S_{x,y,z}HF_{x}$","$S_{x,y,z}HF_{x,y}$","$S_{x,y,z}HF_{y,z}$","$S_{x,y,z}HF_{x,y,z}$","$S_{x,y,z}HF_{x,y,z}T_{yz}$","$S_{x,y,z}HF_{x,y,z}T_{xz}$","$S_{x,y,z}HF_{x,y,z}T_{xy}$","$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$S_{x,y}$","$S_{x,y,z}HF_{x,z}$"
$S_{y}$,1e+160,,0.0005142795925310825,,,,,,,,,,,,,,,
$S_{z}$,1e+160,1944.4675902428717,,1.451603155969158e-43,,,,,,,,,,,,,,
"$S_{x,z}$",,,6.888935146550803e+42,,2.7540671293938e+31,,,252.17381581299495,,,,5.22392885564579e-11,,1.7543210284358463e-14,,,8.404644925478127e-06,3.835125203640347e-11
"$S_{y,z}$",,,,3.6309935561378665e-32,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,,8.562059292893592e-10,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,0.00013814104760005995,8.92745514380438e-10,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,0.0039655187703610435,,1167943325.0713274,7238.977967614356,,6896.954284589276,,,3.5347590915704616e-15,,3.4179972790665208e-09,,,8.697114683220818e-10,1.170362870328523e-10
"$S_{x,y,z}HF_{y}$",,,,,,,1120140044.2700584,0.00014499153666052632,,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,,145983.07849697693,3.1238952545389474e-06,,,,,,
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,6.850109000960055e-06,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,19142680301.230453,,,,282904711210661.06,,320113.16594147106,,,,1704555537.2861423,,,805379095771163.6,24.970713955753432
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,,2.1842657710591453e-16,0.040247233772891425,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,57002109864213.43,,,,292568986.559611,,,,5.8666319643191e-10,4578197457698119.0,,6896591360907.078,,1010433117.2114271,152309906.63853312
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,24.846428095973923,1.4499916664171828e-13,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,,0.0395280030323933,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,118981.82598631454,,,,1149806615.669081,,,,1.2416512984391327e-15,,9.896746088051624e-10,,25.298520625504338,,5.4351858127003906e-17
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,26074768016.720497,,,,8544358551.970281,,,,0.04004691262620438,,6.565561112011137e-09,,,1.8398635013789252e+16,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,4.1169705909430853e+40,1.778168481922301e-83,,,,,,,,,,,,,,
$S_{z}$,1e+160,2.4289704721231136e-41,,,,,,,,,,,,,,,,
"$S_{y,z}$",,5.6237640592917454e+82,,,2.0042582672773686e+63,,,1.6652210178483612e-57,,,,8.863445924160026e-37,,,4.704041669622113e-51,,,8.015885270123541e-34
"$S_{x,y}$",,,,4.989376949700317e-64,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,,2.1762986384786253e-32,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,6.889193713533902e-05,0.01150949844069568,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,6.005208853849948e+56,,4.594957614360615e+31,14515.486740276852,,2.43484755548269,,,0.06674663102813826,,,2.5692802258069598e-08,,,619406.5703927008
"$S_{x,y,z}HF_{y}$",,,,,,,86.88475915372348,0.4107033303782165,,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,,13.361944923839918,3.3994548413929443e-10,,,,,,
