ModelName,$R_{x}$,$R_{y}$,$R_{z}$,"$R_{x,y}$","$R_{x,z}$","$R_{y,z}$","$R_{x,y,z}$","$R_{x,y,z}HF_{x}$","$R_{x,y,z}HF_{y}$","$R_{x,y,z}HF_{z}$","$R_{x,y,z}HF_{x,y}$","$R_{x,y,z}HF_{x,z}$","$R_{x,y,z}HF_{y,z}$","$R_{x,y,z}HF_{x,y,z}$","$R_{x,y,z}HF_{x,y,z}T_{xy}$","$R_{x,y,z}HF_{x,y,z}T_{xz}$","$R_{x,y,z}HF_{x,y,z}T_{yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$"
$R_{z}$,1e+160,6.99538015659431e+35,,,1e-160,,,,,,,,,,,,,,,,
"$R_{x,z}$",,,1e+160,,,7.967250589704915e+21,1.5943418950162674e-12,,,,,,,,,,,,,,
"$R_{y,z}$",,,,,1.2551381291962567e-22,,,,,,,,,,,,,,,,
"$R_{x,y,z}$",,,,,627218040952.1239,,,,,1e-160,,,,,,,,,,,
"$R_{x,y,z}HF_{x}$",,,,,,,,,7.545072696458744e-74,1.7382947799903547e-26,,,,,,,,,,,
"$R_{x,y,z}HF_{y}$",,,,,,,,1.3253682770602686e+73,,2.1721382814193076e-71,,,,,,,,,,,
"$R_{x,y,z}HF_{z}$",,,,,,,1e+160,5.752764211864852e+25,4.6037584648919546e+70,,,,7.702911506554185e-26,,,,,,,,
"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,,,,3.371068142734091e-34,,,,,,,,
"$R_{x,y,z}HF_{y,z}$",,,,,,,,,,1.2982104223177545e+25,,2.9664188253072635e+33,,1.3556492067560898e+95,,,,,,,
"$R_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,,,7.376539557699319e-96,,,,,,,,
$R_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$R_{y}$,1e+160,,4.376998391909667e-26,,,,,,,,,,,,,,,,,,
$R_{z}$,1e+160,2.2846707045823338e+25,,,,1e-160,,,,,,,,,,,,,,,
