ModelName,$\hat{S}_{x}$,$\hat{S}_{y}$,$\hat{S}_{z}$,"$\hat{S}_{x,y}$","$\hat{S}_{y,z}$","$\hat{S}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{y}$","$\hat{S}_{x,y,z}\hat{A}_{z}$","$\hat{S}_{x,y,z}\hat{A}_{x}$","$\hat{S}_{x,y,z}\hat{A}_{y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$","$\hat{S}_{x,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y}$","$\hat{S}_{x,y,z}\hat{A}_{z}\hat{T}_{xz}$"
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,,3.708800800647719e-20,1.9789923417070527,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,,,7.07586679190065e-42,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,1.897453133093971e-24,,,1.4132544173169631e+41,5.064450437971261e+17,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,1.9745479045512862e-18,,,,,5.932004935254113e-13,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,9.35766690167262e-48,,4.6040586551227615e-50,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,,,1.0686424410140705e+47,9.696669539112793e-15,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,1.430806443188339e+50,,,6.248657240124197e-13,,,,1685770681101.3682,103128192207269.52,2.1719966553582852e+49,,,,,6.097114750210772e+37,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,,,,,,,,,,,2.267328610125903e-21,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",,,,,,,,,,,,,,,1.6401200255668975e-38,4.4104766972638816e+20,,2.5463834362999587e+20,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,,,,,,,,,,,3.927138331739455e-21,,,
$\hat{S}_{x}$,,9.999999999999992e-161,1.0672321066019966e+60,,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1.0000000000000006e+160,,1.0000000000000006e+160,,3.628202351616811e-29,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,9.370032946103357e-61,9.999999999999992e-161,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,2.756185854833529e+28,,8.07838431721627e+16,,1979055.3339463947,,1.6628672531800083e-85,,,1.5000110831233456e-78,,,,,,,2.9026523010116383e-48,,,,
"$\hat{S}_{x,y}$",,,,,1.237871288035712e-17,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}$",,,,,5.052915817194053e-07,,,3.2243742076601993e-71,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,,9.24534180832326e-50,9.257299289241746e-14,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,6.01370914056811e+84,3.101376997819556e+70,1.0816257751549378e+49,,1.5544740475218682e+25,,21120.071087998935,,,,,,,7.086036202878471e+32,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,10802286593047.04,6.433044035660764e-26,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,,,8.729820331338047e-09,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,6.666617408704637e+77,,,4.734832547832807e-05,,114549894.73382746,,256521313.22808215,,,,,,4.010740818343293e+45,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,,3.8983115571019416e-09,,4.956656472732528e+34,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,0.0003512968033390686,,2.6895752791261473e-28,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,1.0109930195002487e-05,3.7180591588605903e+27,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,2.017489018053163e-35,,2846.595785942318,98912.6512954874,0.002483808686246588,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,,,,,,,,,,,,,0.0003921491865012931,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,,,,,402.6074977260635,,,,2550.049915752413,3.481354237644381e-07,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,3.4451249970638157e+47,,,1.4112262079521727e-33,,,2.49330496607125e-46,,,,,2872445.4098547543,,,,,,
$\hat{S}_{x}$,,9.999999999999992e-161,4.225033812679609e-47,,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1.0000000000000006e+160,,2.4645720953426055e+152,,2.540159210419851e-59,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,2.366844963462619e+46,4.057499481917113e-153,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y}$",,,,,3.924353880509161e-79,,,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,3.9367611128387284e+58,,2.548190174608453e+78,,4.285980292270243,,8.244739155528944e-73,,,,,,,,,1.8194340159253504e-37,298102801.26947314,,,,
"$\hat{S}_{x,y,z}$",,,,,0.23331885165302746,,,6.0084077411239804e-55,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,2.3613889938555115e-06,1.5791859356610006e-35,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,1.2128946484976387e+72,1.66433445113186e+54,4.1511269581805324e+22,,6.332376558188063e+34,58353379500101.83,,,,,,,8.607980038432359e+24,1.4116651696391802e+42,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,,2.4089843796015987e-23,423479.57181221107,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,1.7136968048238838e-14,,,10.393033414746146,1.167645509777224e+63,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,,,0.09621829932550308,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,8.564243099695477e-64,,,,3.0101508823069386e-15,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,,,0.0016078475419970435,149272435768244.6,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,332209260963561.3,621.9495156598864,,3.4004007047051616e+17,,4.1022532296827945e-08,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,6.6991604635739096e-15,2.9408298810675225e-18,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,,5.496214708789025e+36,,,1.1617127311346727e-25,,,,,,24376847.16204916,,,,0.6528637725799008,2.179053044230618e+17,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",,,,,,,,,,,,,,,,,4.5891494135383975e-18,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,3.3545474773852917e-09,,,7.083832777822229e-43,,,,,,,,,1.5317131107586688,,,,,
$\hat{S}_{x}$,,9.999999999999992e-161,9.999999999999992e-161,,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1.0000000000000006e+160,,6.997592389017926e+106,,7.854267954482657e-68,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1.0000000000000006e+160,1.4290629468064008e-107,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,1.2731931298947737e+67,,6.3507830434704956e+44,,1.948533726819052e-49,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y}$",,,,,1.5746089783812434e-45,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}$",,,,,5.132064106647429e+48,,,1.354837815955736e-48,,,,,,,,,,,,,,
