ModelName,$\hat{S}_{x}$,$\hat{S}_{y}$,$\hat{S}_{z}$,"$\hat{S}_{x,y}$","$\hat{S}_{y,z}$","$\hat{S}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x}$","$\hat{S}_{x,y,z}\hat{A}_{z}$","$\hat{S}_{x,y,z}\hat{A}_{y}$","$\hat{S}_{x,y,z}\hat{A}_{x,z}$","$\hat{S}_{x,y,z}\hat{A}_{y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$","$\hat{S}_{x,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y}$"
$\hat{S}_{y}$,1.0000000000000003e+160,,0.08423239509856999,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1.0000000000000003e+160,11.871916960568262,,,,,,,,,,,,,,,,,1.103492464470628e-109,,
"$\hat{S}_{x,z}$",,,9.062137098323769e+108,,5.432476183123185e+20,11289.976398963157,,1.6047411433112854e-34,,,,,,,,,4.1290829946657285e-27,3.991779806006965e-11,,,
"$\hat{S}_{y,z}$",,,,,,,,,,,,,,,,,,,1.8407811949671355e-21,,
"$\hat{S}_{x,y,z}$",,,,,,,,4.950324060366107e-53,,,,,,,,,,,8.857414441467191e-05,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,9925447152040260.0,2.1023724707600767e-16,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,,1.810547080977009e-44,1.0075112835540527e-16,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,2.020069772818153e+52,5.523192467662198e+43,,4756531080520032.0,,12575375.059501655,,,,,,1743779008.9517539,2.3962760191535365e+21,6.231534625806134e+33,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,,,,2.2934595799889256e-26,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,7.952049106037787e-08,,4.36022508844402e+25,,2.1504680594746203e+31,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,,4.6501504432681946e-32,,779752469946.1965,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,,0.7484232175575429,,3214468552847.8037,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,1.2824582653377176e-12,,1.3361424078524322,3738.2836370426335,,1.027717884777104,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,0.00026750244151915194,3.11093415150715e-13,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,,,,,,,,,5.2925457233396365e-16,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",,,,,,,,5.734671623333365e-10,,,,,0.973029675567906,,,1889449902322228.0,,201.17380079276242,2.421845240921236e+26,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,4.1731419586348035e-22,,,,,,,,,0.004970826201321027,,25051482010.4848,,
$\hat{S}_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1e+160,,4.860935886920953e-82,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1e+160,2.057217011832318e+81,,,1.001531066955192e-49,,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,,9.984712736272408e+48,,,3481987.6914648144,,,,,,3.0098260965384476e-50,,,,,,3.14070789816611e-36,7.820265713951148e+39,,
"$\hat{S}_{x,z}$",,,,,1.2787289288854038e-40,,,,,,,,,,,,,,,,
