ModelName,$S_{x}$,$S_{y}$,$S_{z}$,"$S_{y,z}$","$S_{x,z}$","$S_{x,y,z}$","$S_{x,y,z}HF_{z}$","$S_{x,y,z}HF_{x}$","$S_{x,y,z}HF_{y}$","$S_{x,y,z}HF_{x,z}$","$S_{x,y,z}HF_{x,y}$","$S_{x,y,z}HF_{x,y,z}$","$S_{x,y,z}HF_{x,y,z}T_{xz}$","$S_{x,y,z}HF_{x,y,z}T_{yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy}$","$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$","$S_{x,y,z}HF_{y,z}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$S_{x,y}$"
"$S_{x,y,z}HF_{y}$",,,,,,,,2.6585179608293382e-11,75933.86730587721,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,1.7810489723289424e+35,1.1064602557643265e+56,37614942412.80375,,2.8848385118756496e+16,,,7.564376835623299e-35,,,2.708854161495933e-28,,,1.0486317759068758e-17
"$S_{x,y,z}HF_{z}$",,,,,,,1.3169354274711107e-05,3.4663985380236247e-17,,,,,,,,,,
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,,9.396541229251529e-08,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,10642213.72101247,,1.230557528466634e-35,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,1.4410099674889672e+69,,,1.321985963590087e+34,,,8.126397806416042e+34,,,,26.798855108357746,,,8.597263949485266e+39
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,3.0415624459213545e-07,0.006186909081732434,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,3287783.8866697294,,1.7489191869053647e-13,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,5.2865560821032934e+82,,,3.6915977767063014e+27,,,,0.037315026927703734,161.6315977476727,5717817080899.295,,,2.806146424793268e+16,5.268824389282957e+17
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,,8.903216703407351e-05,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,3.5636059158020276e-17,11231.895541948224,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,7.324479643734112e+62,,,9.536235912126368e+16,,,,1.1631607519272127e-40,,,1.8979565954675738e-18,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,7.308889486884624,,7.933828139402475e-35,,,,,,,,,,,,,
$S_{z}$,1e+160,0.13681969084283485,,,,,,,,,,,,,,,,
"$S_{x,y}$",,,,,5.723609408483514e-40,,,,,,,,,,,,,
"$S_{y,z}$",,1.2604255882902368e+34,,1.7471492700354492e+39,,,,2.875869040383412e-54,,,,1.2481127404503095e-110,,,3.319544501314516e-93,,3.885991491047403e-123,
"$S_{x,y,z}$",,,,,,,,1.6657912819745782e-51,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,,1.0525244458419332e-27,0.03123954628171286,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,3.4772097962662426e+53,6.003153040965795e+50,9.500966974691805e+26,,1.1650216257486145e+22,,,9.498267054987388e-40,,,1.1421961307356176e-19,,1.507212611987491e-25,
"$S_{x,y,z}HF_{z}$",,,,,,,32.010708189618754,8.58353165210495e-23,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,,0.25245636723101755,,,,,,,
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,3.961080526382291,,8.741116214101494e-59,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,8.012096724845607e+109,,,1.0528236300483003e+39,,,1.1440186533463114e+58,,,,45764310082909.52,,110002237.00117183,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,,2.5944884583573898e-49,7.030569650323476e-10,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,3.854324334258612e+48,,1.908770963029372e-26,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,3.0124614976663426e+92,,,8.755063802886131e+18,,,,2.1851088723687448e-14,1422359850.9602847,5.238973241781298e+25,,,1.0549135705887386e-05,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,,3.3131974735784826e-35,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,2.573345830282472e+122,,,6.634764014357249e+24,,,,9.090724218538821e-09,,,94794.49576536476,3.018232411362824e+34,,3689844378090.899
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,,2.7101413976634794e-13,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,1.478543410470753e+43,,1.2294493217586024e-61,,,,,,,,,,,,,
$S_{z}$,1e+160,6.763413187047448e-44,,,,,,,,,,,,,,,,
"$S_{x,y}$",,,,,9.719991906925424e-95,,,,,,,,,,,,,
"$S_{y,z}$",,8.133722816403701e+60,,1.0288074409686568e+94,,,,,3.241840570941258e-32,,,8.911869100951139e-55,1.6445111134321673e-71,,,,,1.3986407369069263e-71
"$S_{x,y,z}$",,,,,,,,,7.28421600168107e-67,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,,6.4006777959212e-07,7.029974566988692e-40,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,1562334.540003318,,7.45047442830279e-27,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,3.0846674230795168e+31,1.3728313380180068e+66,1.4224802529098658e+39,1.3421964059110244e+26,,,,1.6174010982789698e-19,1.1788016498566863e-21,,,,,8.195763211967483e-22
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,,42943094.84421279,3.1937651623206214e-45,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,2.328663091534877e-08,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,1.1220990666181046e+54,,,,6.182758259927431e+18,3.131100594989865e+44,,,1.1622594785527634e-06,,,,,3.083021966738331e+27
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,6.080834552178585e+70,,,,8.483191384416333e+20,,,860393.069235445,,4.979056472913952e+19,955121448415.7216,1600719638237.9575,,9.165320242492834e+33
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,2.0084126489426183e-20,,9.884868518522713e-15,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,1.0469872723083743e-12,101164724460032.5,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,6.247190176918061e-13,,,,282398.4272542586,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,3.54109620837104e-06,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,7.149798898403928e+70,,,,1.2201426202013697e+21,,,3.2435707912193225e-28,1.091069350052535e-34,,,,,
$S_{x}$,,3.237078035057284e-103,3.3395651220240428e-149,,,,,,,,,,,,,,,
$S_{y}$,3.0892057255651047e+102,,1.0236514055963903e+35,5.38454604238628e-07,,,,,,,,,,,,,,
$S_{z}$,2.99440185611329e+148,9.768950587406162e-36,,,,,,,,,,,,,,,,
"$S_{y,z}$",,1857166.7734441508,,,219866.48743208306,,,7.467359056879007e-58,,,,6.505179084869869e-122,,1.6283968159073997e-109,,,,5.544971189672404e-76
"$S_{x,y}$",,,,4.548214744681819e-06,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,,5.845071199945162e-57,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,,1.220342152358828e-14,45862.36775395628,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,1.3391615327225893e+57,,1.710843145947276e+56,81944231629389.89,,7.674570188911199,,,5.377727391224475e-69,,1.5407705607647494e-56,,,,9.556007974003059e-21
"$S_{x,y,z}HF_{x}$",,,,,,,2.18043692241279e-05,0.13030045662294884,,,,,,,,,,
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,,20079834886.190308,8.936712196820142e-36,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,4.980120631807283e-11,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,1.537236695490612e+121,,,,1.8595215548334187e+68,,1.1189797522581288e+35,,,,35044872171965.766,,,,1.6173714973676968e+25
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,2.4074025333451152e-49,0.0032284790120619866,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,6.141009305786225e+108,,,,6.490259000688966e+55,,,,2.8534845129209873e-14,4.15385456378368e+48,,43.195975022998034,,1.4114900306667346e+26,4.802884793140668e+26
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,309.74337954927984,0.023150305079757745,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,,1.8415282708930223e-50,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,7.084711746264604e-27,,5.430272322211293e+49,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,1.8034358805371536e+75,,,,1.0464620819912262e+20,,,,6.182871415920951e-26,,2.0820820050236665e-27,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,3.318158426170172e-55,,,,,,,,,,,,,,,
$S_{z}$,1e+160,3.0137198757993086e+54,,3.206320872175602e-28,,,,,,,,,,,,,,
"$S_{y,z}$",,,3.118839442047061e+27,,3.368116412766148e+51,,,2.1568295831508498e-51,,,,7.2469026497214e-66,,1.7712066072054173e-48,,,,1.2649532218641058e-40
"$S_{x,z}$",,,,2.9690185179161474e-52,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,,1.827681809310343e-67,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,,1.790637953514169e-14,50289723934.18939,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,4.636434921942831e+50,,5.471411899521721e+66,55846018344326.75,,2.8854826737591046e+30,,,1.6342275266698065e-33,,5.040811019900354e-58,,,,5.818804183474806e-25
"$S_{x,y,z}HF_{z}$",,,,,,,1.988477807729924e-11,3.465624691127448e-31,,,,,,,,,,
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,,172532489.89231187,3.109684123299306e-43,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,5.79600978705032e-09,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,1.379899866653299e+65,,,,6.1190989851809584e+32,,3.2157607022124876e+42,,,,4.0031656099242645e-32,,,,1.4545024775027666e+46
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,1.7323432530297829e-15,1.9659593499242e-27,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,5.645868731134561e+47,,,,1.9838077564347332e+57,,,,2.4980230583538583e+31,577252803825713.8,,7.060460903841619e+40,,5.154567576938692e+21,2.8453813218462344e+22
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,5.086575162597112e+26,1.4163381309227234e-41,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,,1.514827303124845e-11,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,1.9400269471176511e-22,,66014125698.49784,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,7.905430672972587e+39,,,,1.7185661666360314e+24,,,,6.87520313968044e-47,,3.514467436481051e-23,,,,
$S_{x}$,,1.5198176397194537e-108,7.268096334339415e-160,,,,,,,,,,,,,,,
$S_{y}$,6.579736764896295e+107,,3.427567061019127e-24,,,,,,,,,,,,,,,
$S_{z}$,1.3758760946457493e+159,2.9175213269282252e+23,,,6300.231396547651,1.127398230440284e+47,5.89482854270996e-24,,,,,2.6861810124884936e-95,,,,,4.5702739441229685e-31,
"$S_{x,z}$",,,,,1.1451508823655514e-65,,,,,,,,,,,,,
"$S_{y,z}$",,,0.0001587243288473455,8.732473732494433e+64,,1.4856429962429034e-24,,,,,,,,,,,,
"$S_{x,y,z}$",,,8.869980216391407e-48,,6.731092210772953e+23,,4.609474153013224e-62,,,,,2.7830196613409784e-94,,,,,1.2762829207265605e-72,
"$S_{x,y,z}HF_{z}$",,,1.696402181598113e+23,,,2.1694448581435211e+61,,3.5868625838099057e+31,2.110438829364205e+25,21565373205.56141,,1.221524721794524e-43,,,,,3.5302052278611387e-47,
"$S_{x,y,z}HF_{y}$",,,,,,,2.787951800868314e-32,,4.739271965988257e-38,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,4.7383510295878225e-26,2.1100287284135104e+37,,,,,,,,,,
"$S_{x,y,z}HF_{x,z}$",,,,,,,4.6370632702155785e-11,,,,9814016286.250145,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,1.0189508258724236e-10,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,3.722757309916334e+94,,,3.5932193145849247e+93,8.186490065718152e+42,,,,,,1.3412579877621205e+41,,,,4.8405207324396005e+33,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,7.455687191608029e-42,,5.262549813035241e+24,2.8643818921680148e+16,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,1.900219542859277e-25,,1.5642172610065907e-17,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,3.4911545933671315e-17,6.392973821018246e+16,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,,0.026587032767973955,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,2.188052646791393e+30,,,7.835253326360595e+71,2.832696501913784e+46,,,,,2.065893434353714e-34,,,,37.61232058977916,,3.789973136009402e+33
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,,2.638541129747784e-34,
$S_{x}$,,1.734692209011821e-148,8.72455148757721e-129,,,,,,,,,,,,,,,
$S_{y}$,5.76471142722003e+147,,2.9311408160165094e-52,,,,,,,,,,,,,,,
$S_{z}$,1.1461907255907524e+128,3.411640936988568e+51,,5.5245831213513706e+41,,,4.178932007366927e-34,,,,,3.7675416136969666e-103,,,,,5.692191617754881e-93,1.063339777299154e-55
"$S_{y,z}$",,,1.8100913282220462e-42,,9.211337857096463e+55,,,,,,,,,,,,,
"$S_{x,z}$",,,,1.0856186316405655e-56,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,4.9034603215292474e-104,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,2.3929558993473137e+33,,,2.0393761434336008e+103,,2.2794449241682824e+29,6863031.2793161515,,,9.097706027106972e-45,,,,,3.332908888846116e-22,5.184855600324596e-21
"$S_{x,y,z}HF_{z}$",,,,,,,4.387032954371017e-30,,0.20639301935164864,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,1.4570820957989897e-07,4.845125107144338,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,,6.163994309678289e+22,7.715732941760558e-51,,,,,,
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,1.6223246644304446e-23,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,2.6542507091746027e+102,,,,1.0991781851605897e+44,,,1.2960531521089977e+50,,,,,,,8.103957843552566e+32,2.403246732545515e+47
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,7.898738388571813e-09,6.679434530816744e-49,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,126602496.60209496,,1.3026709936621414e-20,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,1.4971327219187858e+48,7.676535401995436e+19,,,4.247877297564168e-22,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,,2.5874906844696568e-20,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,1.7567925803496068e+92,,,,3.000382048686033e+21,,,,,1.233964957993446e-33,,,2.3541169623082648e+21,3.864748213402609e+19,,483455425499.5381
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,9.40433172301675e+54,,,,1.9286940217532678e+20,,,,,4.1610375932595224e-48,,,,,2.0684430192643593e-12,
$S_{x}$,,1e-160,5.293072678038163e-88,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,4.112561002356765e+20,,5.307228742344417e+48,,2.278441935340539e-63,,,,,5.934446250598997e-97,2.824875295395002e-88,,,,2.8643852035715787e-74,
$S_{z}$,1.8892617971205384e+87,2.4315748737269427e-21,,,,,,,,,,,,,,,,
"$S_{y,z}$",,,,,2.960199378685205e-16,,,,,,,,,,,,,
"$S_{x,y}$",,1.8842225359939162e-49,,3378150834029826.5,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,2.822006128912366e-47,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,4.388964162260026e+62,,,,3.543578413082369e+46,,5.037014855116214e+24,6.826229778982322e+34,,,1.0638823085320345e-47,3.5370625716341837e-37,,,,1.695508019160599e-50,
"$S_{x,y,z}HF_{z}$",,,,,,,1.985302860451715e-25,,17.38238071423902,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,1.4649375019266982e-35,0.057529518909963585,,,,,,,,,,
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,,1.9753595663713676e-19,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,5.062369489707375e+18,,1.747540560319803e-62,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,1.685077187950037e+96,,,,,9.39953594472136e+46,,,,5.722327840087433e+61,,915689.8852066209,,,,2.905766718295491e+22,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,3.5399792749441353e+87,,,,,2.827204720718251e+36,,,,,1.092072781577526e-06,,1.3747335984458082e+17,37848390079338.555,,2.825111424481882e-12,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,7.274136611853674e-18,,3.6908463832694532e+22,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,2.6421203065804912e-14,2.7094056380481824e-23,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,,0.05227953132239175,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,3.4911505573800206e+73,,,,,5.897937306690377e+49,,,,,3.441432492511289e-23,353968339561.4732,,,19.1279450045814,,9.918118976513851e+31
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,,1.0082557008723169e-32,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,14089569184.478643,8.10358592223687e+30,,,3.406960383971996e-51,,,,,2.0907407534589774e-77,,,,9.154135845657689e-109,,5.31987330017257e-63
$S_{z}$,1e+160,7.097449090931896e-11,,,,,,,,,,,,,,,,
"$S_{y,z}$",,1.2340215919176253e-31,,,46.43489490548582,,,,,,,,,,,,,
"$S_{x,y}$",,,,0.021535528443327217,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,6.133455289175557e-43,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,2.9351676782168875e+50,,,,1.6304023635173795e+42,,92038111331.47157,5.124171508582003e+20,,,9.142021809307055e-52,,,,2.8778101715827077e-40,,6.1949310412105035e-56
"$S_{x,y,z}HF_{x}$",,,,,,,1.0865064325348225e-11,,1.4718136931720356e-11,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,1.9515349912179797e-21,67943382008.1407,,,,,,,,,,
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,,2.033570163076899e+20,7.232699730251888e-64,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,4.917460032394196e-21,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,4.782993770727305e+76,,,,,1.0938499391698538e+51,,,1.3826095888058852e+63,,,,,,6.640159462905068e+24,,1.7906119059502046e+26
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,,3.788589799441884e+36,1.8286909616990536e+47,1.471046801428609e-23,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,2.639504546381123e-37,,35402.436937023835,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,5.468392532934547e-48,2.8246643070895522e-05,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,1.092402403526003e+108,,,,,3.4748643599728143e+39,,,,,1.5059879293358118e-25,6.797880251184726e+22,,,,1465614283657.631,5595286.343014514
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,6.823077607461425e-13,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,1.8797440156470668e+62,,,,,1.6142229725362654e+55,,,,,5.584683072177725e-27,,,,1.7872186313546922e-07,,
$S_{x}$,,5.713065979147715e-32,1.1394120158259132e-106,,,,,,,,,,,,,,,
$S_{y}$,1.750373623637341e+31,,1.1710102912085427e-29,,,,,,,,,,,,,,,
$S_{z}$,8.776456506605654e+105,8.539634600204484e+28,,,3.6883613806403616e+57,,,2.220778654649835e-52,,,,1.2282727756145243e-30,2.8195286824929693e-50,,,1.361123586272069e-51,,
"$S_{x,z}$",,,,,4.573324159620748e-41,,,,,,,,,,,,,
"$S_{y,z}$",,,2.711231077434129e-58,2.186593307400556e+40,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,,8.29736957510327e-52,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,,1.1899106019288261e-29,8.164962765497933e-08,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,4.5029251245107844e+51,,,1.2052012278693202e+51,8.403992689694637e+28,,7.203804987152958e+18,,,7.445040512760369e-14,4.3942689596023045e-27,,,1.8710372857273436e-09,,
"$S_{x,y,z}HF_{y}$",,,,,,,12247453.279586583,1.388155289854971e-19,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,,5.127074084602955e-09,,,,,,,
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,195043017.4206154,,5.0414097340861693e-39,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,8.14151400123384e+29,,,,,13431760354910.867,,,1.9835721608556478e+38,,3.766274075502774e+20,,,1.0262751681623693e+22,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,3.546692063142343e+49,,,,,2.275691381645659e+26,,,,2.6551439963022505e-21,,8760.333578694324,53.387939967369725,1459003702.57058,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,0.00011415090430255558,,1.3577885529365623e-28,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,0.018730821991093716,7.364917002999077e+27,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,7.346871438315627e+50,,,,,534462892.6575677,,,,9.743975407595439e-23,6.853992201926058e-10,,,,1259771.9814358016,5.47451630260575e+24
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,7.93794444340847e-07,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,1.8266453960946686e-25,,
$S_{x}$,,2.43759866210058e-116,5.638244730293249e-108,,,,,,,,,,,,,,,
$S_{y}$,4.102398050786008e+115,,5.294632606790811e-47,,,,,,,,,,,,,,,
$S_{z}$,1.7736016221984558e+107,1.888705174212496e+46,,,2.076061379931427e+75,,,,2.050106531379961,,,4.458752600300636e-56,7.469184578359606e-48,,,,,1.4119486948157103e-45
"$S_{x,z}$",,,,,2.6236736290647625e-16,,,,,,,,,,,,,
"$S_{y,z}$",,,4.8168132679826173e-76,3811449674693193.5,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,,,7.66974518187992e-63,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,,2.405279626674665e-13,1.4189184278442967e-08,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,4157520767689.3477,,9.540718652520422e-08,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,0.48777952984076556,,,1.30382428136275e+62,70476214.86735204,10481390.725590935,,,,7.010967138681244e-35,3.7711907886562207e-32,,,,,4.058464645191144e-34
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,,2617165342287.568,2.2121582364482733e-35,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,3.820927871243843e-13,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,2.2427797405323048e+55,,,,,,1.4263367381694774e+34,4.520472285949798e+34,,,2.9290995576384533e-26,,,,,5.7778495389328145e+29
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,1.338834232182841e+47,,,,,,2.6516823360091192e+31,,,3.41401847332986e+25,,5105940027980.797,127188877289545.69,6.743368458941728e+19,,3.7278461535339456e+17
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,1.9585032227561467e-13,,8.019172660254546e-17,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,7.862322722792013e-15,1.2470114341798668e+16,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,1.48293839508947e-20,,,,1476083.5276515698,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,6.774684367564126e-07,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,7.08241031470709e+44,,,,,,2.4639859834306932e+33,,,1.7307477345363737e-30,2.682514135010679e-18,,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,8.776362743387639e-07,,,,,,,,,,,,,,,
$S_{z}$,1e+160,1139424.1888570848,,1.630338678965571e-13,,,,,,,,,,,,,,
"$S_{y,z}$",,,6133694875192.97,,5.283480073219906e+63,,,,2.7034941997701364e-76,,,1.643095482164665e-97,,,1.772443443219554e-92,,,1.703398141964853e-116
"$S_{x,z}$",,,,1.892691911659981e-64,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,,,2.291744296805301e-105,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,,0.0026366325663472476,4.172736640378096e-28,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,379.2716561130038,,3.363833569642632e-42,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,3.698916757746418e+75,,4.363488550594424e+104,2.396508781127843e+27,2.9727986813159673e+41,,,,6.601098525555513e-31,,,7.901486943639437e-40,,,5.799284983588357e-19
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,,1.2827102647800902e-06,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,779599.2808800369,,1.1236673448717048e-25,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,6.086073577918728e+96,,,,,1.5148993703526723e+30,,8.899430997651493e+24,,,,2123244277.4024258,,,2.1031859100056583e+23
