ModelName,$S_{x}$,$S_{y}$,$S_{z}$,"$S_{x,z}$","$S_{y,z}$","$S_{x,y,z}$","$S_{x,y,z}HF_{y}$","$S_{x,y,z}HF_{x}$","$S_{x,y,z}HF_{z}$","$S_{x,y,z}HF_{y,z}$","$S_{x,y,z}HF_{x,y}$","$S_{x,y,z}HF_{x,y,z}$","$S_{x,y,z}HF_{x,y,z}T_{yz}$","$S_{x,y,z}HF_{x,y,z}T_{xz}$","$S_{x,y,z}HF_{x,y,z}T_{xy}$","$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$S_{x,y,z}HF_{x,z}$","$S_{x,y}$"
"$S_{x,y,z}HF_{x,y,z}$",,,,,2466062452.9011717,,1.7213702863629557e-07,,,,0.0013770988447889118,,0.1313897172315753,,,0.0006826242508781793,,2.6592793424689467,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,25.29283804131738,,0.0003383332762856039,,,,2.8520191274796227,7.610945674215075,,8.338425281204996,14.589733192184159,0.02669120137282175,,0.2446738633037532,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,0.06854134937407275,0.04910558969017315,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,0.11992672072675678,,20.364280447692426,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,6.911714067670568e-06,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,8.340253882774003e+18,,6.216375215599753e-07,,,,1.8669753226499133,1464.934770063508,37.46552978384283,,,,144681.9110584282,2240.0700810290828,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,116618608696.61423,,0.00019501711107192617,,,,0.5040381591731558,0.3760417283095852,4.087073243121757,,,0.0004464146048237037,,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,1.786832039033194e-14,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,55964969183173.625,,5.249766591965686e-27,,,,,,,,,,,,,,,,,
"$S_{y,z}$",,,,3.161310659769049e-05,,,,,,,,,,,,,,,,,
"$S_{x,z}$",,,1.904846591714027e+26,,31632.449563595103,,,,142.5209813925479,0.0007023827296331994,,,,1892.8365439957058,,,,0.003463168858251482,1.2471957384695235e-08,,
"$S_{x,y,z}$",,,,,,,,,7.933323260769821e-10,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,0.007016510763742803,,1260505802.0829515,5.016235070250431,2560319214522136.0,,7.942974355355137e-08,,,,0.6939242680840904,,,,158467047.80102625,57378.005642713535,,
"$S_{x,y,z}HF_{x}$",,,,,,,1.0520789104671917e-23,,3.9057629780224195e-16,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,,9.50499045319647e+22,0.19935269898547156,,,,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,1423.7252110714956,,,,,12589742.27111538,,,16260.707426330233,,245683.57921404912,,,,94.51041649764257,1.1942391253236495,2377.741124641684,
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,0.00042056723065287267,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,6.149793940580623e-05,,,,2.7280829172237992e-08,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,1.9564736690598121,0.010776900413258385,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,0.21678790793096267,0.5111236689837754,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,0.0005283076360566444,,,,,1.441079446264328,4.070276097405602e-06,,36655777.347766176,4.612803405614558,,92.79105880664355,,,1.4433276249263447,10.257087995369796,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,80179876.27404293,,,,,1.7428280903084867e-05,0.8373532392258468,,,,0.09749355766972216,,,15.566323740792132,0.07418884288218734,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,,,,0.06424124389623626,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,288.7528852707718,,,,,6.3104602116120435e-09,0.01058084428212147,,,,0.6928433868582204,,,,,13.479115742349702,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,26344076988290.95,,1806018479378.6482,0.3590910433713867,,,,,,6.130863405817576e-25,,,2.1320823232814574e-27,3.679731425525146e-26,,1.0054968617725923e-20,,1.6034226858777813e-42,
$S_{z}$,1e+160,3.795919668942913e-14,,,,,,,,,,,,,,,,,,,
"$S_{x,y}$",,,,,6.144595766285461e-05,,,,,,,,,,,,,,,,
"$S_{y,z}$",,5.53704190415618e-13,,,,,,,,,,,,,,,,,,,16274.463578008832
"$S_{x,y,z}$",,2.78480908521508,,,,,,,0.13587204616362333,,,0.0012400948853009328,,,727557.0455377265,1.3958396780286444e-07,,3.716076663443245e-06,,1.2389190498161936e-20,
"$S_{x,y,z}HF_{x}$",,,,,,,4.7977937551964487e-20,,0.0002938838351759133,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,,2.0842913451977978e+19,0.7037148685018287,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,7.359865610588908,1.4210300858484721,3402.7050157468475,,,,,,,,,,,,2.3366078585258123e-07,
"$S_{x,y,z}HF_{x,z}$",,6.2366586727725994e+41,,,,8.07155237582601e+19,,,4279708.280322695,15462934660557.754,,0.008338195699682045,,,0.0005732284894660853,31383.42698682769,,3076098.036914956,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,,,,,,,,,,,6.467077705183355e-14,
"$S_{x,y,z}HF_{x,y,z}$",,1.6310916322994573e+24,,,,806.3899076217308,,,,,,,,,0.06754294550253545,0.0001377310383732402,,0.0014620705192205736,,119.93002275517861,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,84491.04740811129,0.12653586607841197,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,1.1835573479989765e-05,,1.969510267964984e-06,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,4.690250414256586e+26,,,,1.374462670842415e-06,,,,,,14.805395183164785,7.902897660496655,507740.4349017484,,0.02996378079103153,,416.61306947293644,,1744.505059285202,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,2.717589640002835e+25,,,,7164146.54018367,,,,,,7260.527560171871,,,33.373625543920355,,,11.42452951844394,845921.9035804552,3.186395164618962e-05,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,1.182142223492964e-06,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,9.945331885343711e+19,,,,269101.0144751479,,,,,,683.9615373224937,,,0.0024003087595526355,0.08753095682282445,,,,3.2508716822397124e-07,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,0.01639118373875888,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,61.008406466421484,,5.626891952584699e-41,,,,,,,,,,,,,,,,,
"$S_{x,z}$",,,1.7771800283825468e+40,,24748472848715.973,,0.42703384411380746,,,,5.714777006613824e-14,,,0.00011177597251694875,,,,0.007604961248083068,884930.0677412886,,
"$S_{y,z}$",,,,4.0406533611704576e-14,,,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,1.6488520871955996e-13,,,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,1.6342419769142985e-26,,4.794369534819691e-27,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,2.34173476829507,,6064825388314.969,,6.119044879070813e+25,8052.253216623595,,0.05965007690243453,,,0.0006673778119306141,,,,3.4390339201296563,41.69554028689332,,
"$S_{x,y,z}HF_{z}$",,,,,,,0.00012418884169409066,2.085779981575009e+26,,,,,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,,1.3106170006745407e-15,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,17498495546592.29,,,16.76443773300796,,,762999411334757.5,,211978920.7220936,,0.03985160102911063,,,,1422379798.5475764,0.0007219816864773756,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,4.717450190771608e-09,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,8946.46655700865,,,1498.4016281679558,,,,25.093094735880854,,150429598621.58694,,5.947481224050286,,,2.085890717049663,315309078.31684655,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,6.6476279213876595e-12,5.649471140600273e-10,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,1770077189.727439,0.16813840386014559,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,,,,0.0021875288924105988,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,1.1300327974530439e-06,,,0.023983380311643127,,,,1385.0766837024703,,,3.1714913041454642e-09,,,457.1368192984306,98.56420204657647,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,131.4931092189409,,,0.2907793360649082,,,,7.03047105295732e-10,,,0.4794115012000368,,,,,0.010145671341482077,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,2.1194008165650724e-07,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,4718314.6867929725,,6.103907087267906e-34,,,,,,,,,,,,,,,,,
"$S_{x,z}$",,,1.638294924386861e+33,,1034894697.4217123,1.6461249505490834,2.6983461409909957e-08,,,,,,23.02696234894116,,,3354984.582999406,,5.995797406548342,,,
"$S_{y,z}$",,,,9.662818859651642e-10,,,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,0.6074872989844659,,,1.8261796720105254e-05,,,,,,1.8348435599073918,,,0.008739697565430936,,0.0026318731382695966,,,
"$S_{x,y,z}HF_{z}$",,,,,,,5.257537676760914e-08,1.2731190123717819e+31,,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,3.0601409135202484e-32,,7.854725208580701e-32,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,37059737.622569785,,54759.12448959931,,3.2678233723872703e+31,19020310.675473545,709005.4726982214,,,25.98125459461218,,,126410248470.97461,,220146979438493.16,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,1.410426348606813e-06,,,,2.8194565347300102,,,,,,,,,,
