,RunIdx,TrueExpVal,t
304,0.0,0.5300876388864936,3.04
305,0.0,0.5921430218840323,3.05
306,0.0,0.5155389495555501,3.06
307,0.0,0.5281859792697046,3.07
308,0.0,0.5384470025508018,3.08
309,0.0,0.5102230264515942,3.09
310,0.0,0.4059196718236377,3.1
311,0.0,0.4560932363135136,3.11
312,0.0,0.379051217973944,3.12
313,0.0,0.4639692262205454,3.13
314,0.0,0.5149962871941225,3.14
315,0.0,0.4599263927033561,3.15
316,0.0,0.4407820535162529,3.16
317,0.0,0.4332543527735758,3.17
318,0.0,0.41801064619221007,3.18
319,0.0,0.5491793803790654,3.19
320,0.0,0.45454745370206273,3.2
321,0.0,0.4176368883818703,3.21
322,0.0,0.46347278350381144,3.22
323,0.0,0.35542730425651803,3.23
324,0.0,0.44989408065141545,3.24
325,0.0,0.4490369569359151,3.25
326,0.0,0.4540800615944585,3.26
327,0.0,0.4813246685958867,3.27
328,0.0,0.427320827777727,3.28
329,0.0,0.4259557922637795,3.29
330,0.0,0.4946573372575738,3.3
331,0.0,0.4689325548384894,3.31
332,0.0,0.3603671266683962,3.32
333,0.0,0.43846791895259546,3.33
334,0.0,0.41794169684080734,3.34
335,0.0,0.5063979028448824,3.35
336,0.0,0.4974893163774466,3.36
337,0.0,0.4695480858812435,3.37
338,0.0,0.45309722404737024,3.38
339,0.0,0.5003277200437973,3.39
340,0.0,0.4676466916811439,3.4
341,0.0,0.5399438162229444,3.41
342,0.0,0.4908317969551562,3.42
343,0.0,0.49821299582455175,3.43
344,0.0,0.5001994664065492,3.44
345,0.0,0.5003106877441026,3.45
346,0.0,0.5508908918990961,3.46
347,0.0,0.46708720882413585,3.47
348,0.0,0.5046993619287261,3.48
349,0.0,0.5323722045939419,3.49
350,0.0,0.4805172537262181,3.5
351,0.0,0.5262549236817767,3.51
352,0.0,0.578439733654525,3.52
353,0.0,0.469129393027113,3.53
354,0.0,0.5175582763839843,3.54
355,0.0,0.44386958865894016,3.55
356,0.0,0.5689491263665454,3.56
357,0.0,0.47330538610097794,3.57
358,0.0,0.5231846355629926,3.58
359,0.0,0.5391441857054922,3.59
360,0.0,0.5728572106726457,3.6
361,0.0,0.5516778132043485,3.61
362,0.0,0.5513234739621768,3.62
363,0.0,0.4769232212505735,3.63
364,0.0,0.47664960746043333,3.64
365,0.0,0.5087404167707957,3.65
366,0.0,0.44389140215369144,3.66
367,0.0,0.44598482765164066,3.67
368,0.0,0.4205978709765851,3.68
369,0.0,0.4400887120926405,3.69
370,0.0,0.47738431048750984,3.7
371,0.0,0.4529881769714833,3.71
372,0.0,0.5014850756571222,3.72
373,0.0,0.5001770835978644,3.73
374,0.0,0.5066475615068421,3.74
375,0.0,0.5004882077449873,3.75
376,0.0,0.5128370675811903,3.76
377,0.0,0.5503042150988889,3.77
378,0.0,0.4476476592369505,3.78
379,0.0,0.49204465105843537,3.79
380,0.0,0.3799503371717673,3.8
381,0.0,0.45025865061243764,3.81
382,0.0,0.45899473292415993,3.82
383,0.0,0.5052229088757928,3.83
384,0.0,0.44184428549541255,3.84
385,0.0,0.5098035472957374,3.85
386,0.0,0.5263432380638478,3.86
387,0.0,0.5224432281054078,3.87
388,0.0,0.50670203968263,3.88
389,0.0,0.5496396892478471,3.89
390,0.0,0.5289238423270227,3.9
