ModelName,$\hat{S}_{x}$,$\hat{S}_{y}$,$\hat{S}_{z}$,"$\hat{S}_{x,z}$","$\hat{S}_{y,z}$","$\hat{S}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{z}$","$\hat{S}_{x,y,z}\hat{A}_{y}$","$\hat{S}_{x,y,z}\hat{A}_{x}$","$\hat{S}_{x,y,z}\hat{A}_{x,z}$","$\hat{S}_{x,y,z}\hat{A}_{y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$","$\hat{S}_{x,y}$","$\hat{S}_{x,y,z}\hat{A}_{x,y}$","$\hat{S}_{x,y,z}\hat{A}_{x,y}\hat{T}_{xy,xz,yz}$","$\hat{S}_{y,z}\hat{A}_{z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y}\hat{T}_{xy,xz}$","$\hat{S}_{y}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$","$\hat{S}_{y,z}\hat{A}_{x,z}$","$\hat{S}_{y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$","$\hat{S}_{x,y}\hat{A}_{z}$","$\hat{S}_{x,y}\hat{A}_{x,y}\hat{T}_{yz}$"
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,1.2723790918352273e+33,1.1851740472221615e-05,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,,3.498730688248795e-31,7.859292929418077e-34,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,,,,,,,,,,,,,,1.1757196958382148e-30,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,1.6823510869412064e+17,,,12560.831940772814,,,,,4989200065065933.0,,4.223140689535811e+19,,8.505428662459061e+29,,1.7990004149894203e+18,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,,,,,,,,,5.5586424086838275e-19,,,,,,,,,,,,
$\hat{S}_{x}$,,9.999999999999971e-161,9.999999999999971e-161,,,,,,,,,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1.0000000000000027e+160,,10626325501.810472,,,,,,,,,,,,,,,,,1.1420606042789643e-83,,,,,,,,,
$\hat{S}_{z}$,1.0000000000000027e+160,9.410590705410104e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,,,,,,,,,,,,,,,,,,,6.261009651386258e-36,,,,,,,,,
"$\hat{S}_{x,y}$",,8.756102751931864e+82,,,1.5971864853755475e+35,8.93384293719632e+22,2.6851935823894576e-35,,,,,,7.549109395587085e-15,,,6.221954823366242e-06,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}$",,,,,,,1.5068167078896443e-59,,,,,,,,,,,,,1.1193391321404032e-23,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,7.199816454612808e-30,2.4918741203256995e-05,,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,1.1724939005581314e-21,,40130.438044330076,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,6.636507245798585e+58,,8.528829015860798e+20,1.3889242959232878e+29,,5.121575871924135e+16,,35699823945383.47,,,807839.6004682656,,,,3.724126284817557e+34,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,,,,1.2602071815951054e-13,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,1.9525240375367278e-17,,,7935203152343.978,,8081288053235171.0,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,,1.2374265010881168e-16,,0.0011272814844877164,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,,7.285948561649826e-06,,0.003984999112677662,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,1.0555900510114942e-07,250.94108473416063,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,2.801134261978105e-14,,,,,887.0898828383058,,137250.48859987568,9473374.62153772,93297.32730990778,,,,132465956922622.05,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,,,,1.2378694971382292e-06,,,,,,1.0718420653983776e-05,,,,,112272.58533279448,2.386928168380121e+48,160721.1926779908,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",,,,,,,,,,,,,,,,4.1894851015925025e-49,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,,,,,,,,8.906893851565233e-06,,,,,,,,,,,,,
$\hat{S}_{x}$,,9.999999999999971e-161,9.999999999999971e-161,,,,,,,,,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1.0000000000000027e+160,,1.0774531528326883e-34,,,,,,,,,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1.0000000000000027e+160,9.281145981808494e+33,,1.8441297579749103e-78,,,,,,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,z}$",,,5.422611915867176e+77,,2.5622987195537043e+42,2.994131675058628e+24,,,,1.0642607965987703e-45,,,,9.684671651895892e-24,,,,1.1153208773568144e-16,,,,,,,,,,,
"$\hat{S}_{y,z}$",,,,3.902745579071974e-43,,,,,,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}$",,,,3.3398664739098995e-25,,,8.603286187458407e-60,,,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,1.2436330316393583e-31,,7.913346324640481e-14,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,6.049155571064212e-26,12636879001317.207,,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,1.1623465478316498e+59,,8.040957216147587e+30,1.6531232967183756e+25,2.243377753047991e-18,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,,1.472815122611012e-14,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,9.39619314359658e+44,,,4.457564039945295e+17,,,,67897184422386.74,26227155962.15256,,275060.44570901553,,,,1.2421865583065053e+26,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,3.812841931634002e-11,,,,5.73505400485197e-17,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,1.032559529061822e+23,,,,,,3.6355645299066115e-06,,1.7436627434614914e+16,43839467966522.79,,2.637967712637696e+17,228960561362.9779,,3.322856678560104e+29,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,,2.281049580171985e-14,326341710214.1948,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,3.0642727199770097e-12,3.79079696544164e-18,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,,,,,,,,0.08994581454596362,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,,,,,,,,,,,4.3675644139196125e-12,,,11.117804703285945,3.343225473655956,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,8966029600108338.0,,,,,,8.050320568299479e-27,,,,3.0094587180128716e-30,,0.29911234162333017,,,,,,,,,,,,,
$\hat{S}_{x}$,,9.999999999999971e-161,9.999999999999971e-161,,,,,,,,,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1.0000000000000027e+160,,4.8651775474432836e-60,,,,,,,,,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1.0000000000000027e+160,2.0554234460066373e+59,,9.604162420859106e-85,,,,,,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,,,8.969787286597618e-38,,,,,,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,z}$",,,1.0412152108424557e+84,,1.114853639276563e+37,78.99612762739163,7.267257626279096e-54,,,,,,,4.255700749330358e-18,,,4.324883497639041e-31,,,,,,,,,,,,
"$\hat{S}_{x,y,z}$",,,,0.01265884835161532,,,1.671993000458511e-29,,,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,1.3760348833429337e+53,,5.980886281974684e+28,,4.608606343454382e+35,3.1597150186516143e+30,72122529.55175538,,,,1784334326188466.5,,,569151663603.232,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,2.1698533688395908e-36,,8708486.321222605,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,3.164842380078768e-31,1.1483051854407776e-07,,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,,0.022733501213077927,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,1.3865292942649725e-08,,,,43.98794495520685,3.697677382337273e+28,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,2.704400348112326e-29,,,,7.154953880509778e-37,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,6.546241248684884e-08,3.2397221023885155e-11,,,,,,,,,,,,,,,
