ModelName,$S_{x}$,$S_{y}$,$S_{z}$,"$S_{x,y}$","$S_{y,z}$","$S_{x,y,z}$","$S_{x,y,z}HF_{x}$","$S_{x,y,z}HF_{z}$","$S_{x,y,z}HF_{y}$","$S_{x,y,z}HF_{y,z}$","$S_{x,y,z}HF_{x,y}$","$S_{x,y,z}HF_{x,y,z}$","$S_{x,y,z}HF_{x,y,z}T_{yz}$","$S_{x,y,z}HF_{x,y,z}T_{xz}$","$S_{x,y,z}HF_{x,y,z}T_{xy}$","$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$","$S_{x,z}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$S_{x,y,z}HF_{x,z}$"
"$S_{x,y}$",,1e+160,,,1031645.4589186726,,,1e-160,,,,,,1e-160,,,,1e-160,,,6.99504530325107e-160
"$S_{x,y,z}$",,,,,,,,3.4839950964813202e-146,,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,1.96551987456001e+75,1.4011070548367097e-17,,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,2.56228440147807e-79,5.087712482296086e-76,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,1e+160,,2.8702681040221766e+145,3.9027673876605725e+78,,7.13721336672981e+16,,,,,5.433685642566585e-24,,,,364547.08157714194,,,6462897.376365665
"$S_{x,y,z}HF_{x,z}$",,,,1.429583307395068e+159,,,,1.54729363900613e-07,,4.041254017540637e+29,,2123788280395.6702,,1.985725665931759e-28,,,,1.3463540424780362e-05,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,,,,,,,,,,,,2.4744794453889944e-30
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,,,,,,,,,,,4.70856727683654e-13
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,42533.83838342002,1.015062550971421e-18,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,2.232252516597629e-18,2.3510692615736435e-05,,,,,,
