ModelName,$\hat{S}_{x}$,$\hat{S}_{y}$,$\hat{S}_{z}$,"$\hat{S}_{y,z}$","$\hat{S}_{x,y}$","$\hat{S}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x}$","$\hat{S}_{x,y,z}\hat{A}_{y}$","$\hat{S}_{x,y,z}\hat{A}_{z}$","$\hat{S}_{x,y,z}\hat{A}_{x,z}$","$\hat{S}_{x,y,z}\hat{A}_{y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$","$\hat{S}_{x,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y}$"
$\hat{S}_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1e+160,,2.7106782972484873e-83,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1e+160,3.689113536693249e+82,,,,,,,,,,,,,,,,,,1e-160,
"$\hat{S}_{y,z}$",,,,,,,,,,,,,,,,,,,,1.3493707224310028e-27,
"$\hat{S}_{x,z}$",,,1e+160,7.410861843796473e+26,,1.0848230042050118e+24,,,,,1.4833172504338526e-52,,,,,,,9.224560171645805e-30,1.786897525267864e-48,,
"$\hat{S}_{x,y,z}$",,,,,,,,,3.2465960206095604e-83,,,,,,,,,,,9.21809360719473e-25,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,1.8861123153703564e-09,,2.1689593251034518e-05,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,3.0801491582320316e+82,6.971563312516976e+23,46105.06008231867,,,9.52754911613067e-22,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,,530191119.50586057,1.4343985060059153e-24,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y}$",,,,,,,,,,,1.1841071822219354e-23,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,1.0495878717717072e+21,,,1.3913177001476569e+22,,,,,,89645613029781.22,576873317254.9677,6.741646129359798e+51,8.445181441459845e+22
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,,7.187431022360117e-23,,,,2.940819231621013e-33,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,0.02374400879423641,,7.614177991002748e-23,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,,42.115887366194826,2.7297126863613e-23,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,3.400413018411841e+32,3.663389209407959e+22,1.3133394060155208e+22,,,,,3.1968785677149887e-22,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,,,,,,,,,,,,,,,,2.838722365203292e-27,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,,,1.7334828463872562e-12,,,,3.1280512500503366e+21,,3.522711527755854e+26,39680.65633460426,,5.59629181785394e+47,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,,,1.1155035547225154e-14,,,,,,,,2.5201196058038265e-05,1.0840625259009877e+29,
$\hat{S}_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1e+160,,1.7000806623088558e-43,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1e+160,5.88207384608395e+42,,,,,,,,,,,,,,,,,,1e-160,
"$\hat{S}_{x,z}$",,,1e+160,4.464866596240846e+81,,2.0231794099731195e+46,,,,,1.368682164058272e-57,,,,,,,3.024612477494939e-22,,,
"$\hat{S}_{y,z}$",,,,,,,,,,,,,,,,,,,,2.239708574589756e-82,
"$\hat{S}_{x,y,z}$",,,,,,,,,1.0549529642818938e-78,,,,,,,,,,,4.942715386834063e-47,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,,287545895.32075894,9.81064334766371e-81,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,9.479095598169155e+77,1.0193011452588766e+80,6.269206862149761e+46,,,5.885320683989055e-08,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,3.4777057028913414e-09,,1.595098107286082e-47,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,,,,1.8840946156142684e-27,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,16991427.548213102,5.307589076008115e+26,,1.51306499703611e+50,,,,,,1.9211532139069186e+21,,7.3062981768894065e+56,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,,6.609101406475366e-51,,,1.1732440558763467e-70,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,,1.0283936717428513e+32,7.547431122206239e-32,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,,4.224263509101836e-84,9.723902698713309e-33,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,8.523375805667788e+69,2.3672765627554808e+83,,1.3249541251960223e+31,,4.434199144224434e-11,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,,,,,,,,,,,22551986671.65197,,44.0352468860005,,3.798487005275147e-28,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",,,,,,,,,,,,,,,,,0.022709081263670983,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,,,5.205206918225788e-22,,,,,,2.6326271449954953e+27,,,3.30620867116248e+21,
$\hat{S}_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1e+160,,1623979701.9198673,1.4106394487141336e-129,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1e+160,6.157712432106146e-10,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y}$",,,,8.293108178997813e-07,,,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,7.088983658521309e+128,,,1205820.517972365,2.5068695420352e+17,,,7.060281770952951e-92,,,,8.783064706598992e-38,,,,,,8.872750717718156e-37,,
"$\hat{S}_{x,y,z}$",,,,3.989038851970537e-18,,,,,1.0128568683838867e-114,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,6.764206894642677e+57,,7.589315401823773e-25,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,1.416374066137344e+91,,9.873063324293776e+113,1.9001979931647199e+96,1.3176419045118246e+24,,4.471459771618452e+22,,,2.1625718808475404e+54,,,,,,4.5508498119441436e+38,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,,1.4783699191578699e-58,5.262609494363961e-97,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,,2.2364061203172773e-23,,4681843.206030909,1.4646217045913163e+50,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,,2.1359109137013636e-07,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,6.827701630156007e-51,,,6.453455378599345e-11,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,1.092225569581169e-41,,4.643390369568032e-34,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,1.1385547453028197e+37,,,,,4.624123752169046e-55,,,15495574716.703775,,9.155617922252687e+40,2.04680883679536,,,,14.26887814781115,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,,0.48856541071303766,2.1535988155418185e+33,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,1.1270462022595563e+36,,,,,2.197391786860124e-39,,,,0.07008259441569345,,,5.567399269916096,,28692721.711258806,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",,,,,,,,,,,,,,,,,,,0.17961707998985865,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,,,,,,,,,,,3.4852044015315826e-08,,
$\hat{S}_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1e+160,,996.8877459506409,1e-160,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1e+160,0.0010031219704144233,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,1e+160,,,2.0342222927263e+32,1451.4369153621847,,,6.384645409857955e-103,,,,7.450041608993297e-80,,,,,,,,
"$\hat{S}_{x,y}$",,,,4.915883596279848e-33,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}$",,,,0.0006889724172066167,,,,,1.3098737939341905e-97,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,,1.1843538167771468e-17,7.789563014806905e-35,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,8.443422783245562e+16,,4.335333322703196e-26,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,1.5662576945244135e+102,,7.634323280844575e+96,1.2837690613698553e+34,2.3066277159433576e+25,,17947007716114.47,,,13740851831.12786,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,,7.045395495931745e-20,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,,5.5719594921782326e-14,,1.4193667347382194e+19,1.5000562434577616e+70,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,6.66641670511575e-71,,,2.2822045012863023e-33,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,,1.6562491681572148e-48,2.734787043220949e+28,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,5.171547636918562e-38,,3.6565918449804796e-29,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,1.3422743824582842e+79,,,,,7.27756919505273e-11,,,4.3817282782343886e+32,,1.9336571374905568e+37,6.03773888147896e+47,,,,333136.52767073765,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,,,,,3.0017722973578286e-06,,,8706582076149.128,,1972138.758631035,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",,,,,,,,,,,,,,,,,,,1.148556335027734e-13,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,,,,,,,,,,,5.070637122380539e-07,,
$\hat{S}_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1e+160,,2.0613772670380486e-17,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1e+160,4.851125584774105e+16,,,,,,,,,,,,,,,,,,1e-160,
"$\hat{S}_{y,z}$",,,,,,,,,,,,,,,,,,,,1.4689911676763028e-129,
"$\hat{S}_{x,z}$",,,1e+160,6.8073928693651165e+128,,1.0058479908445509e+78,,,,,3.260246267142524e-61,,,,,,,7.832823209567492e-46,,,
"$\hat{S}_{x,y,z}$",,,,,,,,,6.504080082317444e-39,,,,,,,,,,,9.941860093197178e-79,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,,939958003404.2299,5.420370500140216e-26,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,1.537496444299151e+38,1.8448923371089332e+25,5.559383828470156e+34,,,9.882952206987519e-26,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,1.0638773183251987e-12,,1.7987604937059766e-35,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,,,,4.4503157596655553e-42,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,1.0118434037280607e+25,2.2470315681041717e+41,,9.545867653126884e+82,,,,,,3.626968074962332e-06,,3.0672529559445217e+60,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,,1.0475737107799057e-83,,,,136405497.48709103,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,5668.028040634817,,6.819357868764464e-12,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,7.331082826002938e-09,4299726.479397149,146641372874.77194,,,,,1.9148600302425905e-41,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,,0.00017642820268899028,2.3257293336952143e-07,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,,,,,,,5.22231382036478e+40,,9.880507968463155e+18,1.7020095548513687e-20,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,,,,,,,,,,,,,,,,1.0120937133918865e-19,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,,,275712.3799636382,,,,,,,,5.875407674120413e+19,1.2766788847966574e+45,
$\hat{S}_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1e+160,,5.039193745392823e+20,2.828508180706132e-137,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1e+160,1.984444437990241e-21,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,3.535432588886314e+136,,,9.93948425851212e+44,1.6915233131532116e+40,,,1.2000658333981907e-130,,,,,,,,,,5.21197298404774e-88,,
"$\hat{S}_{x,y}$",,,,1.0060884186657928e-45,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}$",,,,5.911831023693517e-41,,,,,6.474726501761753e-81,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,,1.533158791941183e-26,1.473537096484992e-60,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,6.5224815932723245e+25,,1.1128717740389951e-33,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,8.332876182036861e+129,,1.544466781304049e+80,6.7863917534578685e+59,8.98576119304972e+32,,,9.700216270236135e+29,,,,,,,,7.128234405811218e+35,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,,,,1.7115204904174005e-18,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,1.030904850099447e-30,5.842757978060333e+17,,2362355372308530.0,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,,4.233063372776064e-16,,,,1.8196797527952463e-32,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,1.7859804410991853,,1.520984139942831e-27,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,,0.5599165461098488,4.548591721198731e-05,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,5.495472477857052e+31,21984.82654179525,6.574690516086426e+26,,,,,7.017122043856645e-14,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,1.9186592161177639e+87,,,,,1.402871935839765e-36,,,,,,14250856601182.826,,2.756734350937661e+55,1.8518542950325084e+19,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,,,,,,,,,,,,,,,,3.627480463106158e-56,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,,,,,,,,,,,5.399992875694605e-20,,
$\hat{S}_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1e+160,,3.107831248214329e-75,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1e+160,3.2176779243550354e+74,,,,,,,,,,,,,,,,,,1e-160,
"$\hat{S}_{y,z}$",,,,,,,,,,,,,,,,,,,,3.1991272403284305e-15,
"$\hat{S}_{x,z}$",,,1e+160,312585253688545.8,,48.938880531409495,,,4.802827737464721e-75,,,,,5.738301778205542e-11,,,3.686774333305316,,,,
"$\hat{S}_{x,y,z}$",,,,,,,,,4.500585181442105e-64,,,,,,,,,,,0.02043365089559393,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,1.4371310194698607e-07,,1.0597684774069045e-47,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,2.221933281306263e+63,9.692056490140678e+41,9.436023257144343e+46,,1.9111613019472597e+48,,,,8.389658440545013e+45,,,3.31235697877792e+48,,,2.0821067393265956e+74,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,,6958307.81224726,1.0317727729066147e-42,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,,5.23242072231743e-49,,2920233109114.6997,0.06717471178743835,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,,3.4243841591918695e-13,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,14.886554380230326,,,,1.9477394728265218e-17,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,,3.8999561281197115e-11,1.3677539683728466e+27,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,,7.311256432980074e-28,7.410608204264378e-13,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,1.191943637618503e-46,,,5.1341568723707144e+16,25641314085.297947,,1349416906731.8357,,0.005124530330793806,,,17426758623.920193,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,,,,,,3.018998273455857e-49,,,,,195.13983437485027,,3.012919846790705,,4.854652851310703e+24,,0.27123981822436816,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",,,,,,,,,,,,,,,,,0.3319039506029932,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,,,,,,,,,2.059879523064169e-25,,,,
$\hat{S}_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1e+160,,5.9883268468985496e+78,1e-160,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1e+160,1.669915529941249e-79,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,1e+160,,,3.907783616745759e+60,9.455633719172684e+33,,,1.0692664810919623e-89,1.0752339089593393e-105,,,,,,,,3.24505493753411e-55,1.2041634488950557e-76,,
"$\hat{S}_{x,y}$",,,,2.558995323371458e-61,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}$",,,,1.0575705761236852e-34,,,,,2.0746350360644073e-112,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,9.352205625848988e+88,,4.820124902050265e+111,4.4059322659832953e+49,7.61760851596654e+26,,0.00040923836111624886,,,,,,,,1092094.9895234038,177.90708995937328,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,42317.0978074126,,1.3127479548259744e-27,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,,2.363111016145422e-05,2.269667211456381e-50,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,9.300301931212772e+104,,,,,2443.563690540581,,2.3080302748745763e+35,522530750202.28094,,,,,,4.0541090721679504e+21,812751467.1448935,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,,4.332698798997957e-36,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,1.913762969189626e-12,,,9.047951174319768e+44,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,,0.0011542858424666079,3.1111187380869896e+16,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,1.1052225865654948e-45,,2.2967552288073014e+50,866.3365374585965,,,,8.063420435101657e-48,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,4.3539685355121504e-51,,3.214277834393729e-17,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,8.304520461218145e+75,,,,,0.005620911455683746,1.2303884279814222e-09,,,1.2401684967917624e+47,,,540.6198226694929,,0.0019673390146399414,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",,,,,,,,,,,,,,,,,,,0.0018497286967062406,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,3.081611927223308e+54,,,,,9.15671264489919e-07,2.4666331916552165e-22,,,,,,,,,508.3008025350517,,
$\hat{S}_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1e+160,,1.663487284033061e+36,,3.9801586658998933e-85,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1e+160,6.011467653516043e-37,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,,,,8.693342595986723e-47,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y}$",,2.512462652726698e+84,,1.1503055228280655e+46,,8.249172404521241e-18,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}$",,,,,1.2122428177788062e+17,,,,1.565628565283283e-73,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,6.387211003773817e+72,4.1553393440961844e+48,7.632925055716393e+50,,3.144106959631763e-15,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,32637852.89352083,,1.3101137410632475e-51,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,,3.063927039754864e-08,2.406542323482625e-49,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,,3.1064738915706358e-47,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,,318055337442184.1,,3.2190838709878843e+46,2779852571239703.5,,279544889852.779,,,,5.220409285943419e+30,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,3.59731307460683e-16,,,,8833.943701320031,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,3.5772429985275187e-12,,0.00011319972526546358,1.978036804857997e+22,,8898333273979652.0,,7.197829232462491e+21,249090417.5890281,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,,5.055517660460266e-23,1.8667784825732938e+17,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,,5.356821976121839e-18,1.1238059636675805e-16,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",,,,,,,,,,,,,,,,,1.3658441936342582e-07,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,,,,,,,,,,,1.3893077589142584e-22,,7321479.306795495,,8.988711135350762e-23,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,,1.9155586185409264e-31,,,,4.014606461698139e-09,,,1.1125065484273988e+22,,,,
$\hat{S}_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1e+160,,1.6408211875381688e-30,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1e+160,6.094509307868978e+29,,,,,,,,,,,,,,,,,,1e-160,
"$\hat{S}_{y,z}$",,,,,,,,,,,,,,,,,,,,3.356529718804637e-112,
"$\hat{S}_{x,z}$",,,1e+160,2.979267528595369e+111,,2.2468553944974894e+53,,,9.592541539402788e-11,4900194355188712.0,,,,,,,,,2446851644794309.0,,
"$\hat{S}_{x,y,z}$",,,,,,,,,9.60153392937094e-57,,,,,,,,,,,4.4506647043195704e-54,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,1.041500251268202e+56,508457358397634.1,1.3527569940426432e+31,,42677.83597880402,,,,,,,,,2.4433288735311783e-45,10424765906.849104,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,,1.345064280139075e-16,1.966733263830474e-15,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,7434588924602202.0,,7.392310698845862e-32,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,,1.3572492052803905e-18,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,,2.343136611932833e-05,,7.36784369524396e+17,5.278670088003595e+47,,,,,,,477.5467794999992,2.0407353821407537e-16,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,1.8944165544132388e-48,,,8.891505538064128e-24,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,,4.650378988462585e-77,1.3831078265467945e-54,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,1.183259605279074e-17,,7.230094290599888e+53,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,1.124668927797487e+23,,8.451230782649325e+16,2.1503623736494647e+76,,,,1.8987287125221359e-44,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",,,,,,,,,,,,,,,,,,,9.079368392409212e-41,,
