ModelName,$\hat{S}_{x}$,$\hat{S}_{y}$,$\hat{S}_{z}$,"$\hat{S}_{y,z}$","$\hat{S}_{x,y}$","$\hat{S}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x}$","$\hat{S}_{x,y,z}\hat{A}_{y}$","$\hat{S}_{x,y,z}\hat{A}_{z}$","$\hat{S}_{x,y,z}\hat{A}_{x,z}$","$\hat{S}_{x,y,z}\hat{A}_{y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$","$\hat{S}_{x,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y}$"
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,,2.0627833882599787e-21,,,,,,2.843467174184274e+33,,,,77296602200171.2,
$\hat{S}_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1e+160,,6.76005293877843e-07,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1e+160,1479278.356332967,,,,,,,,,,,,,,,,,,2.4790668267699266e-148,
"$\hat{S}_{x,z}$",,,4.0337758918057855e+147,4.270916374589866e+88,,8.109145838912267e+29,,,7.509914489577355e-40,,,,,,4.241944549144482e-07,,,,,,
"$\hat{S}_{y,z}$",,,,,,,,,,,,,,,,,,,,2.341417888558002e-89,
"$\hat{S}_{x,y,z}$",,,,,,,,,2.9080811560694034e-95,,,,,,,,,,,1.2331755031478587e-30,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,2236335689878106.0,,3.722165550259236e-42,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,3.4386935794859716e+94,8.58153280367441e+53,2.6866080686023047e+41,,,57892557019.03553,,,,255621673.23380506,,,,,1.331573084337846e+39,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,,4.471600594338796e-16,1.1652929877187249e-54,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,,,,2.7023141579925533e-30,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,1.7273377641122192e-11,3.7005319941885e+29,,3.2910145447137804e+25,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,,3.038576665078124e-26,,,,2.014964420222349e-31,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,1.6669605000285608e-47,,4.3721683673042356e-54,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,3.912031352229462e-09,,,4.962866787938871e+30,4561867.363412567,2.2871946274488367e+53,,,,,45697670743857.42,2357409.4107422517,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,,5.998942386354485e+46,2.192084776555047e-07,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,,,,,,,2.188295341364675e-14,,6985131.643467428,211139992.33685148,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,,,,,,,,,,,,,,,,1.4316122458983448e-07,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,,,,,,,,,,,4.736194166402194e-09,,
$\hat{S}_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1e+160,,1.0391098603512003e-36,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1e+160,9.623621506796386e+35,,,,,,,,,,,,,,,,,,1e-160,
"$\hat{S}_{x,z}$",,,1e+160,2.29137107869344e+156,,9.55983727178284e+130,,,3.1887103700820475e-75,,,,,,,,,,2.98813661867772e-08,,
"$\hat{S}_{y,z}$",,,,,,,,,,,,,,,,,,,,4.36419927482985e-157,
"$\hat{S}_{x,y,z}$",,,,,,,,,1.3852461578111043e-133,,,,,,,,,,,1.0460429101148363e-131,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,7.218933576254413e+132,6.865737330919417e+74,4.6596455970439715e+51,,337231030558.0645,,,,,,,,,16138.593266443315,3.1360640633356404e+74,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,1.6770040925887023e-08,,2.1460859612035498e-52,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,,59630146.66567408,1.4565078036069962e-75,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,,9.722541297989994e-11,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,,2.9653261692589696e-12,,10285376727.653877,7.067458804840102e+76,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,1.4149357323669954e-77,,,3.159681273340675e-41,,,,,,,,
