ModelName,$\hat{S}_{x}$,$\hat{S}_{y}$,$\hat{S}_{z}$,"$\hat{S}_{x,y}$","$\hat{S}_{y,z}$","$\hat{S}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{z}$","$\hat{S}_{x,y,z}\hat{A}_{x}$","$\hat{S}_{x,y,z}\hat{A}_{y}$","$\hat{S}_{x,y,z}\hat{A}_{y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$","$\hat{S}_{x,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,z}$"
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,49.029517324994664,,,,0.09126458886746003,0.028579822162356387,,,,,0.01036743125156793,,,0.026332957708078142,,,,6.867444107649793,0.00016415961838086045,0.0465771565768428
$\hat{S}_{x}$,,0.22359697378791127,0.010683047851108615,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,4.4723324428734506,,0.027607468339958384,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,93.60624551505933,36.222082651186966,,,,1.540051316701909,1.4229545791003113,,,0.0784428182421063,,0.27290327767711614,1.7730734105943964,,,2.13795708263778,,0.0005485136720545296,0.4616549341536105,,
"$\hat{S}_{x,z}$",,,2.166120030393223,,524.326039499497,1.832379848138672,23.58837809466019,,,97.33696671330401,,0.12311717121596583,0.631560597308774,,,0.07956311301140488,,0.009093327465368265,,,
"$\hat{S}_{y,z}$",,,,,,,,,,,,,,,,,,,0.001907210255959373,,
"$\hat{S}_{x,y,z}$",,,0.6493290120627578,,,,0.02440852407868867,,,0.3358863129617115,,0.018089961292236445,0.17402905604466307,,,0.24639524770580004,,0.004690223572621357,0.5457383746147384,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,0.7027631202622561,,,40.96929403745104,,136.57863438842605,124.51326830318008,980.2124374801652,,1.2297988916966984,2.269752390707951,,,23.05301394646211,,37.46563254131387,0.04239375831551448,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,0.007321789418072714,,5.265376549536368,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,0.008031272599519901,0.18991994031045187,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,12.748139631006053,,,2.977197823818419,0.0010201870143279376,,,,,0.1352204997757727,0.011574628647036298,,,6.066703285865999,,0.1756448085217144,0.01027358909740219,,66.58023850676663
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,,,0.015019471579369136,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,3.664301903999643,,,55.27927803964753,0.8131410808317975,,,7.395328383331186,,,0.03842182057230069,,,1.0783147807784526,,1.420265057611833,8.122343862545796,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,,0.19009903541470857,1.5756042648499327,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,0.5639924404848894,,,5.746166891483676,0.44057669201885646,,,86.39586033337247,,26.026877048114855,,51.155468652875975,5.260415960651565,49.11786137701742,,0.9374079131472582,1.5833793372500304,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,0.019548252148478357,,0.6346771345501812,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,,,,,,,,0.025791502413237945,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",,,0.467736236672354,,,4.05851983474136,0.043378275930530445,,,0.16483416987439725,,0.9273729877634471,0.020359192602548995,,,,38.77246016838214,0.052555748787378585,12.56863843244364,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,1823.1086132354176,,,213.20945249548134,0.02669112816652131,,,5.693308036920278,,0.7040939257362945,1.066771451333918,,,19.027414185375527,,,109.97074545137384,,
$\hat{S}_{x}$,,0.06870043601156328,0.9374659661340126,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,14.555948376101798,,0.05915197591370799,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1.0667053910488822,16.905606018281095,,,1.8100648752019033,0.5401027156811028,,,0.3497686272368322,0.616417563071394,,4.771350021109382e-05,,,0.5853020007784008,,0.22940156978976237,2.3607718819643946,,,
"$\hat{S}_{x,z}$",,,,,0.6655157739064634,,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,,0.552466385984345,,,0.10661671313912238,,,0.02971993773699483,0.08350813812246152,,0.05324406994963072,,,0.010639462186184237,,0.0025347872937477867,0.011264664207868272,1.5025939868114193,,
"$\hat{S}_{x,y,z}$",,,1.851499670278344,,9.37939250382927,,,,0.4527568358479012,0.015683467161197992,,0.008673043696743604,,,0.00035958669328917554,,0.0006287082877823331,0.0016560660027890844,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,,,30.375923522429517,0.6028527661596815,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,0.03292080977428068,,0.4158943561524231,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,2.859032863810535,,33.647445995662984,2.208691113690748,1.6587798151283981,2.4044567693856975,,23.290724533086284,,0.2529792855633846,,,0.04747381897192885,,0.0028120971148887985,0.11157102793030176,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,1.6222769432742123,,11.974880801839191,63.76141128245359,,,0.042935547092123404,,,0.33924907389744835,,,0.23938364324344086,,0.020019402896225027,0.010837885789867135,,,19.56694373609422
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,,,0.05110660169964853,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,20958.428863441273,,18.781434269506583,115.29977652199098,,,3.9528928140223063,2.947686749772205,,,,,20.337911689351614,,0.03002683601103046,0.9836896604461596,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,1.359308021791186,,0.038831441667719825,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,1.7085197020855676,,93.98971324871474,2780.970538294673,,,21.06424175799502,4.177394856435749,,0.049169256670711835,19.280654320377387,25.75232741954285,,,0.35128010581346214,2.811781631940956,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,,0.7356684312671686,0.05186545971850745,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,4.35916807769215,,394.51042005242937,1590.5627767805295,,,355.6064954888814,49.95153977287533,,33.30354219247898,,,2.846731094219788,,,19.481895711570317,,6.938217771941438,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,,,,,,,,,,,,,,0.1441292321558512,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,0.4235902704703097,,88.7731743749191,603.8406671689639,,,8.96290030261887,92.26891843932776,,1.0165807776676667,,,0.35564639467030945,,0.051329707067782886,,,,
$\hat{S}_{x}$,,0.30838796735935203,0.0006379939450121524,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,3.2426686701259664,,7.616004266686571,,0.7072636497465521,24.437633652025163,0.02949507940359771,,,,,0.005457092337204266,,0.04199372698239722,,0.00422975865012021,,1.618787440165458,,,0.003558846414619939
$\hat{S}_{z}$,1567.4129947752908,0.1313024474492661,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y}$",,,,,0.1053798164644466,,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,1.4138998948388624,,9.48948321937326,,31.805506062839758,0.5578094781046133,,,,,0.0019577898600454404,,0.5229790855511107,,0.8642705787474876,,14.319412976044479,,,6.278424752182502
"$\hat{S}_{x,y,z}$",,0.04092049231277061,,,0.03144109696051524,,0.007880513847073866,,,,,0.0010943096914494159,,0.1659249075287288,,0.06221513230027231,,0.18314553094161745,,,0.013510907346020553
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,0.044910123552689536,,7.82009716437797,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,0.10048126950204497,0.1278756489823669,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,33.903960261182526,,,1.7927267987591577,126.8952785827935,,22.266694475395468,9.952103560750178,,,2.440408980209218,,10.27050046879958,,194.21350605629377,,1.90414073408488,,,0.05571612034146903
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,280.98992861617864,,,0.15927562079204352,74.01427412604794,17.94812693115153,,,4.093150370497302,,0.5279616110721345,,14.414504132822715,,1.0071556002945623,,2.093763017120839,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,,,,,,,,,,,,,0.24431059440371938
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,183.24776972938525,,,510.78004867018257,913.8180972111263,0.4097673824795831,,,,,,,0.02617734692263205,,1.0885628802322425,,16.02773527936732,,,1.894077105282891
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,23.8130804731663,,,1.912122353700261,6.026822704884477,0.09736623867920238,,,,,38.200968301162476,6.731486652732385,,3.142969558349254,8.950291911143779,,1.65148612555864,,,0.06937456819780143
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,,0.14855559426744,4.918186454810964,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,,0.20332698021682385,0.3181704376816232,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,,,,,,,,,,,,,0.04543836400947427,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",,236.42010873872906,,,1.1570450557847443,16.07326004184392,0.005148972490667796,,,,,0.9186423845232093,,0.11172819947413398,,,,11.263984430316604,,22.00783460847076,0.9928952385386434
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,0.6177463298688486,,,0.06983526501211608,5.460138693303834,0.5251712660202056,,,,,0.062391846544115996,,0.6055152292979361,,0.08877853180518755,,,,,0.4776089709403279
$\hat{S}_{x}$,,3.375244062352799,0.11284757597707515,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,0.2962748712467699,,0.7896933257970785,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,8.861510682366353,1.2663143619589896,,,1.6080646531206146,2.6811894413066697,0.29010652228612865,,,0.003470995385343106,,0.1846038093371672,0.002036975221334189,,,0.0005612348037694189,,0.0009869386969844898,,,
"$\hat{S}_{x,z}$",,,,,0.663288114354617,,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,,0.6218655438134264,,,1.587472979198484,0.3313534495043602,,,3.3028123090722286,,0.03622289361202104,0.19494402802587274,,,0.0030934544707028546,,0.5163470305409188,1.5076404632593268,,
"$\hat{S}_{x,y,z}$",,,0.37296879683095163,,0.6299319819005048,,0.3104570681040883,,,0.05810241750797446,,0.68177653900235,0.01248956509068528,,,1.5154584152004742,,1.719247726754319,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,0.004824359885442134,,0.9878030218150754,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,0.09474915162558019,1.0123475813654759,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,3.447009712569343,,3.017925425239435,3.221057282112597,,207.28138525021208,10.55418421002539,6.714519707321653,,0.23363572401598484,2.7178592745514454,,,0.36718247474058935,,2.8829898787699517,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,288.101794725132,,0.3027722759943642,17.21098781927192,0.1489309799641483,,,,,1.9949772505095604,0.9191896618868699,,,0.6617357086975385,,2.1370532926125594,,,2.9464672187943766
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,,,0.33938948773004707,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,5.417006309840352,,27.606850261905553,1.4667562504619318,4.2801673597295515,,,0.5012588488137287,,,3.3383375075377377,,,0.5659144966393841,,21.038162692199304,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,490.92398843468237,,5.129677529117646,80.06683921650725,0.36793663651516306,,,1.0879147595581595,,0.29955029943559286,,12.596133187624373,1.0024532500342465,0.18926648872348867,,1.5680003837164667,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,0.07938944318106243,,0.14387265059922552,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,,0.9975527536728893,6.950591344741536,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,,,,,,,,0.7116711303625098,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",,,1781.7854368326844,,323.2632028273534,0.6598663414117595,2.7234415278302424,,,1.5111773278311522,,1.7670513936970709,5.2835555134166565,,,,1.4051434115229906,6.940220503418334,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,1013.2341583681114,,1.9366820003833707,0.581649743919016,0.34686212649024534,,,0.4679340489340322,,0.04753266787744673,0.6377549459712535,,,0.14408764094850593,,,,,
