ModelName,$S_{x}$,$S_{y}$,$S_{z}$,"$S_{y,z}$","$S_{x,z}$","$S_{x,y,z}$","$S_{x,y,z}HF_{x}$","$S_{x,y,z}HF_{y}$","$S_{x,y,z}HF_{z}$","$S_{x,y,z}HF_{x,z}$","$S_{x,y,z}HF_{y,z}$","$S_{x,y,z}HF_{x,y,z}$","$S_{x,y,z}HF_{x,y,z}T_{xz}$","$S_{x,y,z}HF_{x,y,z}T_{yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy}$","$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$","$S_{x,y}$","$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$S_{x,y,z}HF_{x,y}$"
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,,0.9851949615481531,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,0.15908740408888328,1.0150275214852722,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,0.1415594022188266,,,4.814863569611115e-06,,,,218230.9787933146,,,0.005353869959941522,,,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,4.1497860772716205e-45,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,2.4097627718137092e+44,,,18885.45287695164,,,,1.9117761637227987e-37,,,1.0940936109182383e-30,,,8.538739513593545e-25,,,9.032577849197847e-43,,,
"$S_{y,z}$",,,,,5.4832637154849565e-05,,,,,,,,,,,,,,,,
"$S_{x,z}$",,,5.2950808567605455e-05,18237.31361262016,,,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,,,0.0001524352251809403,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,2525871107.530113,,0.00021719108428843025,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,5.230737881220894e+36,,,6560.163497728311,581373338469503.4,4604.240562066524,,,,29842.269527178618,,,0.3331455310906767,,,6926308.077963556,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,3.959030201576024e-10,1.7200651179370452e-15,,,,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,4140.606903795004,,0.0005711937771156879,,,,,,,,,
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,,0.0002415104894607278,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,9.139985738155728e+29,,,,,,3.35095157253123e-05,,1750.7193531582593,,,,2.2325965909743367e-05,,,10023.087607865475,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,,2.3034192793670585e-05,0.0007391698611595072,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,1.1711330441782595e+24,,,,,,3.0016911730021576,,,44790.89523126011,1352.8690123151648,772873.2388522964,,4.315053198122787,,103248.37840424225,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,43413.72015757303,,1.2938732378481405e-06,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,0.23174685318712598,,449.368422649442,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,0.0022253455062642724,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,1.1071036604337781e+42,,,,,,1.4437706044025922e-07,,,9.976965573116056e-05,,,9.685382138252665e-06,,,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,0.0008190077998181919,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,1220.9895927999535,,,3.009657444518393e-60,,,,,,,,,,,,,,,,
"$S_{y,z}$",,,,,1.5361399184431203e-11,,,,,,,,,,,,,,,,
"$S_{x,z}$",,,3.3226372716314917e+59,65098236690.15133,,,,2.868468138038975e-07,,,,4.062826554878388e-09,,,1.0365353609978471e-13,,2.1223410786909337e-08,1.3813543141865864e-05,,,
"$S_{x,y,z}$",,,,,,,,1.4395699108481565e-08,,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,1.5835516110126124e+26,5.386166629039657e-05,,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,1.3578517930646577e-30,6.31491890157305e-27,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,3486181.306108733,69465191.82321799,7.364573991856726e+29,,18566.079901956135,,,4736.14003583824,,,4.86759146843024,,243683299.9861725,745.3113935725623,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,,,1.4789615828119433e-05,,,,,,,,,3035199.2959573045
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,,3.29467656813158e-07,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,246134061.22377107,,,0.00021114240551018928,,,67615.00850473103,,,,573.2234469891512,,1.0360286781908736,0.07486892423682742,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,9.362936008334422,,1.759529714739018e-08,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,,0.1068041049420662,2.4465197397874512e-05,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,9647524219890.816,,,0.205440412673435,,,,0.001744520405179668,40874.38918791957,56833368.12236359,,,1.896679799939417,19794.75900824529,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,47117779.98552443,,,4.103687039927413e-09,,,,0.965224246249836,,,0.5272371224873812,3466368.6364234323,,1.6375479267126647,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,,2.884863397078826e-07,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,72392.72283221936,,,0.0013417210693729205,,,,13.35667648752068,,,5.0518422557377984e-05,,0.6106691497008422,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,2.5950986932531585e-11,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,38534179936.96502,,3.939700873306751e-37,,,,,,,,,,,,,,,,,
"$S_{y,z}$",,,2.5382637721951197e+36,,28010350.697728273,,,,2.58598796033622e-06,,9.513992458781623e-17,,3.878989601362206e-18,,,,,2.1560986845243003e-09,,,
"$S_{x,z}$",,,,3.570108817241989e-08,,,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,,,1.0945889487212073e-23,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,1.0153804800839434e-14,8.884907193515626e-22,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,386699.40283480054,,9.135849591467973e+22,1.1255041591540979e+21,129099.8585358261,,,0.0055063829247994234,,62.64007008017687,,,,,0.0063583829589217815,,,
"$S_{x,y,z}HF_{y}$",,,,,,,98485249580268.48,,7.745941872759629e-06,,,,,,,,,,,,
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,,1.5332818613920382e-05,,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,1.0510834482289064e+16,,,,,181.6074206347402,65219.58063810384,,5164530073.397265,833.9178784818148,,,,,0.028541014994874363,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,1.9362845908305318e-10,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,0.0006536167305890837,,0.06415082485053927,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,2.577990927453955e+17,,,,,0.015964222241770142,,0.0011991588450178635,,,1529.9485970910387,22.781435200998665,,,0.11076412662747974,,320072.97033585265,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,0.04389539075027912,15.588264099952468,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,,,,,0.13198613015494765,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,3.1242875615229234e-06,,,,7.576553678981503,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,463800663.2895052,,,,,157.27269125821485,,35.03729633229892,,9.028193788438246,,,,,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,79009774.42348418,2.5661613496430013e-37,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,1.2656661878821523e-08,,,,,,,,,,,,,,,,,,,
"$S_{y,z}$",,3.896871099469711e+36,,,,2.2638253602861294e-18,,,1.2743767001866602e-20,,,,,5.551629042493912e-06,,6.408209640382502e-18,,,1.2057368698155894e+20,,
"$S_{x,y}$",,,,8.293683514488068e-21,,,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,4.417301871172642e+17,,,,,0.4649991247731751,,,,,0.005790535779477969,,1.273527413662288e-09,,,,,
