ModelName,"$(\sigma_{x,x}\sigma_{y,y})^{\otimes2}$","$(\sigma_{x,x}\sigma_{y,y}\sigma_{z})^{\otimes2}$","$(\sigma_{x,x})^{\otimes2}$","$(\sigma_{x,x}\sigma_{z})^{\otimes2}$","$H_{(1,2)(1,3)(2,4)(3,4)}\sigma_{z}^{\otimes4}$","$H_{(1,2)(1,3)(2,4)(2,5)(3,4)(4,6)(5,6)}\sigma_{z}^{\otimes6}$","$(\sigma_{x,x})^{\otimes3}$","$(\sigma_{x,x})^{\otimes4}$","$(\sigma_{x,x})^{\otimes5}$","$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes3}$","$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes4}$","$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes5}$","$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes2}$","$(\sigma_{x,x}\sigma_{z})^{\otimes4}$","$(\sigma_{x,x}\sigma_{z})^{\otimes5}$","$(\sigma_{x,x}\sigma_{z})^{\otimes3}$","$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes5}$","$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes2}$","$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes4}$","$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes3}$"
"$(\sigma_{x,x}\sigma_{z})^{\otimes3}$",,,,1.7042889177783588e+29,0.04881726703291131,6.301976507018251e+21,,,,,,,,6854024101513987.0,1.1025474446805254e+16,,,9.969519298208774e-21,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes5}$",,,,,,,,,,,,,,,,,,9.75000204128509e-22,0.3421034196768105,3.676051978505115
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes3}$",,,,,5.937659317944229e+17,,,,,1368212867151.5166,,,,,,1.0030573893163236e+20,1.025640810910226e+21,,2.3703724409466474e+17,4.0634826851500785e+24
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes4}$",,,,,,,,,,,,,,,,,2.9230926745623087,4.218746314822297e-18,,12094631.695279783
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes2}$",,,,,,,,,,,,,,,,,0.2720309739490286,2.4609431797371286e-25,8.268131061736041e-08,
"$(\sigma_{x,x}\sigma_{y,y})^{\otimes2}$",,0.005761081456934669,,,,,,,,,,,,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z})^{\otimes2}$",173.57852123342056,,,,,,,,,,4.484707751125559e-09,,,,,,,,,
"$(\sigma_{x,x})^{\otimes2}$",,,,2.6835340836338175e-84,,4.043857060679063e-23,1.0173562884306477e-57,2.8929511998624614e-58,,,,,,,,,,,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes2}$",,,3.726429286286104e+83,,,,,1.6428596211908112e+17,,,,,,689054411.0698851,0.0027668655577037737,3791374798.9086866,,,,
"$H_{(1,2)(1,3)(2,4)(3,4)}\sigma_{z}^{\otimes4}$",,,,,,,,,3.198561273956848e+19,,,,,,2.1332682159103073e-10,,1.162435541295694e-52,,,
"$(\sigma_{x,x})^{\otimes3}$",,,2.472886615413838e+22,,,,1.1833300464145639e-35,2.1343476775668224e-31,,,,,,,,,,,,
"$(\sigma_{x,x})^{\otimes4}$",,,9.82939813093974e+56,,,8.450727698751117e+34,,0.03661121896420272,,,,,,,,,,,,
"$(\sigma_{x,x})^{\otimes5}$",,,3.456677734652222e+57,6.08694733926907e-18,,4.6852722755085993e+30,27.314031826631286,,,,,,,,,,,,,
"$H_{(1,2)(1,3)(2,4)(2,5)(3,4)(4,6)(5,6)}\sigma_{z}^{\otimes6}$",,,,,3.1264056378789604e-20,,,,,,,,,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes3}$",,,,,,,,,,,1.035339058108297e-07,890870.2489604682,334.34046441613015,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes4}$",,222979970.04353803,,,,,,,,9658671.641608246,,6.975585306275899e+18,5306715768248.529,,,,2.1350677805707714e-27,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes5}$",,,,,,,,,,1.1224979183746144e-06,1.433571458297994e-19,,4.319355931806053e-19,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes2}$",,,,,,,,,,0.002990963124210326,1.884404674513118e-13,2.3151599816916915e+18,,,,,,,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes5}$",,,,1.4512642019769006e-09,,,,,,,,,,,8.34493566376916e-09,3.9795311768972664e-06,,,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes3}$",,,,361.41980126779333,4687643084.64269,,,,,,,,,119833158.73142749,,370556076536625.8,3.776235113224376e-43,,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes4}$",,,,2.637565666912807e-10,,,,,,,,,,251285.8815644895,2.6986468805111065e-15,,,,,
