ModelName,"$(\sigma_{x,x}\sigma_{y,y})^{\otimes2}$","$(\sigma_{x,x}\sigma_{y,y}\sigma_{z})^{\otimes2}$","$(\sigma_{x,x})^{\otimes2}$","$(\sigma_{x,x}\sigma_{z})^{\otimes2}$","$H_{(1,2)(1,3)(2,4)(3,4)}\sigma_{z}^{\otimes4}$","$H_{(1,2)(1,3)(2,4)(2,5)(3,4)(4,6)(5,6)}\sigma_{z}^{\otimes6}$","$(\sigma_{x,x})^{\otimes3}$","$(\sigma_{x,x})^{\otimes4}$","$(\sigma_{x,x})^{\otimes5}$","$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes3}$","$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes4}$","$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes5}$","$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes2}$","$(\sigma_{x,x}\sigma_{z})^{\otimes4}$","$(\sigma_{x,x}\sigma_{z})^{\otimes5}$","$(\sigma_{x,x}\sigma_{z})^{\otimes3}$","$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes5}$","$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes2}$","$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes4}$","$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes3}$"
"$(\sigma_{x,x}\sigma_{z})^{\otimes5}$",,,,1.3817936979091408e-11,,,,,,,,,,,1.9074600638863118e-11,5.518319225973813e-14,,,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes3}$",,,,325.364369905993,,,,,,,,,,52425737184.90192,,4.399918707286353e-11,,,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes4}$",,,,188.0857316006613,9.2569921040338e-08,,,,,,,,,18121459796910.008,22727692635.411198,,1.4512236996534894e-33,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes3}$",,,,,3.2606059668699355e+32,,,,,,,,3.0069072585379197e+19,,,6.890736419469799e+32,,1.7084610648801367e+48,9.048639854323573e+29,6.783299087210108e+37
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes5}$",,,,,,,,,,,,,,,,,5.853220893097489e-49,,1.6913307653516893e-09,5.77837515073921e-13
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes2}$",,,,,,,,,,,,,,,,,1.1051384695371486e-30,591250404.9981397,,5056986456832.325
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes4}$",,,,,,,,,,,,,,,,,1.474208916846225e-38,1730590302486.804,1.977462286158456e-13,
"$(\sigma_{x,x}\sigma_{y,y})^{\otimes2}$",,0.002628625276722087,,,,,,,,,,,,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z})^{\otimes2}$",380.426989291911,,,,,,,,,,2.5376963105147776e-09,,,,,,,,,
"$(\sigma_{x,x})^{\otimes2}$",,,,2.0679400423411e-70,,1.6074545358879106e-41,1.8499021317648012e-57,8.636000475023678e-69,,,,,,,,,,,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes2}$",,,4.835730144612448e+69,,,,,2463829.340693192,,,,,,0.35667202818913507,1.2245415767552704e-08,258338575.46644166,,,,
"$H_{(1,2)(1,3)(2,4)(3,4)}\sigma_{z}^{\otimes4}$",,,,,,,,,1.302369209093201e+62,,,,,,2.322801618462995e-10,,6.395421343317556e-29,,,
"$(\sigma_{x,x})^{\otimes3}$",,,6.221015759227239e+40,,,,2.4692696866502623e-15,5.094355009655445e-24,,,,,,,,,,,,
"$(\sigma_{x,x})^{\otimes4}$",,,5.405691375932428e+56,,,404978040837884.44,,1.315285950159577e-07,,,,,,,,,,,,
"$(\sigma_{x,x})^{\otimes5}$",,,1.157943428664828e+68,4.05872266996647e-07,,1.962957034020357e+23,7602909.465266279,,,,,,,,,,,,,
"$H_{(1,2)(1,3)(2,4)(2,5)(3,4)(4,6)(5,6)}\sigma_{z}^{\otimes6}$",,,,,7.678314206278485e-63,,,,,,,,,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes4}$",,,,,,,,,,,1.9143156829108676e-13,9.8175566319728e-10,2744682104.256933,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes3}$",,394058184.13202786,,,,,,,,5223798817128.329,,345.3363633478341,4.7242117171091603e+20,,,,4.0558648965917402e-25,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes2}$",,,,,,,,,,1018583378.2137847,0.0028957274881381873,,31395.8208870636,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes5}$",,,,,,,,,,3.643409189169941e-10,2.1167552596730783e-21,3.185137294537319e-05,,,,,,,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes5}$",,,,2.8036961717382636,,,,,,,,,,,2.8864695082019554e-07,4.22948909588772e-20,,,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes3}$",,,,81663213.31855065,4305145958.446951,,,,,,,,,3464439.8534558634,,418.2385107303066,6.55177518735441e-41,,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes4}$",,,,3.870889193355874e-09,,,,,,,,,,2.364351762893272e+19,0.0023909802047015027,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes3}$",,,,,1.563618636393487e+28,,,,,,2.46556536150977e+24,,,,1.526303896889047e+40,,,4.4120076949998665e+33,6.160120301830386e+28,1.4784276011377733e+31
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes2}$",,,,,,,,,,,,,,,,,2.2665418311334795e-34,,0.42065121331512695,5.695575679730283e-10
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes5}$",,,,,,,,,,,,,,,,,1.623344920232914e-29,2.3772664106185744,,1.668371186082332e-14
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes4}$",,,,,,,,,,,,,,,,,6.763942983954146e-32,1755748771.0309126,59938699993267.04,
"$(\sigma_{x,x}\sigma_{y,y})^{\otimes2}$",,7.87963218561769e-05,,,,,,,,,,,,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z})^{\otimes2}$",12690.94770470697,,,,,2.6930411459976093e-12,,,,,,,,,,,,,,
"$(\sigma_{x,x})^{\otimes2}$",,,,7.475983125490848e-65,,,,,,,4.903080281741224e-55,1.8535475595215102e-35,5.767033335711374e-37,,,,,,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes2}$",,,1.3376167163758056e+64,,,,,,,,1178284.9939213146,,,2.4808186781375356e-18,3.547760609335603,0.0011991855555192608,,,,
"$H_{(1,2)(1,3)(2,4)(3,4)}\sigma_{z}^{\otimes4}$",,,,,,,,,,15287552570.32663,,,,5.769070411283719e-12,,,,,2.7233595452942897e-38,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes4}$",,371327412314.5862,,,,,3.94222789816113e+16,161.42773884104292,96798817859.28664,,,,,,,,,,6.735622781318831e-16,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes2}$",,,,,,2.536636708563842e-17,,0.0013738716311605633,0.0003242237872517925,,,,,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes3}$",,,,,,0.0061947222155214286,727.8700406349178,,1.0190933762117998e+18,,,,,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes5}$",,,,,,1.0330704673001981e-11,3084.2894300762673,9.812643505909397e-19,,,,,,,,,,,,
"$H_{(1,2)(1,3)(2,4)(2,5)(3,4)(4,6)(5,6)}\sigma_{z}^{\otimes6}$",,,,,6.54126941117452e-11,,,,,,,,,,,,,,,
"$(\sigma_{x,x})^{\otimes5}$",,,2.0395342163250718e+54,8.48691110519888e-07,,,,,,,,2.9397058433222577e+24,1.526491537131735e+17,1.5223067450263567e-22,,,,,,
"$(\sigma_{x,x})^{\otimes3}$",,,5.395059840051518e+34,,,,,,,,3.4017008955898367e-25,,0.00042273244205192685,,,,,,,
"$(\sigma_{x,x})^{\otimes4}$",,,1.7339937915872097e+36,,,,,,,,6.5509698263967565e-18,2365.5624705452906,,,,,,,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes3}$",,,,4.0309274063945126e+17,173338151332.68283,,,,,,6.568978317065043e+21,,,,1047427069025.0452,105574.55980011012,,,5.268646077479859e-25,
"$(\sigma_{x,x}\sigma_{z})^{\otimes5}$",,,,0.28186794716886837,,,,,,,,,,9.54720409250841e-13,,6.950120388061757,,,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes4}$",,,,833.8993039046312,,,,,,,,,,9.471978873445959e-06,0.14388239975205366,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes2}$",,,,,,,,,,,,,,,,,,0.0001596100711812878,7.608713354127481e-31,1421540153119.5469
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes4}$",,,,,,,,,,,,,,,,,6265.268805401278,,8.639797188523538e-18,185801415.99588895
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes3}$",,,,,3.6719352820229204e+37,1484643710710000.0,,,,,,,,1.8980208298188211e+24,,,1.3142826565512977e+30,1.1574345765064085e+17,,7.820854507566955e+40
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes5}$",,,,,,,,,,,,,,,,,7.034623663675741e-13,5.382090306685962e-09,1.278632659682474e-41,
"$(\sigma_{x,x}\sigma_{y,y})^{\otimes2}$",,47260.51402205126,,,,,,,,,2.0025257040446823e-14,,,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z})^{\otimes2}$",2.1159312815205744e-05,,,,,,,,,,,,,,,,,,,
"$(\sigma_{x,x})^{\otimes2}$",,,,2.1437254386932734e-108,,,1.938363632332673e-43,1.96807359366701e-56,2.3609918574644853e-33,,,,,,,,,,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes2}$",,,4.664776477203903e+107,,,,,5.737082904572425e+34,,,,,,0.013753336964373065,7.120813288910109,2.4474018261094546e-11,,,,
"$H_{(1,2)(1,3)(2,4)(3,4)}\sigma_{z}^{\otimes4}$",,,,,,4.945029361625804e+54,,,,,,,,,,6419985.612739854,5.805800858900688e-27,,,
"$H_{(1,2)(1,3)(2,4)(2,5)(3,4)(4,6)(5,6)}\sigma_{z}^{\otimes6}$",,,,,2.022232684319643e-55,,,,,,,,,,,,,,,
"$(\sigma_{x,x})^{\otimes4}$",,,5.1589907245451984e+42,,,,,7.284313240363311e-21,8110421163.816232,,,,,,,,,,,
"$(\sigma_{x,x})^{\otimes5}$",,,5.081110804076954e+55,1.7430461031040798e-35,,,1.3728130120199556e+20,,3.425194685026739e+23,,,,,,,,,,,
"$(\sigma_{x,x})^{\otimes3}$",,,4.235508042259491e+32,,,,1.2329815922031176e-10,2.919542075583343e-24,,,,,,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes4}$",,,,,,,,,,,2.0332970387210342e-05,7.537253391890829e-11,3601.3338892948004,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes5}$",49936937038071.945,,,,,,,,,49181.20574399748,,9592.891685765278,17632856863299.94,,,,3.985730704669921e-21,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes3}$",,,,,,,,,,13267432418.7625,0.00010424385396573196,,1.490692664130699e+20,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes2}$",,,,,,,,,,0.0002776748923426859,5.671230746966165e-14,6.708290877537473e-21,,,,,,,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes4}$",,,,72.70962695020279,,,,,,,,,,,214740572554.4581,7.120882231272943e-12,,,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes5}$",,,,0.14043339706117433,,,,,,,,,,4.656781846599578e-12,,1.2859526410459917e-10,,,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes3}$",,,,40859657344.85307,1.5576358894256628e-07,,,,,,,,,140432037424.84,7776336142.415025,,6.383730253714096e-33,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes3}$",,,,,1.722415260707628e+26,,,,,,2.5089502379785467e+20,,,,,1.5664822294428769e+32,,1624276768.255503,2.48154929760116e+43,743207087366.2743
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes4}$",,,,,,,,,,,,,,,,,6.156586239142081e-10,,1.3533110569919053e+35,0.002629788467729993
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes2}$",,,,,,,,,,,,,,,,,4.029740617954559e-44,7.389284191786379e-36,,3.0175171867791548e-25
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes5}$",,,,,,,,,,,,,,,,,1.3455199997402214e-12,380.2587212891651,3.313982781544262e+24,
"$(\sigma_{x,x}\sigma_{y,y})^{\otimes2}$",,1.3307360061412689e-05,,,,,,,,,,,,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z})^{\otimes2}$",75146.38481149217,,,,,,,,,1.0923864198103858e-42,,,,,,,,,,
"$(\sigma_{x,x})^{\otimes2}$",,,,1.047659064765659e-67,,,1.4466744780412315e-37,3.455996149368995e-58,3.9435581836299723e-72,,,,,,,,,,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes2}$",,,9.545089940339328e+66,,,,,,209.90454161012994,,,,,2.1794133820309948e+16,9.874294894018818e-27,4.619742740373931e-26,,,,
"$H_{(1,2)(1,3)(2,4)(3,4)}\sigma_{z}^{\otimes4}$",,,,,,1.6873396903639647e+48,,,,,,,,,0.025780764691045156,,,,4.477295344636741e-26,
"$H_{(1,2)(1,3)(2,4)(2,5)(3,4)(4,6)(5,6)}\sigma_{z}^{\otimes6}$",,,,,5.926488932316271e-49,,,,,,,,,,,,,,,
"$(\sigma_{x,x})^{\otimes3}$",,,6.912405072314403e+36,,,,,1.9215069572815816e-19,1.3014376509498339e-36,,,,,,,,,,,
"$(\sigma_{x,x})^{\otimes4}$",,,2.8935217424434418e+57,,,,5.204248656037825e+18,,8.587818615301375e-20,,,,,,,,,,,
"$(\sigma_{x,x})^{\otimes5}$",,,2.5357810216952814e+71,0.00476407033563556,,,7.68381027911837e+35,1.1644400572436947e+19,,,,,,,2.6074133408168015e-33,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes4}$",,9.154269788282226e+41,,,,,,,,,2.72520105022811e+29,1.8048779362781603e+17,6.345219356177892e+17,,,,,,1.93170487736761e-16,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes2}$",,,,,,,,,,3.6694540386893515e-30,,3.30034021301383e-10,78473123049.19624,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes3}$",,,,,,,,,,5.540540885895589e-18,3029990653.8629613,,0.4668429321713543,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes5}$",,,,,,,,,,1.5759896449070286e-18,1.2743216545276038e-11,2.142048066035518,,,,,,,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes5}$",,,,4.5883906570680055e-17,,,,,,,,,,,3.730965021370585e-50,7.104168302225839e-47,,,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes3}$",,,,1.012730539985931e+26,38.78860894872315,,,,3.835218545314103e+32,,,,,2.680271710595255e+49,,3002.128999476131,,,7.576349801136055e-22,
"$(\sigma_{x,x}\sigma_{z})^{\otimes4}$",,,,2.1646226991398618e+25,,,,,,,,,,1.4076243093603025e+46,0.0003330969455924443,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes2}$",,,,,,,,,,,,,,,,,,1.9346914735225375e-13,8.147018668638811e-47,55378820.10537365
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes4}$",,,,,,,,,,,,,,,,,5168782793978.3955,,1.4724356419132803e-38,0.15601655195457248
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes3}$",,,,,2.233491255380057e+25,,,,,5176774214924222.0,,,,,1.3198968187161218e+21,,1.2274428728749655e+46,6.79146830961387e+37,,2.5330484800549892e+32
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes5}$",,,,,,,,,,,,,,,,,1.8057445032184165e-08,6.409576339638445,3.9478123212955295e-33,
"$(\sigma_{x,x}\sigma_{y,y})^{\otimes2}$",,1.116628943852623e-05,,,,,,,,,,,,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z})^{\otimes2}$",89555.26412827642,,,,,,,,,0.1284510572025089,,,,,,,,,,8.310518766468008e-46
"$(\sigma_{x,x})^{\otimes2}$",,,,2.2474646449974693e-75,,3.8702946036760006e-55,2.2277087136230723e-44,2.447727687589944e-39,,,,,,,,,,,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes2}$",,,4.4494582027168043e+74,,,3.782517794997273e+16,,,,,,,,24993494825169.137,0.046172384879317935,0.00032886819232415363,,,,
"$H_{(1,2)(1,3)(2,4)(3,4)}\sigma_{z}^{\otimes4}$",,,,,,,,,,,,,1.031760967865855e+21,,,465.6240668451506,,,,1.277534645393699e-47
"$(\sigma_{x,x})^{\otimes5}$",,,2.5837826377614802e+54,2.6437416932250573e-17,,,36805965516923.09,353195944742541.75,,,,,,,,3.554664217775234e-32,,,,
"$(\sigma_{x,x})^{\otimes3}$",,,4.488917217429351e+43,,,2.7169508691198656e-14,,0.028460540160129222,,,,,,,,,,,,
"$(\sigma_{x,x})^{\otimes4}$",,,4.085421777389827e+38,,,2.8312895855272032e-15,35.136367559211486,,,,,,,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes4}$",,,,,,,,,,0.000822796336268363,5.330877317908375e+20,4131863.8749547726,,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes3}$",,7.785066326261953,,,,,,,1215.3675896702587,,343334114295.8794,25128469095.99999,,,,,,,,8.209276872708458e-26
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes5}$",,,,,,,,,1.8758638407239886e-21,2.912614734049461e-12,,34.753514209121725,,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes2}$",,,,,,,,,2.4202152594171463e-07,3.979550032195087e-11,0.028774068544053334,,,,,,,,,
"$H_{(1,2)(1,3)(2,4)(2,5)(3,4)(4,6)(5,6)}\sigma_{z}^{\otimes6}$",,,,,9.692167383191953e-22,,,,,,,,,,,,,,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes5}$",,,,4.001041098874146e-14,,,,,,,,,,,9.912722305668318e-14,2.166870847502004e-11,,,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes3}$",,,,21.657967259298566,,,,,,,,,,10088046140747.607,,8.32429262957839e-11,,,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes4}$",,,,3040.7318899796055,0.0021476553108079853,2.8132052389068476e+31,,,,,,,,46149497149.44075,12013032752.437586,,,,,4.3276846946366334e-60
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes5}$",,,,,,,,,,,,,,,,,,1.4184689441263185e-19,8.837506377929179e-23,4.783931559349308e-49
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes2}$",,,,,,,,,,,,,,,,,7.049854733449471e+18,,132703938.17855148,7.838094595761623e-29
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes4}$",,,,,,,,,,,,,,,,,1.1315409089801662e+22,7.535571390914658e-09,,1.5225652763031793e-25
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes3}$",,1.203294316637471e+45,,,7.827576368324861e+46,,,,,1.2181340884292448e+25,,,,,,2.3107043848164714e+59,2.0903309079447117e+48,1.2758202746631058e+28,6.567862905871734e+24,
"$(\sigma_{x,x}\sigma_{y,y})^{\otimes2}$",,1.895281163809471e-14,,,,,,,,,,,,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z})^{\otimes2}$",52762620084822.836,,,,,,,,,,,,2.985717300803288e-11,,,,,,,
"$(\sigma_{x,x})^{\otimes2}$",,,,2.322806834080436e-71,,,7.705110636432731e-43,1.3360751769104941e-28,2.1534672791112736e-63,,,,,,,,,,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes2}$",,,4.3051362916963555e+70,,,,,,4341.909621113158,,,,,2.6988321974156743e-24,1.0930135967795934e-35,4.977654940061864e-06,,,,
"$H_{(1,2)(1,3)(2,4)(3,4)}\sigma_{z}^{\otimes4}$",,,,,,5.42945215247216e+39,,,,,,,,,0.005191490715789004,,,4.894262624351033e-11,,
"$H_{(1,2)(1,3)(2,4)(2,5)(3,4)(4,6)(5,6)}\sigma_{z}^{\otimes6}$",,,,,1.8418064510333255e-40,,,,,,,,,,,,,,,
"$(\sigma_{x,x})^{\otimes4}$",,,1.2978398976798786e+42,,,,,2.472956989366393e+17,2.6625958876808036e-19,,,,,,,,,,,
"$(\sigma_{x,x})^{\otimes3}$",,,7.484608780116507e+27,,,,4.043741982978096e-18,,1.4445365112784845e-36,,,,,,,,,,,
"$(\sigma_{x,x})^{\otimes5}$",,,4.643673993563978e+62,0.00023031340752404348,,,3.755733285049983e+18,6.922635684126473e+35,,,,,,,3.0264709942370917e-30,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes5}$",,,,,,,,,,,16.202636448364434,2.3273836680708837,3.4221970730633943e-09,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes4}$",,,,,,,,,,0.06171835078734637,,0.17901380371341352,7.12822508845415e-20,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes2}$",,,,,,,,,,0.42966701782730893,5.58616139792727,,7.0350036119082555e-12,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes3}$",,33492789144.201847,,,,,,,,292209939.5944038,1.4028737695443106e+19,142146337822.38364,,,,,,1.7539340216001307e-14,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes3}$",,,,3.705306320850818e+23,,,,,,,,,,,3.0570927991456533e-26,0.0002234641832696819,,,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes4}$",,,,9.149017019974459e+34,192.62290057818583,,,,3.304178371126529e+29,,,,,3.2710815984371288e+25,,2.1994795201509266e+24,,9.735251089050408e-17,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes5}$",,,,200897.81474237176,,,,,,,,,,4474.9900649321335,4.546530171517036e-25,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes2}$",,,,,,,,,,,,,,,,,,2.6414390836570067e-13,4.79859470942761e-05,0.00041399601441198324
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes3}$",,,,,20432087052.798836,,,,,,,,57014687421804.52,,1.027194872379549e+16,,3785815111872.748,,1.599719775600586e+21,3.070394213063377e+23
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes4}$",,,,,,,,,,,,,,,,,20839.434470999175,6.251094818306962e-22,,73157074902.28862
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes5}$",,,,,,,,,,,,,,,,,2415.482191103564,3.256910776295026e-24,1.3669217930536974e-11,
"$(\sigma_{x,x}\sigma_{y,y})^{\otimes2}$",,729407.1837080967,,,,,,,,1.3582030820859098e-18,,,,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z})^{\otimes2}$",1.3709763522156267e-06,,,,,,,,,,,,,,,,,,,
"$(\sigma_{x,x})^{\otimes2}$",,,,6.36013872643848e-53,,,,,,,2.50728109866334e-53,4.835981880376343e-24,1.1001984149915927e-48,,,,,,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes2}$",,,1.5722927486520016e+52,,,,,,,,0.0432158854931569,,,3.637039731760244e+23,8.861472642645101e-20,1.6270509354308168e-15,,,,
"$H_{(1,2)(1,3)(2,4)(3,4)}\sigma_{z}^{\otimes4}$",,,,,,5.665579209897125e+28,,,,,,,,,13.500078292077218,,,3.5552030630667275e-20,,
"$H_{(1,2)(1,3)(2,4)(2,5)(3,4)(4,6)(5,6)}\sigma_{z}^{\otimes6}$",,,,,1.7650446017118837e-29,,,,,,,,,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes3}$",,,,,,,,9.498074063551273e+19,41.987551605853305,0.00012459671311369725,,,,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes5}$",,,,,,,1.0528450223793117e-20,,0.0014027801502996314,1.3609266339877573e-31,,,,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes2}$",,,,,,,0.02381658281452625,712.870081449614,,6.0577077780859055e-15,,,,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes4}$",7.362669200133265e+17,,,,,,8025.893902092569,7.347934672053717e+30,165078943493701.62,,,,,,,,,3.1834719631890843e-25,,
"$(\sigma_{x,x})^{\otimes5}$",,,3.9883840728233916e+52,23.139639245812674,,,,,,,,2.609078286287004e+28,25732518.323316034,,6.964889859720843e-10,,,,,
"$(\sigma_{x,x})^{\otimes3}$",,,2.0678323962665024e+23,,,,,,,,3.832771156219718e-29,,2.0950126525172778e-22,,,,,,,
"$(\sigma_{x,x})^{\otimes4}$",,,9.089269593318235e+47,,,,,,,,3.8861334418789e-08,4.773240862285212e+21,,,,,,,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes5}$",,,,2.749488797902196e-24,,,,,,,,,,,7.286421389327367e-41,1.4837415212315224e-27,,,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes3}$",,,,1.1284806039885324e+19,0.07407364449040783,,,,,,1435772883.9090078,,,1.372415821935208e+40,,111.71765086410232,,1.0396385355018486e-33,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes4}$",,,,614608908807895.5,,,,,,,,,,6.73971837877792e+26,0.008951137016087447,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes4}$",,,,,,,,,,,,,,,,,,2.411706456493175e-14,9.446177091295943e+18,3.9800260251635097e+21
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes3}$",,,,,2.8127788547115995e+19,,,,,3.1412244604731404e+24,,,,,9.618727719796242e+32,,41464416090426.05,,9.150918510515546e+39,2.203787684037806e+37
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes2}$",,,,,,,,,,,,,,,,,1.0586293167438466e-19,1.0927864769540624e-40,,148485066464.1168
