ModelName,$\hat{S}_{x}$,$\hat{S}_{y}$,$\hat{S}_{z}$,"$\hat{S}_{y,z}$","$\hat{S}_{x,y}$","$\hat{S}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x}$","$\hat{S}_{x,y,z}\hat{A}_{z}$","$\hat{S}_{x,y,z}\hat{A}_{y}$","$\hat{S}_{x,y,z}\hat{A}_{x,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$","$\hat{S}_{x,y,z}\hat{A}_{y,z}$","$\hat{S}_{x,z}$"
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,4.323581791691729e-29,2348307264489545.0,,2667.998581680969,0.004260674322182312,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",,,,,,,,,,,,,,,,6.235751889980917e-16,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,3.384789545852121e+90,,,,,,,,3.63800794058442e-20,,234.70463226764568,,,1603655850398275.5,60055600133.802345,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,,,,,,,,1.6651236483725507e-11,,,,,
$\hat{S}_{x}$,,6.048385591790844e-130,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1.6533337447223064e+129,,2.3927279623839183e-102,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1e+160,4.179330102381057e+101,,,,,,,,,,,3.089905489457936e-143,,,,,7.986192238478547e-82,,,0.0038295963426905693
"$\hat{S}_{x,z}$",,,261.124126543694,3.6630256485442616e+16,,1.9579913528834234e-33,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,,,,,,,,,,,,,,,,,,,,2.7299836144947938e-17
"$\hat{S}_{x,y,z}$",,,,,,,,,4.820609940987671e-70,,,,,,,,,,,,5.107274853524539e+32
