ModelName,$S_{x}$,$S_{y}$,$S_{z}$,"$S_{x,z}$","$S_{y,z}$","$S_{x,y,z}$","$S_{x,y,z}HF_{y}$","$S_{x,y,z}HF_{x}$","$S_{x,y,z}HF_{z}$","$S_{x,y,z}HF_{x,y}$","$S_{x,y,z}HF_{y,z}$","$S_{x,y,z}HF_{x,y,z}$","$S_{x,y,z}HF_{x,y,z}T_{xz}$","$S_{x,y,z}HF_{x,y,z}T_{xy}$","$S_{x,y,z}HF_{x,y,z}T_{yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$","$S_{x,y}$","$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$S_{x,y,z}HF_{x,z}$"
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,22198.9999614314,,,,2.9870090065843674e-15,,,195538.41580013302,5871985.946757549,,91968636111620.72,,,,,21010.290480815067,0.0024495922594910927
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,3.312477566786319e-13,1.087327204446435e-14,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,3.051476040304132e+20,,,,3.39583733429486e-13,,,,,4.7595724624232147e-05,,,9.81981321262397e+20,3.21539947447421e+29,,,1.1369018089247306e+18
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,,,,,1.0183493090422932e-21,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,,,,,3.1100334746541017e-30,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,1e-160,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,1e+160,,2.440132118978281e-141,,,,,,,,,,,,,,,,,
"$S_{x,z}$",,,4.0981387533176465e+140,,3.120421683473714e+33,,1.768245486448457e-58,,,,,3.1420604920801446e-46,,9.835513491318985e-44,,,,,,1.1133893232376428e-45,
"$S_{y,z}$",,,,3.204695074695099e-34,,,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,2.486551105171732e-109,,,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,5.655323356761467e+57,,4.021634616397461e+108,,3.128512906090476e+59,1040084.242366193,,,3667821.3808140694,,4.591504033686658,,,,,,68556635532995.055,
"$S_{x,y,z}HF_{z}$",,,,,,,9.614605810438957e-07,1.0164260113017839e+62,,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,3.196406823360825e-60,,9.83839442203229e-63,,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,,38.896981180998736,2.687945918197837e-21,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,0.02570893600577163,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,3.1826249129212916e+45,,,2.726414119375821e-07,,,3.720312946885706e+20,,,,1989546.9758826,,,,,,9.741354987320522e-05,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,9964224049.42009,1.3020947827000633e-05,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,,1.1816850826519141e-14,1.0035904401991033e-10,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,1.016723733725361e+43,,,0.21779355798519676,,,,,5.026269860033747e-07,84624915274027.14,,76799.32469480982,,,,,0.011392598224083526,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,8.981584241279447e+44,,,1.45864801010942e-14,,,,,10265.512357383685,,87.77628951102984,,7.448237693875964e+21,,82731436891.80255,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,,,,,1.3425994726540653e-22,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,,,,,1.2087303660733167e-11,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,9.219698073407091e-101,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,1.0846342169103757e+100,,,9.811547902064898e-119,,,,,,,,,,,,,,,,
"$S_{y,z}$",,,1.0192071729982016e+118,1.1973231024554467e+57,,,7.221656208169608e-07,,,,154112.42335749153,3936071154.7269487,,,,0.0005029115729974304,,9.1009389466414e-06,,,
"$S_{x,z}$",,,,,8.351964460964794e-58,,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,1.6643990950910902e-61,,,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,1.571476584363704e-139,,4.8403490722539e-110,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,1384723.9070571302,6.0081743792661186e+60,,6.363441937029582e+138,1.353849759076504e+26,,146331511.02863362,905.3629587871535,,,,1.624301926738654e-05,,423395105804.1565,,,
"$S_{x,y,z}HF_{z}$",,,,,,,7.386343966867682e-27,2.0659667000718026e+109,,,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,,1.0635311915089822e-27,,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,6.488769550267338e-06,,6.833798086075416e-09,,,9.402639132578316e+26,,7.230700928928555e-17,,,,2.577255945449282e-15,,0.00014883104747683275,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,2.540604477637731e-10,,0.0011045293937578633,,,,1.382991787143629e+16,,,,0.07085742743581754,1.799702052515756e-10,,9450.682343028542,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,5.716118693901218e-08,,1.1943438795481128e-11,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,,17494388.300000567,7.436465602828846e-13,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,14.112846545350482,1344724837588.9724,83727979614.91258,,1.650829696591282e-12,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,1.0273257460684546e-12,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,1988.4211334407082,,61564.908810263165,,,,388009581184873.1,5556475298.798079,,,605756003823.3207,,,1.2731563326454899e+22,,973401089018.7174,
