ModelName,$S_{x}$,$S_{y}$,$S_{z}$,"$S_{y,z}$","$S_{x,z}$","$S_{x,y,z}$","$S_{x,y,z}HF_{y}$","$S_{x,y,z}HF_{z}$","$S_{x,y,z}HF_{x}$","$S_{x,y,z}HF_{x,y}$","$S_{x,y,z}HF_{x,z}$","$S_{x,y,z}HF_{x,y,z}$","$S_{x,y,z}HF_{x,y,z}T_{xz}$","$S_{x,y,z}HF_{x,y,z}T_{yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy}$","$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$S_{x,y,z}HF_{y,z}$","$S_{x,y}$"
"$S_{x,y,z}HF_{x}$",,,,6.515659676922612e+109,,3.0118713206687357e+86,1.0152221704830492e+44,8.856342636692897e+25,,,,0.05125821099444098,,,6.474371418464889e-63,,,7138969131887.744,,,
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,3.6214066364768e-05,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,,27613.5794839345,5.043586864821277e-20,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,1.4353391589388986e+102,,,,,19.509069485637166,1.982715925792696e+19,,,,,2.3260045741558093e-58,,,7.018924839143749e-14,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,,16723.263930133126,2.3973924698605935e-24,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,1.4750027114633744e+153,,,,,1.5445514867250322e+62,,,4.299217684741381e+57,4.1711985524762625e+23,6.151258082099921e+21,,,,1.3248258861678403e+26,1782263183472.0352,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,5.9796939411936886e-05,,1.6256837002335939e-22,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,5.610843613185654e-13,,292164210279.1475,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,,,,3.4227327126911016e-12,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,2.487804364526485e+81,,,,,1.4007624651762178e-13,,,14247196300252.615,,,7.548161690081224e-27,,,,,,
$S_{x}$,,1.039540965857116e-82,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,9.619630518124757e+81,,7.133974450827313e-128,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,1.4017431754104923e+127,,1.0381671172045227e-119,,,,,,,,,,,,,,,,,
"$S_{x,z}$",,,,5.442373576906633e-40,,,,,,,,,,,,,,,,,
"$S_{y,z}$",,,9.632360565346208e+118,,1.837433586410262e+39,,,4.301459818362812e-55,,,,6.561896343541115e-107,1.7196525434913677e-107,,,,,1.157377200276381e-106,,,
"$S_{x,y,z}$",,,,,,,,9.224534091398236e-91,,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,58561142.22032592,3.9812660111594767e-19,,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,,1.748164590939213e-16,1.7076169659356666e-08,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,2.3247921455200577e+54,,1.0840655908383358e+90,5720285178998754.0,,2.511763838932146e+18,,,3.566285618595297e-71,2.6093326809719802e-86,,,,,3.1972320351185926e-68,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,,39.10784347400828,6.2555145364197196e-74,,,,,,,,,
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,,,,,,,,,,,0.025570318155349492,
"$S_{x,y,z}HF_{x,y,z}$",,,,1.5239497054602236e+106,,,,2.8040378896906303e+70,,,,,4.304500429294772e-09,,,,,0.26897221801307086,,1.5985895231766817e+73,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,5.815128200082354e+106,,,,3.832397483434341e+85,,,,232314995.99683747,,201362092.76416615,9.904231405944031e+20,,,1.6090319869167245e+18,360515845655.64417,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,4.966178024238122e-09,,2.9040967306860177e+20,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,1.0096694624883758e-21,3.443411472605376e-21,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,,,,9.351012468844952e-46,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,2.773803182440905e-12,,,1.0694029158144424e+45,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,8.640225500910167e+105,,,,3.127705430872513e+67,,,,3.71785609453317,6.214916845228354e-19,,,,,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,2.065439830909793e-78,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,4.841583787795533e+77,,,2.4965754282163935e-65,,,,,,,,,,,,,,,,
"$S_{x,z}$",,,4.0054868308722447e+64,1.2595618981195544e+45,,,,1.1213841416976816e-75,,,,1.306577270156957e-145,,,6.708256957358961e-153,,,1.1649500548076558e-88,,,
"$S_{y,z}$",,,,,7.939268419384044e-46,,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,,8.382742015438147e-91,,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,8.19512338995772e+23,0.005584650683887224,,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,8.917550755498324e+74,1.1929270853836867e+90,357862418227.5395,,179.0622290638857,,,8.365416660320541e-76,,,9.639102521049594e-77,,,1.7883011819607774e-19,,,
"$S_{x,y,z}HF_{y}$",,,,,,,,2.794369984288684e-12,1.2202378810127458e-24,,,,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,,1.2636120081774419e-19,,,,,,,,,,
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,,,2.666227585116985e-61,,,,,,,,7.913821596570137e+18,
