ModelName,$\hat{S}_{x}$,$\hat{S}_{y}$,$\hat{S}_{z}$,"$\hat{S}_{y,z}$","$\hat{S}_{x,y}$","$\hat{S}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{z}$","$\hat{S}_{x,y,z}\hat{A}_{y}$","$\hat{S}_{x,y,z}\hat{A}_{x}$","$\hat{S}_{x,y,z}\hat{A}_{y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$","$\hat{S}_{x,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y}$"
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,1.9908812920790996e+49,,,,,,1.7354191246599286e-19,,,,900901842904265.9,,,486.43440687908844,103613416493.5099,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,,,,,,,,,,,0.0020557756315304544,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,,,,,,,,,,,9.65125978702418e-12,,
$\hat{S}_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1e+160,,1.3772257908049277e-69,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1e+160,7.260973521382752e+68,,,,,,,,,,,,,,,,,,5.698808873543737e-111,
"$\hat{S}_{x,z}$",,,1.7547526547914595e+110,2.785924963657e+64,,5.035493576381332e+25,,,,1.8902144203267223e-60,,,,,,,,0.00043586751080001925,,,
"$\hat{S}_{y,z}$",,,,,,,,,,,,,,,,,,,,3.589472125219518e-65,
"$\hat{S}_{x,y,z}$",,,,,,,,4.522712056637332e-53,,,,,,,,,,,,1.9859026425739824e-26,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,2.2110627151963925e+52,7.21005315773848,,7716499054239765.0,1.8685179272991896e-21,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,2.0567965337338493e-27,1.295924476852697e-16,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,,,0.13869523263177466,4.861929625020462e+26,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y}$",,,,,,,,,,1.1334305550296195e-12,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,5.351835191891518e+20,,,,1.4155206471959788e+19,,,,,,2608048740180.823,,5.290405095032291e+59,882277256036.9766
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,7.064538422529629e-20,,,,,3135864.8859593486,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,,1.0022331270711293e-06,,4.1170216237682855e-18,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,3.1889129039884387e-07,163568749892778.2,2.4289403636522704e+17,,,45.5862301642082,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,,997771.8486739156,6.113637236058326e-15,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,,,,,,,0.021936448712645357,333134.3284649038,,2.871623607358903e-08,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",,,,,,,,,,,,,,,,,3.001792113733939e-06,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,,3.834284170358976e-13,,,,,,,34823505.331178226,,,2294.2751529347433,
$\hat{S}_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1e+160,,1.201992204065293e-59,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1e+160,8.319521512850672e+58,,1.9398840948620892e-87,,,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,,5.154947157144934e+86,,,8.692381587714833e-22,,,,,,,,,,,,,,36.17965157863873,
"$\hat{S}_{x,z}$",,,,0.02763984605618541,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}$",,,,1.150432697769879e+21,,,,0.08334442029079046,,,,,,,0.2138230655033985,0.04385041444666886,,,,,3.3407238387251377e-37
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,,,0.0003330221333981734,2202804342939254.2,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,11.998403690504759,3002.803416685712,,6.356618492610871e+33,,,,,,,,,,,,2.3322077507427275e-23
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,4.539667824813148e-16,1.5731634691659265e-34,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,,,,,,,,,,,,,1.0929042322946266e-11
"$\hat{S}_{x,y,z}\hat{A}_{x,y}$",,,,,,2.993363259806631e+36,,4.287782680087289e+22,,91499325416.68652,,6.928173710666259e+58,,,1.899140302911031e+24,3.395847303220281e+27,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,,,,,,2.9431038650221634e-30,,,,,,1.4433818229188617e-59
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,4.676763929306336,,,,,,3.397773391162562e+29,62795110.36038669,1927148065269447.0,,7.37532329363106e-05,,,,,5.265540405135865e-25
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,,4616.613508269305,1.5924806792454247e-08,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,,0.00021660899232928946,,5.189014886929217e-16,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",,,,,,22.80480156501613,,,,,,,,,13558.727667755897,,5.6573788915698046e+32,1.0594947594789394e+16,,,2.944773161772322e-28
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,,,,,,,,1.7676030175212835e-33,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,,,,,,,,9.438461031103175e-17,,,,,
$\hat{S}_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1e+160,,2.5814918544031986e+26,,4.9833737742359e-69,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1e+160,3.873729054361803e-27,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y}$",,2.0066726785978037e+68,,1.1149882228722807e+22,,69235731.53441909,1.4532177071470515e-97,,,,,,,,,,1.2491783158585366e-81,,,,
"$\hat{S}_{y,z}$",,,,,8.9687045969323e-23,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}$",,,,,1.4443409173814695e-08,,3.412868488111855e-113,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,6.881281414903718e+96,2.9300865341964664e+112,,6.174109057824281e+43,3.71910320904689e+106,6.353925234734796e+30,,,,,,,5.7056822111992557e+17,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,1.6196668873749923e-44,,8.217416588147754e+49,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,2.6888202445349026e-107,1.2169274726102269e-50,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,1.5738302908150897e-31,,,,41.94551373604586,7.720405351725654e+22,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,,,0.02384045183694223,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,1.2952687772753817e-23,,,,1.7303337591134512e-25,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,1.9329561062823214e-23,1.1843284797297681e-40,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,,0.8262816392871394,5.173423218198744e+22,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,5.779231866298194e+24,1.2102410999507784,,8.443603418438211e+39,,2.3176076662736445e-08,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,8.005262237623128e+80,,1.752638795825633e-18,,,,,,,43147941.4981331,,,,1.5129476204317649e+19,1.2626012425229436e+27,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,,,,,,,,,,,,,,7.920156945210897e-28,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,,,,,,,,,6.609614149858143e-20,,,,
