ModelName,$S_{x}$,$S_{y}$,$S_{z}$,"$S_{x,z}$","$S_{y,z}$","$S_{x,y,z}$","$S_{x,y,z}HF_{x}$","$S_{x,y,z}HF_{z}$","$S_{x,y,z}HF_{y}$","$S_{x,y,z}HF_{x,y}$","$S_{x,y,z}HF_{y,z}$","$S_{x,y,z}HF_{x,y,z}$","$S_{x,y,z}HF_{x,y,z}T_{yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy}$","$S_{x,y,z}HF_{x,y,z}T_{xz}$","$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$S_{x,y}$","$S_{x,y,z}HF_{x,z}$"
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,,2.9313793425374847e-09,,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,,,1.8224289048245833e-21,,,,,,,,,341136333.15515274
"$S_{x,y,z}HF_{x,y,z}$",,,,1.4540606556409068e+31,,,,2.0033468536888022e-17,,,5.48718250326618e+20,,,,,3003187.113416109,,218019453908705.47,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,1.2996807338067563e-09,1.3255563899818414e+35,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,8.593406894081736e-28,,7.544001956896748e-36,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,1.16368282373397e+27,769419730.5449059,3.495011687325364e-08,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,6.694313922029868e+21,,,,8.921043475135647e-29,,,,3.3297958543199314e-07,28612207.610821247,,,,383.5972403403685,13584170.945731761,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,0.0026069009232514108,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,9.761193928092584e+18,,,,7.953407088665033e-16,,,,4.586746650685332e-15,,,,7.361509244803835e-08,,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,5.621473541491812e-26,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,1.778893011981735e+25,,,1.2148016425943382e-63,,,,,,,,,,,,,,,,
"$S_{y,z}$",,,8.231796574331209e+62,1.2888022860900825e+31,,,,,4.472424545693677e-72,1.2227991715057805e-60,,,,,,,3.298398861014704e-59,5.767636087067275e-45,,,
"$S_{x,z}$",,,,,7.759142040582194e-32,,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,,,3.2979275866682837e-63,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,1.1722301460806722e+41,,7.108912704845994e-20,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,8.530748021994484e-42,4.976088197779535e-77,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,2.23592369146364e+71,3.0322072687176417e+62,2.0096106826366685e+76,1.4066848778693278e+19,,0.48713668525105114,,,,,,,0.0283352451883699,2.6860410870268688e+17,,,
"$S_{x,y,z}HF_{x,y}$",,,,,8.17795778164111e+59,,,,2.052811932003518,,8066199193646851.0,148851577.39049804,,,,,23325713.545521434,1071204302478793.5,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,1.2397412659826527e-16,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,6.718101464095302e-09,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,3.434718427714326e-19,4.803825448504608e-08,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,1131934.2361656348,2.9114468072000353e+18,,5.987516175882225e-13,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,8.834435500311796e-07,,20816743.046134032,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,3.0317740277546806e+58,,,,35.29173625822184,4.2871142957682475e-08,,,1670141625717.8728,,,83963318654014.02,,1.0268886132485223e+30,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,,1.1909962779349875e-14,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,1.7338125791991144e+44,,,,3.7229512416240895e-18,9.335287374088911e-16,,,,,,,9.738154529112352e-31,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,8.812947480112156e+32,,9.799062734970446e-78,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,1.1346941556802217e-33,,,,,,,,,,,,,,,,,,,
"$S_{x,y}$",,,,,1.5514232464050641e-24,,,,,,,,,,,,,,,,
"$S_{y,z}$",,1.0205057637106923e+77,,,,,,,2.8981347399736474e-84,,,2.643958340672102e-80,,,1.300064024971639e-75,,,1.4973428142938125e-70,,6.445694315314572e+23,
"$S_{x,y,z}$",,,,,,,,,2.0395620638012155e-73,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,3.109304491050213e-45,5.722717106681931e-61,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,3.216153332291478e+44,,1.9482649802140903e-08,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,3.450495196814393e+83,4.9030133367761265e+72,1.7474216903582127e+60,51327720.3129788,,,,0.0019700662663178063,,,8.14077482737204e-07,,,17230166.557668976,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,,1.9077564559036966e+18,2.792194159204493e-07,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,5.241759224063556e-19,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,3.7822078533423374e+79,,,,507.59713878511866,3581412.8351479108,,,,,1292889826.9850223,,,37635755110.6654,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,7.6919288649789e+74,,,,1228384.3015012054,,,7.73461109468212e-10,1.8703932590198964,1.0365323192295427e+17,,,,8.98426184397981e+22,2853154423.747093,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,1.4768583786252093e-10,,9.647552531148307e-18,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,6771129950.394355,0.5346469226070721,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,,,,3.5052136286713725e-06,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,3.504892660827955e-10,285289.3164115202,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,6.6784973384443506e+69,,,,5.803774424658187e-08,,,2.657047791547074e-11,,,1.1130574969496039e-23,,,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,8.816255439943293e+40,,,,,,,,,,,,,,,,,1.99474700659736e-68,
$S_{z}$,1e+160,1.1342684054608473e-41,,,,,,,,,,,,,,,,,,,
"$S_{x,y}$",,5.0131670667640217e+67,,,1495236049750306.2,,,,1.0008189474750304e-88,3.8709622917185785e-103,,,,1.5844690603318898e-97,,,6.466406369495525e-85,4.359317263118842e-99,,,
"$S_{y,z}$",,,,,,,,,,,,,,,,,,,,6.687907238238356e-16,
"$S_{x,y,z}$",,,,,,,,,3.3505133693021393e-31,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,7.680759986815956e+37,,2.7122944261605887e-10,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,2.9846172504850646e+30,2.050979374524878e+77,3686915367.132758,,1.985181644804545e-09,,,,306563.67005907407,,,0.000904353684690082,529879343.2630068,,9.991817226511382e+87,
"$S_{x,y,z}HF_{x}$",,,,,,,,1.301954496321331e-38,4.875719436387097e-78,,,,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,1.2178471886659443e-05,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,503732241.64001226,,82112.10809587869,0.00350933328351167,,17764680807.05788,,,0.0027483083005154113,633.5573150660247,,2.583336970601264e+102,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,284.95441134030284,,,,3.1031464935708245e-12,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,3.2619651239408195e-06,5.629147018519474e-11,,322253558467.77606,75930.33435771453,,516956435.8216446,,0.24347807295712948,50226.89960020926,,6.311262397200332e+96,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,1.316996702910475e-05,8.126911633698078e-05,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,12304.797259681278,1.934398975825906e-09,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,1105.762067351664,363.8601971301627,,,,4.107146026969236,,,,475.25013474950117,383039.4179317726,1.5464540006600524e+84,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,,2.610697367387189e-06,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,1.8872220869037497e-09,0.0015783891626218339,,,,1.9909650166737223e-05,,,0.0021041551109229847,,,2.2939371916338963e+98,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,1e+160,,,,,,,,,,,,,,,,,8.390864022145687e-117,
$S_{z}$,1e+160,1e-160,,,,,,,,,,,,,,,,,,,
"$S_{y,z}$",,,,,,,,,,,,,,,,,,,,6.151546289100222e-45,
"$S_{x,y}$",,1.1917723816769503e+116,,,1.6256075350873586e+44,,3.919705372101291e-50,,,2.0607518246980534e-71,,,,,4.1693404115732744e-91,,,5.796279565395431e-70,,,
"$S_{x,y,z}$",,,,,,,3.0544520762428774e-15,,,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,0.013423733079393697,207493605.91057408,,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,7.218568020967695e-16,,4.819425618498247e-09,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,327390960813517.8,,1385316308020248.8,74.49492582171982,2.8775452137667956e-43,,,,,7.3078436236394e-08,,,1.1725437919331449e-24,,2.551212157723773e+49,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,1.410979088567947e-23,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,3.475184317576609e+42,,,,7.087277253803496e+22,1800852650.8313746,,,616620137.2837483,,,119354660543.995,,4.852597911184781e+70,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,5.552925163190581e-10,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,141818.17562444243,,0.0002405610908006834,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,13683927.18154507,,,1.6217439871572553e-09,,,135248739823.08475,4156.94822746106,,110761977509.19296,,0.0013228351353916392,,2.3984609105656028e+90,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,7.05128235923837e-06,7.39378423272611e-12,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,0.0024478490902017764,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,9.028368962778789e-12,,,,408.5219158332877,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,8.528466116828983e+23,,,8.37839088513341e-12,,,,,755.9521010937917,,,,,1.7252445964996833e+69,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,4.380375201195578e-42,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,2.2829094633881144e+41,,2.8539969387044825e-135,,,,,,,,,,,,,,,,,
"$S_{x,z}$",,,3.5038579980184945e+134,,1.212499314173508e+47,,,1.597398330742534e-60,,,,1.0241148986587545e-26,3.52564687324133e-28,,,,,4.182611381793752e-17,,,
"$S_{y,z}$",,,,8.247427345405497e-48,,,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,,1.7334400404241663e-93,,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,3.43515198383073e+110,0.2432183907053583,,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,1.1357931813116556e-73,2.9110793487653612e-111,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,6.260179322556074e+59,,5.768875626960271e+92,8.804419822675493e+72,,4.111531192603887,,,95489353091631.6,958898741363.6799,,,,,1.662008444222744e+25,,,
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,,1.061425656748856,8.408312664541931e-20,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,,,,,,,,,,,,0.942129101215621
"$S_{x,y,z}HF_{x,y,z}$",,,,9.764529363938198e+25,,,,1.0472371710806333e-14,,,,,5.9389959782107225e-09,,,,,3822550429.3699603,,,1.1892992564572742e+19
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,5.4668806280038816e-30,,6.2909584716524095e-09,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,2.836358932001158e+27,,,,1.0428629811087964e-12,,,,168378628.92462778,,1.8291966992612556e+29,1.3372885543865718e+18,,0.00025357240175973727,3075.248054382155,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,7.47781768354931e-19,158958289.82278052,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,3943.6468364073444,,,7086530.46784504,,1.2701280161868474e-12,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,,1.4111277790132642e-07,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,2.390850855407802e+16,,,,6.016816602082071e-26,,,,2.616054434015202e-10,0.0003251770206227832,,,,787322212608.2848,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,2.313836479241352e+67,,1.359475042907268e-93,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,4.321826580968567e-68,,,,,,,,,,,,,,,,,,,
"$S_{y,z}$",,7.355780492016076e+92,,,,,,,1.5117628526183962e-64,,,1.412568055841484e-51,,,3.486809947226925e-65,,,1.3294968357341006e-34,,2.9277231937087454e+36,
"$S_{x,y}$",,,,,3.415623451523203e-37,,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,,,1e-160,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,5.993473440180619e+61,,1.1816549407971545e-15,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,6.61479410125725e+63,1e+160,1.616090330468917e+92,846270739007270.1,,,,928.157351956331,,,15221542.880390264,,,94294997874356.86,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,1.6684815741335196e-62,6.187772930426759e-93,,,,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,3.031732083000738e-16,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,,3298444495168660.5,5.279741196577888e-06,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,7.079304928811291e+50,,,,0.0010774035220345365,189403.22314437668,,,,,211229001.22173616,,,3915600.693597578,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,2.86795097850201e+64,,,,6.569636257361849e-08,,,4.734198401810635e-09,592.4178057363026,222141.7717823071,,518724031521.4618,,6.215342797836645e+19,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,1.109710702631013e-17,,4.5016297114077796e-06,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,9.011357623469794e+16,0.0016879978797347637,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,1.927807348865089e-12,,,,75.52858297497141,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,0.01324002067311893,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,7.521642572754494e+33,,,,1.0605016411713033e-14,,,2.553886563650645e-07,,,1.6089217160283852e-20,,,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,3.542839097626135e-82,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,2.8225950218005834e+81,,1.0588214270228642e-43,,,,,,,,,,,,,,,,,
"$S_{y,z}$",,,,6.142413738299617e-10,,,,,,,,,,,,,,,,,
"$S_{x,z}$",,,9.444463197271564e+42,,1628024491.0314794,,,7.333493141760245e-82,,,4.4927321819853506e-54,1.7256661143794421e-65,,,2.620059940784721e-62,,,4.739746552631987e-70,,,
"$S_{x,y,z}$",,,,,,,,1.256662688818067e-63,,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,1.3636066478409113e+81,,7.95758487061101e+62,9.590934732973432e+88,,3.5875080114957123e+24,,24379291.786943506,751019.1015272012,,,1.5076721483970835e+26,,,1.7433167467772264e+20,,,
"$S_{x,y,z}HF_{y}$",,,,,,,3.7128086945212506e+65,2.7874502211441127e-25,,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,1.042651240824339e-89,2.693378739054438e-66,,,,,,,,,,,,
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,,6.446811701137856e-37,,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,2.225817074095205e+53,,,,4.101841877685539e-08,,,,0.00010908551181748986,,,4.5418836170841806e-14,,,8.180712536763672e-09,,,1.551154347851514e+36
"$S_{x,y,z}HF_{x,y,z}$",,,,5.794863743729504e+64,,,,1.3315240557350603e-06,,,9167.120209997203,,,,3445.5158069253334,,,0.004092375301480297,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,3.816706573898057e+61,,,,6.6327417473565e-27,,,22017296881816.285,0.00029023230657948063,91136069817.24283,5.635969721864612e+26,,,,0.028320875059994467,140531.85449015402,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,4411946.8206897285,1.09726039536851e-11,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,2.26657310398784e-07,,1.7743175519920264e-27,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,7.1158244059894785e-06,10637.659348121046,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,,,,9.400564233866282e-05,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,2.109817453097147e+69,,,,5.736192243025514e-21,,,122238740.88058406,244.3568652264809,,,35.309643430212404,,,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,8.543196055856519e-80,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,1.1705221248135603e+79,,5.448587375605027e-123,,,,,,,,,,,,,,,,,
"$S_{x,z}$",,,1.8353380997014057e+122,,115512.42547932171,,,,1.0139834560390917e-48,7.231035964351155e-64,,,,,4.588069948851438e-33,9.442206468410023e-41,,5.205135259598538e-45,,,
"$S_{y,z}$",,,,8.65707733042982e-06,,,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,,,4.8066828969595834e-89,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,1.3040013962103192e-132,4.451465461004009e-138,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,7.66870344545791e+131,,6.0961984228407714e-24,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,9.86209384427518e+47,,2.0804368031694777e+88,2.246451216481986e+137,1.6403665541024326e+23,,3.4270712586085295e-13,,,,,0.00012874265146181355,4.775210113465782e-05,,542.8080615027957,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,0.0010359969143506403,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,1.3829277090170447e+63,,,,,2917943411559.0093,,965.2538401881216,3.285223290420914e+17,,,146.0173167344632,0.14649506820780284,,0.02447507137015242,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,3.0439331259942354e-18,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,3517051433218892.5,2.1916453128065943e-07,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,2.843290804777271e-16,,1.28683425588216e-12,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,2.1795657240368287e+32,,,,,7767.433625495982,0.006848502782848212,,,4562782.098712005,777100854619.7527,,769151.9823012279,,2658914728.710682,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,1.0590744899993597e+40,,,,,20941.486892483852,6.826168363439395,,,,,1.3001331635499363e-06,,,0.0017803589187180347,155.60436273196464,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,0.006426555029967533,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,1.9211796622497917e+44,,,,,0.00184227182851972,40.8578992427172,,,,,3.7609329445660855e-10,561.6844948995229,,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,1.6976951397440759e+47,,9.867484564039008e-102,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,5.890339063765877e-48,,,,,,,,,,,,,,,,,,,
"$S_{x,y}$",,,,,1.1557477227264547e-54,,,,,,,,,,,,,,,,
"$S_{y,z}$",,1.0134295052706675e+101,,,,3.6258857829858324e-30,,,,,1.5834999502302737e-47,4.491324168474829e-46,,1.0921203398310583e-07,,,1.8208755008151856e-32,1.0025132201860573e-19,,8.652407271380647e+53,
"$S_{x,y,z}$",,,,,2.757946774530011e+29,,,4400937210007.937,,,9949020348.23064,13.228425768691848,,983618.7326098587,,,461863.0048000339,10386458.567654297,,,
"$S_{x,y,z}HF_{z}$",,,,,,2.2722432797404e-13,1.0579680210257363e+46,,6493.973413153617,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,9.452081538631628e-47,1.8496999141518814e-78,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,5.406282350715883e+77,0.0001539889273298361,,,,,,,,,,,,,
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,,0.014762022276040883,,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,6.315124922198951e+46,1.0051240875970694e-10,,,,,,0.9791432571874316,,3722505464.9881024,,,5.507175797824863,16934151646.973207,,,67.7413962193394
"$S_{x,y,z}HF_{x,y,z}$",,,,,2.226514859513206e+45,0.07559478485843214,,,,,1.0213010125530344,,,1.8706904686171085e-06,,,0.0003259336348207219,0.04840414185299565,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,86313068385.14743,1.3993085816035516e-05,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,9156500.099198697,1.0166540823665247e-06,,,,,2.6863627452141193e-10,534561.9795343487,362.84928060938705,,71463.86530796802,,0.0026840055697668753,1095.238182184902,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,0.002755965226996042,1.1585731091586101e-11,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,5.491863664222574e+31,2.165144186928233e-06,,,,,0.18158127445195488,3068.109250369465,,372.57746826764486,,,,6.034503330214377e-05,75480.61427957616,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,,1.3248434840448616e-05,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,9.9749308025525e+18,9.627920753607189e-08,,,,,5.905226437361797e-11,20.659389087756583,,0.0009130434057778097,,,16571.372079505916,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,104596540619623.95,,1.8312933737857043e-89,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,9.560545636366718e-15,,,,,,,,,,,,,,,,,,,
"$S_{x,y}$",,,,,4.825573498194538e-52,,,,,,,,,,,,,,,,
"$S_{y,z}$",,5.460621516544726e+88,,,,,,,2.780714752755929e-51,1.3783272166456191e-46,,,1.191496994965167e-27,,,5.1558008956037754e-30,,2.955189742398702e-35,,2.0722925479720588e+51,
"$S_{x,y,z}$",,,,,,,,,1.9132088946645689e-75,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,1.4471408705315095e+39,,3.2784147689106643e-25,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,3.596197700641224e+50,5.226820776281849e+74,5.520942467545981e+84,3.0502546824856913e+24,,3.621333187335156e-09,,,1.8495730551250836e+18,,,37058518936.377525,,411483.1179183135,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,6.910177304526804e-40,1.8112849497678117e-85,,,,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,9.004698204461086e-44,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,7.255171253410063e+45,,,,276141395.5217619,,1.1105313884973762e+43,7.151535451812778e+17,89018913309.70587,,,864.790841323155,,1.0338298205785912,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,1.3983011155269027e-18,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,4.7290861050381535e-08,,3223544847240.516,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,1.116395225824406e-14,3.1021749266371777e-13,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,8.392803374457815e+26,,,,5.406653158300749e-19,1.1233567820816888e-11,,,,21145734.668155976,89574012577987.02,375110918189587.9,,691291842.9037775,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,1.2176203028493653e-09,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,1.9395628734474122e+29,,,,2.6984348773268867e-11,0.0011563489715848182,,,2.665878148325669e-15,,,,821274084.9178435,2.589310881047749e-07,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,3.383877473763524e+34,,,,2.4302333594121286e-06,0.9672771863364726,,,1.4465670472827963e-09,,,3862031.4282051604,,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,1.131057366108814e-06,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,884128.4535728795,,7.344017868016912e-128,,,,,,,,,,,,,,,,,
"$S_{x,z}$",,,1.3616524605080076e+127,,3.1531419705180834e+43,,,,2.6143928072180236e-42,3.7322724249137e-32,,,,,,6.0660820875545223e-33,,7.522169396741595e-42,,,
"$S_{y,z}$",,,,3.1714398189171704e-44,,,,,,,,,,,,,,,,,
